723630,AMARILLO INTERNATIONAL AP [CANYON - UT],TX,-6,34.99,-101.9,1068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1981,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,2.9,B,8,-6.6,B,8,50,B,8,898,B,8,180,B,8,2.1,B,8,48300,C,8,77777,B,8,0.7,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,275.9
1/1/1981,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,2.6,B,8,-6.4,B,8,53,B,8,898,B,8,170,B,8,2.1,B,8,48300,C,8,77777,B,8,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,274.8200589
1/1/1981,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,2.2,A,7,-6.1,A,7,55,A,7,898,A,7,170,A,7,2.1,A,7,48300,B,7,77777,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,274.4153399
1/1/1981,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,1.7,B,8,-6.3,B,8,56,B,8,899,B,8,220,B,8,2.4,B,8,48300,C,8,77777,B,8,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,273.9873978
1/1/1981,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,1.1,B,8,-6.5,B,8,58,B,8,899,B,8,260,B,8,2.8,B,8,48300,C,8,77777,B,8,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,273.5016
1/1/1981,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,0.6,A,7,-6.7,A,7,59,A,7,899,A,7,310,A,7,3.1,A,7,48300,B,7,77777,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,2,C,8,272.9958189
1/1/1981,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,B,8,1,B,8,0.8,B,8,-6.6,B,8,60,B,8,900,B,8,310,B,8,3.4,B,8,48300,C,8,77777,B,8,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,272.7023478
1/1/1981,8:00,0,59,0,1,0,0,1,0,0,1,0,0,1,1,0,1,2,0,1,2,0,1,1,3,B,8,1,B,8,0.9,B,8,-6.5,B,8,61,B,8,901,B,8,300,B,8,3.8,B,8,48300,C,8,77777,B,8,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,272.6252101
1/1/1981,9:00,132,1415,57,1,13,263,1,9,32,1,13,57,1,13,140,1,9,44,1,13,54,1,21,5,A,7,2,A,7,1.1,A,7,-5.6,A,7,62,A,7,902,A,7,300,A,7,4.1,A,7,48300,B,7,77777,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,273.2248383
1/1/1981,10:00,364,1415,183,1,9,377,1,9,85,1,13,190,1,9,315,1,9,109,1,13,157,1,18,4,B,8,2,B,8,4.1,B,8,-3.8,B,8,57,B,8,902,B,8,330,B,8,4.8,B,8,48300,C,8,77777,B,8,0.9,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,274.7038904
