723663,TAOS MUNI APT(AWOS),NM,-7,36.45,-105.667,2161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,6,E,9,-5,E,9,-9.5,E,9,68,A,7,784,E,9,340,E,9,2.4,E,9,16100,C,8,9766,E,9,0.9,E,8,0.022,F,8,0.19,F,8,0,1,D,9,0,C,8,268
1/1/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,6,E,9,-6.2,E,9,-8.9,E,9,79,A,7,784,E,9,280,E,9,3.2,E,9,16100,C,8,12521,E,9,0.9,E,8,0.022,F,8,0.19,F,8,0,1,D,9,0,C,8,266.8737562
1/1/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,3,E,9,-6.2,E,9,-10,E,9,72,A,7,784,E,9,230,E,9,4.1,E,9,16100,C,8,15277,E,9,0.9,E,8,0.022,F,8,0.19,F,8,0,1,D,9,0,C,8,266.2178728
1/1/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,3,E,9,-7.3,E,9,-10,E,9,79,A,7,784,E,9,220,E,9,4.1,E,9,16100,C,8,18032,E,9,0.9,E,8,0.022,F,8,0.19,F,8,0,1,D,9,0,C,8,265.7992879
1/1/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,4,E,9,-6.7,E,9,-11.5,E,9,65,A,7,784,E,9,210,E,9,3.3,E,9,16100,C,8,77777,E,9,0.9,E,8,0.022,F,8,0.19,F,8,0,1,D,9,0,C,8,265.2989692
1/1/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,3,E,9,-11.1,E,9,-15.5,E,9,67,A,7,784,E,9,190,E,9,2.5,E,9,16100,C,8,77777,E,9,0.9,E,8,0.022,F,8,0.19,F,8,0,1,D,9,0,C,8,263.6787739
1/1/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-13.2,E,9,-16.1,E,9,77,A,7,784,E,9,230,E,9,1.5,E,9,16100,C,8,77777,E,9,0.9,E,8,0.022,F,8,0.19,F,8,0,1,D,9,0,C,8,261.4676525
1/1/1998,8:00,63,1026,12,2,9,292,2,21,1,2,9,23,2,9,175,2,21,11,2,9,4,2,25,0,E,9,0,E,9,-11.4,E,9,-15.5,E,9,69,A,7,784,E,9,250,E,9,0.7,E,9,16100,C,8,77777,E,9,0.9,E,8,0.022,F,8,0.19,F,8,0,1,D,9,0,C,8,262.1545656
1/1/1998,9:00,287,1415,185,2,9,853,2,21,11,2,9,202,2,9,703,2,21,58,2,9,38,2,25,1,E,9,0,E,9,-4.2,E,9,-12.5,E,9,48,A,7,784,E,9,0,E,9,0,E,9,16100,C,8,77777,E,9,0.9,E,8,0.022,F,8,0.19,F,8,0,1,D,9,0,C,8,267.6400017
1/1/1998,10:00,484,1415,351,2,9,959,2,21,22,2,9,379,2,9,890,2,21,73,2,9,70,2,25,0,E,9,0,E,9,-1.9,E,9,-12.7,E,9,39,A,7,784,E,9,280,E,9,3.6,E,9,16100,C,8,77777,E,9,0.9,E,8,0.022,F,8,0.19,F,8,0,1,D,9,0,C,8,272.5670617
1/1/1998,11:00,627,1415,487,2,9,1019,2,21,34,2,9,520,2,9,983,2,21,83,2,9,101,2,25,0,E,9,0,E,9,-0.2,E,9,-12.4,E,9,35,A,7,784,E,9,260,E,9,7.5,E,9,16100,C,8,77777,E,9,0.9,E,8,0.022,F,8,0.19,F,8,0,1,D,9,0,C,8,273.7234096
1/1/1998,12:00,704,1415,553,2,9,899,2,21,104,2,9,567,2,9,873,2,21,131,2,9,204,2,25,0,E,9,0,E,9,2.1,E,9,-12,E,9,31,A,7,784,E,9,250,E,9,11.4,E,9,16100,C,8,77777,E,9,0.9,E,8,0.022,F,8,0.19,F,8,0,1,D,9,0,C,8,271.6209928
1/1/1998,13:00,712,1415,470,2,9,701,2,21,116,2,9,494,2,9,692,2,21,144,2,9,248,2,25,0,E,9,0,E,9,3.8,E,9,-11.8,E,9,28,A,7,784,E,9,240,E,9,8.2,E,9,16100,C,8,77777,E,9,0.9,E,8,0.022,F,8,0.19,F,8,0,1,D,9,0,C,8,277.8083773
1/1/1998,14:00,649,1415,494,2,9,938,2,21,62,2,9,518,2,9,905,2,21,101,2,9,141,2,25,0,E,9,0,E,9,4.5,E,9,-9.8,E,9,31,A,7,784,E,9,230,E,9,5.2,E,9,16100,C,8,77777,E,9,0.9,E,8,0.022,F,8,0.19,F,8,0,1,D,9,0,C,8,281.969357
1/1/1998,15:00,519,1415,376,2,9,941,2,21,29,2,9,402,2,9,883,2,21,77,2,9,87,2,25,0,E,9,0,E,9,4.5,E,9,-11.2,E,9,28,A,7,784,E,9,220,E,9,2,E,9,16100,C,8,77777,E,9,1,E,8,0.022,F,8,0.19,F,8,0,1,D,9,0,C,8,285.1668682
1/1/1998,16:00,333,1415,209,2,9,763,2,21,29,2,9,223,2,9,650,2,21,69,2,9,76,2,25,1,E,9,1,E,9,3.5,E,9,-10.8,E,9,31,A,7,784,E,9,170,E,9,2.3,E,9,16100,C,8,20721,E,9,1,E,8,0.022,F,8,0.19,F,8,0,1,D,9,0,C,8,285.0388815
1/1/1998,17:00,105,1332,42,2,9,403,2,21,12,2,9,49,2,9,255,2,21,27,2,9,33,2,25,0,E,9,0,A,7,3,A,7,-10,A,7,34,A,7,784,E,9,130,A,7,2.6,A,7,16100,B,7,77777,A,7,1,E,8,0.022,F,8,0.19,F,8,0,1,D,9,0,C,8,282.263017
1/1/1998,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,0.3,E,9,-5.9,E,9,60,A,7,784,E,9,110,E,9,3,E,9,16100,C,8,20108,E,9,1,E,8,0.022,F,8,0.19,F,8,0,1,D,9,0,C,8,277.4418521
1/1/1998,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-0.8,E,9,-6.2,E,9,63,A,7,784,E,9,140,E,9,3.3,E,9,16100,C,8,77777,E,9,1,E,8,0.022,F,8,0.19,F,8,0,1,D,9,0,C,8,273.7116469
1/1/1998,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-2.9,E,9,-7.1,E,9,70,A,7,784,E,9,180,E,9,3.8,E,9,16100,C,8,77777,E,9,1,E,8,0.022,F,8,0.19,F,8,0,1,D,9,0,C,8,271.3026276
1/1/1998,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-1.2,E,9,-5.8,E,9,68,A,7,784,E,9,210,E,9,4.2,E,9,16100,C,8,15360,E,9,1,E,8,0.022,F,8,0.19,F,8,0,1,D,9,0,C,8,270.3683594
