723677,LAS VEGAS MUNICIPAL ARPT,NM,-7,35.65,-105.15,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,B,8,3,B,8,1,B,8,-4.9,B,8,62,A,7,785,E,9,220,B,8,7.5,B,8,32200,C,8,15750,B,8,0.9,E,8,0.026,F,8,0.19,F,8,0,1,D,9,0,C,8,274
1/1/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,B,8,3,B,8,0.8,B,8,-5,B,8,62,A,7,785,E,9,220,B,8,7.2,B,8,32200,C,8,17000,B,8,0.9,E,8,0.026,F,8,0.19,F,8,0,1,D,9,0,C,8,275.3054897
1/1/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,B,8,3,B,8,0.3,B,8,-5.2,B,8,63,A,7,785,E,9,230,B,8,6.8,B,8,32200,C,8,18250,B,8,0.9,E,8,0.026,F,8,0.19,F,8,0,1,D,9,0,C,8,272.2982138
1/1/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,B,8,3,B,8,0,B,8,-5.1,B,8,65,A,7,785,E,9,230,B,8,6.4,B,8,32200,C,8,19500,B,8,0.9,E,8,0.026,F,8,0.19,F,8,0,1,D,9,0,C,8,272.0519663
1/1/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,B,8,3,B,8,0,B,8,-5,B,8,66,A,7,785,E,9,230,B,8,6.1,B,8,32200,C,8,20750,B,8,0.9,E,8,0.026,F,8,0.19,F,8,0,1,D,9,0,C,8,271.8735588
1/1/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,0,A,7,-4,A,7,72,A,7,783,E,9,230,A,7,5.7,A,7,32200,B,7,77777,A,7,0.9,E,8,0.026,F,8,0.19,F,8,0,1,D,9,0,C,8,271.7858663
1/1/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,0,A,7,-5,A,7,66,A,7,784,E,9,230,A,7,6.7,A,7,56300,B,7,77777,A,7,0.9,E,8,0.026,F,8,0.19,F,8,0,1,D,9,0,C,8,271.7432552
1/1/1999,8:00,77,1144,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,5,E,9,5,E,9,1,A,7,-5,A,7,61,A,7,786,E,9,220,A,7,4.6,A,7,48300,B,7,4200,A,7,0.9,E,8,0.026,F,8,0.19,F,8,0,1,D,9,0,C,8,272.0528935
1/1/1999,9:00,307,1415,213,2,9,562,2,21,90,2,9,216,2,9,436,2,21,121,2,9,170,2,25,8,E,9,8,E,9,3,A,7,-4,A,7,58,A,7,788,E,9,270,B,8,3.1,A,7,56300,B,7,2400,A,7,0.9,E,8,0.026,F,8,0.19,F,8,0,1,D,9,0,C,8,274.8661305
1/1/1999,10:00,504,1415,61,2,9,0,2,21,61,2,9,73,2,9,0,2,21,73,2,9,268,2,25,9,E,9,8,E,9,4,A,7,-5,A,7,49,A,7,789,E,9,330,B,8,3.1,A,7,56300,B,7,2100,A,7,0.9,E,8,0.026,F,8,0.19,F,8,0,1,D,9,0,C,8,275.6199788
