723710,PAGE MUNI (AMOS),AZ,-7,36.933,-111.45,1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,7,A,7,-3,A,7,48,A,7,864,A,7,280,B,8,3.1,A,7,16100,B,7,2700,A,7,0.6,E,8,0.035,F,8,0.29,F,8,0,1,D,9,0,C,8,280
1/1/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,7,A,7,-3,A,7,48,A,7,864,A,7,290,A,7,5.7,A,7,16100,B,7,3000,A,7,0.6,E,8,0.035,F,8,0.29,F,8,0,1,D,9,0,C,8,279.4303579
1/1/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,7,A,7,-3,A,7,48,A,7,865,A,7,290,A,7,3.6,A,7,16100,B,7,77777,A,7,0.6,E,8,0.035,F,8,0.29,F,8,0,1,D,9,0,C,8,279.002813
1/1/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7,A,7,-4,A,7,44,A,7,865,A,7,290,A,7,5.1,A,7,16100,B,7,77777,A,7,0.6,E,8,0.035,F,8,0.29,F,8,0,1,D,9,0,C,8,278.7902697
1/1/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6.7,A,7,-3.9,A,7,45,A,7,866,A,7,290,A,7,4.1,A,7,16000,B,7,77777,A,7,0.6,E,8,0.035,F,8,0.29,F,8,0,1,D,9,0,C,8,278.5920216
1/1/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7,A,7,-4,A,7,44,A,7,866,A,7,260,A,7,3.1,A,7,16100,B,7,77777,A,7,0.6,E,8,0.035,F,8,0.29,F,8,0,1,D,9,0,C,8,278.5361716
1/1/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6,A,7,-4,A,7,47,A,7,868,A,7,290,A,7,4.6,A,7,16100,B,7,77777,A,7,0.6,E,8,0.035,F,8,0.29,F,8,0,1,D,9,0,C,8,278.2513829
1/1/1999,8:00,12,460,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,E,9,6,A,7,-4,A,7,47,A,7,868,A,7,290,A,7,5.7,A,7,16100,B,7,77777,A,7,0.6,E,8,0.035,F,8,0.29,F,8,0,1,D,9,0,C,8,277.9219711
1/1/1999,9:00,193,1415,103,2,9,569,2,21,25,2,9,109,2,9,415,2,21,52,2,9,53,2,25,0,E,9,0,E,9,7,A,7,-4,A,7,44,A,7,869,A,7,280,A,7,3.6,A,7,16100,B,7,77777,A,7,0.5,E,8,0.035,F,8,0.29,F,8,0,1,D,9,0,C,8,280.8002632
1/1/1999,10:00,405,1415,272,2,9,818,2,21,36,2,9,288,2,9,730,2,21,78,2,9,91,2,25,0,E,9,0,E,9,9,A,7,-6,A,7,32,A,7,870,A,7,290,A,7,5.7,A,7,16100,B,7,77777,A,7,0.5,E,8,0.035,F,8,0.29,F,8,0,1,D,9,0,C,8,283.915066
1/1/1999,11:00,569,1415,420,2,9,911,2,21,52,2,9,442,2,9,864,2,21,93,2,9,123,2,25,0,E,9,0,E,9,10,A,7,-6.1,A,7,30,A,7,871,A,7,280,A,7,4.6,A,7,16000,B,7,77777,A,7,0.5,E,8,0.035,F,8,0.29,F,8,0,1,D,9,0,C,8,284.3641891
1/1/1999,12:00,672,1415,480,2,9,806,2,21,95,2,9,494,2,9,780,2,21,121,2,9,188,2,25,0,E,9,0,E,9,12,A,7,-7,A,7,24,A,7,871,A,7,270,A,7,4.1,A,7,16100,B,7,77777,A,7,0.5,E,8,0.035,F,8,0.29,F,8,0,1,D,9,0,C,8,286.0455856
