723805,NEEDLES AIRPORT,CA,-8,34.767,-114.617,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,B,8,4,B,8,11.5,B,8,-0.1,B,8,45,A,7,983,B,8,0,B,8,0,B,8,72400,C,8,14475,B,8,1.5,E,8,0.047,F,8,0.21,F,8,0,1,D,9,0,C,8,284.5
1/1/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,B,8,4,B,8,10.9,B,8,0,B,8,47,A,7,983,B,8,0,B,8,0,B,8,72400,C,8,15550,B,8,1.5,E,8,0.047,F,8,0.21,F,8,0,1,D,9,0,C,8,283.0466783
1/1/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,B,8,3,B,8,10.4,B,8,0,B,8,48,A,7,983,B,8,0,B,8,0,B,8,72400,C,8,16625,B,8,1.5,E,8,0.047,F,8,0.21,F,8,0,1,D,9,0,C,8,282.5722996
1/1/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,B,8,3,B,8,10,B,8,0.1,B,8,50,A,7,983,B,8,0,B,8,0,B,8,72400,C,8,17700,B,8,1.5,E,8,0.047,F,8,0.21,F,8,0,1,D,9,0,C,8,282.1198745
1/1/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,B,8,2,B,8,9.6,B,8,0,B,8,51,A,7,983,B,8,0,B,8,0,B,8,72400,C,8,18775,B,8,1.5,E,8,0.047,F,8,0.21,F,8,0,1,D,9,0,C,8,281.6971491
1/1/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,B,8,1,B,8,9.2,B,8,0.1,B,8,53,A,7,983,B,8,0,B,8,0,B,8,72400,C,8,19850,B,8,1.5,E,8,0.047,F,8,0.21,F,8,0,1,D,9,0,C,8,281.2894553
1/1/1998,7:00,5,295,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,1,B,8,1,B,8,9.1,B,8,0.4,B,8,54,A,7,983,B,8,0,B,8,0,B,8,72400,C,8,20925,B,8,1.5,E,8,0.047,F,8,0.21,F,8,0,1,D,9,0,C,8,280.9816385
1/1/1998,8:00,173,1415,81,2,9,521,2,21,17,2,9,86,2,9,369,2,21,41,2,9,45,2,25,0,A,7,0,E,9,11,A,7,0,A,7,47,A,7,983,A,7,0,A,7,0,A,7,72400,B,7,77777,A,7,1.5,E,8,0.047,F,8,0.21,F,8,0,1,D,9,0,C,8,284.8502482
1/1/1998,9:00,400,1415,256,2,9,757,2,21,41,2,9,270,2,9,672,2,21,79,2,9,94,2,25,0,A,7,0,E,9,15,A,7,1,A,7,39,A,7,984,A,7,360,B,8,2.1,A,7,72400,B,7,77777,A,7,1.5,E,8,0.047,F,8,0.21,F,8,0,1,D,9,0,C,8,289.6087166
1/1/1998,10:00,580,1415,404,2,9,856,2,21,51,2,9,425,2,9,815,2,21,90,2,9,124,2,25,0,A,7,0,E,9,17,A,7,1,A,7,34,A,7,984,A,7,0,A,7,0,A,7,72400,B,7,77777,A,7,1.5,E,8,0.047,F,8,0.21,F,8,0,1,D,9,0,C,8,291.3381212
1/1/1998,11:00,700,1415,513,2,9,911,2,21,60,2,9,539,2,9,887,2,21,98,2,9,146,2,25,0,A,7,0,E,9,17,A,7,0,A,7,32,A,7,983,A,7,20,B,8,2.1,A,7,72400,B,7,77777,A,7,1.5,E,8,0.047,F,8,0.21,F,8,0,1,D,9,0,C,8,291.5710579
1/1/1998,12:00,751,1415,560,2,9,931,2,21,63,2,9,587,2,9,913,2,21,100,2,9,155,2,25,2,A,7,2,E,9,18,A,7,-1,A,7,27,A,7,981,A,7,30,A,7,2.6,A,7,72400,B,7,77777,A,7,1.5,E,8,0.047,F,8,0.21,F,8,0,1,D,9,0,C,8,292.1948462
1/1/1998,13:00,730,1415,546,2,9,927,2,21,66,2,9,572,2,9,906,2,21,103,2,9,155,2,25,3,A,7,3,E,9,19,A,7,-1,A,7,26,A,7,980,A,7,50,A,7,2.1,A,7,72400,B,7,77777,A,7,1.5,E,8,0.047,F,8,0.21,F,8,0,1,D,9,0,C,8,293.9074776
1/1/1998,14:00,637,1415,478,2,9,924,2,21,60,2,9,502,2,9,890,2,21,99,2,9,138,2,25,2,A,7,2,E,9,20,A,7,-1,A,7,24,A,7,979,A,7,90,A,7,2.1,A,7,72400,B,7,77777,A,7,1.4,E,8,0.047,F,8,0.21,F,8,0,1,D,9,0,C,8,295.5365369
1/1/1998,15:00,480,1415,359,2,9,868,2,21,63,2,9,370,2,9,796,2,21,99,2,9,124,2,25,5,A,7,4,E,9,23,A,7,0,A,7,22,A,7,979,A,7,0,A,7,0,A,7,72400,B,7,77777,A,7,1.4,E,8,0.047,F,8,0.21,F,8,0,1,D,9,0,C,8,297.0783026
