723830,SANDBERG,CA,-8,34.75,-118.717,1377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,-1,A,7,69,A,7,863,A,7,360,A,7,4.6,A,7,16100,B,7,77777,A,7,1,E,8,0.068,F,8,0.14,F,8,0,1,D,9,0,C,8,277
1/1/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3,A,7,-1,A,7,74,A,7,863,A,7,350,A,7,5.1,A,7,16100,B,7,77777,A,7,1,E,8,0.068,F,8,0.14,F,8,0,1,D,9,0,C,8,275.4298796
1/1/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2,A,7,-3,A,7,67,A,7,863,A,7,10,A,7,6.2,A,7,16100,B,7,77777,A,7,0.9,E,8,0.068,F,8,0.14,F,8,0,1,D,9,0,C,8,274.6194633
1/1/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,3.9,A,7,-5,A,7,50,A,7,864,A,7,10,A,7,9.3,A,7,16000,B,7,77777,A,7,0.9,E,8,0.068,F,8,0.14,F,8,0,1,D,9,0,C,8,275.4082141
1/1/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,-7,A,7,42,A,7,864,A,7,20,A,7,6.7,A,7,16100,B,7,77777,A,7,0.9,E,8,0.068,F,8,0.14,F,8,0,1,D,9,0,C,8,275.5123702
1/1/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,-9,A,7,35,A,7,864,A,7,40,A,7,8.2,A,7,16100,B,7,77777,A,7,0.9,E,8,0.068,F,8,0.14,F,8,0,1,D,9,0,C,8,275.5805322
1/1/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,5,A,7,-11,A,7,27,A,7,864,A,7,40,A,7,10.8,A,7,16100,B,7,77777,A,7,0.9,E,8,0.068,F,8,0.14,F,8,0,1,D,9,0,C,8,275.9481906
1/1/1999,8:00,107,1332,35,2,8,281,2,15,14,2,8,40,2,8,168,2,15,25,2,8,31,2,19,0,E,9,0,E,9,6,A,7,-11,A,7,25,A,7,865,A,7,50,A,7,11.3,A,7,16100,B,7,77777,A,7,0.9,E,8,0.068,F,8,0.14,F,8,0,1,D,9,0,C,8,280.5046934
1/1/1999,9:00,342,1415,192,2,8,607,2,15,45,2,8,198,2,8,512,2,15,73,2,8,88,2,19,0,E,9,0,E,9,7,A,7,-9,A,7,28,A,7,866,A,7,50,A,7,9.3,A,7,16100,B,7,77777,A,7,0.9,E,8,0.068,F,8,0.14,F,8,0,1,D,9,0,C,8,281.109087
1/1/1999,10:00,537,1415,346,2,8,727,2,15,69,2,8,359,2,8,683,2,15,98,2,8,138,2,19,0,E,9,0,E,9,8.3,A,7,-8.3,A,7,28,A,7,866,A,7,50,A,7,9.8,A,7,16000,B,7,77777,A,7,0.8,E,8,0.068,F,8,0.14,F,8,0,1,D,9,0,C,8,282.7711832
