723865,NELLIS AFB,NV,-8,36.25,-115.033,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1997,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,E,9,5,E,9,10.8,E,9,3.5,E,9,61,A,7,943,E,9,300,E,9,2.1,E,9,16100,C,8,5631,E,9,2,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,283.8
1/1/1997,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,E,9,5,E,9,7.6,E,9,3.1,E,9,73,A,7,944,E,9,330,E,9,2.7,E,9,16100,C,8,5464,E,9,2,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,281.3436618
1/1/1997,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,E,9,5,E,9,7.9,E,9,2.8,E,9,70,A,7,944,E,9,320,E,9,2.2,E,9,16100,C,8,5298,E,9,2,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,280.1569433
1/1/1997,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,E,9,5,E,9,8,E,9,2.9,E,9,70,A,7,944,E,9,350,E,9,1.1,E,9,16100,C,8,5131,E,9,2,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,279.8384667
1/1/1997,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,E,9,5,E,9,7.8,E,9,3.1,E,9,72,A,7,944,E,9,340,E,9,2.7,E,9,16100,C,8,4964,E,9,2,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,279.6382296
1/1/1997,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,E,9,5,E,9,7.3,E,9,3.3,E,9,76,A,7,944,E,9,360,E,9,2.2,E,9,16100,C,8,4797,E,9,2,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,279.3462669
1/1/1997,7:00,1,153,0,1,18,3,1,22,0,1,18,0,1,18,0,1,22,0,1,18,0,1,34,8,E,9,5,E,9,7,E,9,3,E,9,76,A,7,944,E,9,30,E,9,4.7,E,9,16100,C,8,4630,E,9,2,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,279.0287429
1/1/1997,8:00,146,1415,36,1,18,49,1,22,31,1,18,40,1,18,28,1,22,37,1,18,65,1,34,10,E,9,6,E,9,8.4,E,9,3.7,E,9,72,A,7,945,E,9,20,E,9,4.7,E,9,16100,C,8,4463,E,9,2,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,279.4883082
1/1/1997,9:00,370,1415,191,1,18,240,1,22,128,1,18,198,1,18,204,1,22,144,1,18,267,1,34,10,E,9,6,E,9,11.2,E,9,4.4,E,9,63,A,7,945,E,9,100,E,9,3.2,E,9,16100,C,8,4297,E,9,2,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,281.7283508
1/1/1997,10:00,549,1415,243,1,18,327,1,22,116,1,18,258,1,18,312,1,22,137,1,18,223,1,34,10,E,9,6,E,9,14.9,E,9,4.6,E,9,50,A,7,945,E,9,70,E,9,2.7,E,9,16100,C,8,4130,E,9,2,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,284.9258817
1/1/1997,11:00,668,1415,339,1,18,249,1,22,221,1,18,367,1,18,252,1,22,248,1,18,541,1,34,9,E,9,5,E,9,17.9,E,9,3.8,E,9,39,A,7,945,E,9,120,E,9,1.1,E,9,16100,C,8,3963,E,9,2,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,287.3024702
1/1/1997,12:00,720,1415,436,1,18,522,1,22,170,1,18,462,1,18,524,1,22,194,1,18,362,1,34,9,E,9,5,E,9,18.6,E,9,3.4,E,9,36,A,7,945,E,9,170,E,9,4.1,E,9,16100,C,8,3796,E,9,1.9,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,289.8116885
1/1/1997,13:00,701,1415,425,1,18,330,1,22,261,1,18,446,1,18,340,1,22,277,1,18,623,1,34,9,E,9,5,E,9,19.9,E,9,2,E,9,30,A,7,945,E,9,150,E,9,6.8,E,9,16100,C,8,3629,E,9,1.9,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,291.6376939
1/1/1997,14:00,612,1415,327,1,18,379,1,22,163,1,18,351,1,18,382,1,22,185,1,18,346,1,34,9,E,9,5,E,9,20,E,9,2.2,E,9,31,A,7,946,E,9,140,E,9,5.2,E,9,16100,C,8,3462,E,9,1.9,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,293.0046989
1/1/1997,15:00,460,1415,191,1,18,298,1,22,93,1,18,202,1,18,271,1,22,114,1,18,173,1,34,9,E,9,5,E,9,20.9,E,9,1.8,E,9,28,A,7,946,E,9,140,E,9,4.1,E,9,16100,C,8,3296,E,9,1.9,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,293.215697
1/1/1997,16:00,255,1415,74,1,18,110,1,22,54,1,18,79,1,18,78,1,22,65,1,18,99,1,34,10,E,9,6,E,9,20,E,9,2.6,E,9,32,A,7,946,E,9,200,E,9,7.3,E,9,16100,C,8,3129,E,9,1.9,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,290.8438379
1/1/1997,17:00,40,814,8,1,18,13,1,22,8,1,18,10,1,18,5,1,22,10,1,18,16,1,34,10,E,9,6,E,9,19.1,E,9,5,E,9,39,A,7,946,E,9,210,E,9,7.8,E,9,16100,C,8,2962,E,9,1.9,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,291.0896425
1/1/1997,18:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,7,E,9,16.5,E,9,5.2,E,9,47,A,7,947,E,9,220,E,9,10.3,E,9,16100,C,8,2795,E,9,1.9,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,284.4939776
1/1/1997,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,6,E,9,13.9,E,9,5.3,E,9,56,A,7,947,E,9,210,E,9,5.7,E,9,16100,C,8,2628,E,9,1.9,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,285.5226552
1/1/1997,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,6,E,9,15.8,E,9,5.5,E,9,50,A,7,947,E,9,240,E,9,6.8,E,9,16100,C,8,2461,E,9,1.8,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,286.1054092
1/1/1997,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,6,E,9,14.9,E,9,3.9,E,9,48,A,7,947,E,9,240,E,9,7.1,E,9,16100,C,8,2295,E,9,1.8,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,286.4266744
1/1/1997,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,6,E,9,13.5,E,9,5.8,E,9,60,A,7,948,E,9,250,E,9,7.2,E,9,16100,C,8,2128,E,9,1.8,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,286.7212924
1/1/1997,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,6,E,9,12.5,E,9,4.3,E,9,57,A,7,949,E,9,250,E,9,6.7,E,9,16100,C,8,1961,E,9,1.8,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,284.2211529
1/1/1997,24:00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,6,E,9,11.7,E,9,5.1,E,9,64,A,7,950,E,9,250,E,9,7.3,E,9,16100,C,8,1794,E,9,1.8,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,284.9819721
1/2/1997,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,6,E,9,11.2,E,9,4.7,E,9,64,A,7,951,E,9,270,E,9,8.3,E,9,16100,C,8,1627,E,9,1.8,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,282.7871282
1/2/1997,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,6,E,9,10.9,E,9,4.4,E,9,64,A,7,952,E,9,270,E,9,6.7,E,9,16100,C,8,1460,E,9,1.8,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,282.657147
1/2/1997,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,6,E,9,10.6,E,9,5.1,E,9,69,A,7,952,E,9,270,E,9,5.7,E,9,16100,C,8,1294,E,9,1.8,E,8,0.046,F,8,0.23,F,8,0,1,D,9,0,C,8,282.4412476
