723870,MERCURY DESERT ROCK AP [SURFRAD],NV,-8,36.63,-116.02,935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,8,A,7,-3,A,7,44,A,7,903,A,7,10,A,7,2.6,A,7,16100,B,7,77777,A,7,1.3,E,8,0.034,F,8,0.23,F,8,0,1,D,9,0,C,8,281
1/1/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,6,A,7,-3,A,7,51,A,7,904,A,7,20,A,7,2.6,A,7,16100,B,7,77777,A,7,1.3,E,8,0.034,F,8,0.23,F,8,0,1,D,9,0,C,8,278.9726694
1/1/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,5,A,7,-3,A,7,55,A,7,903,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1.3,E,8,0.034,F,8,0.23,F,8,0,1,D,9,0,C,8,277.4794245
1/1/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3.3,A,7,-3.9,A,7,57,A,7,903,A,7,300,A,7,1.5,A,7,16000,B,7,77777,A,7,1.3,E,8,0.034,F,8,0.23,F,8,0,1,D,9,0,C,8,276.0916616
1/1/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3,A,7,-3,A,7,63,A,7,903,A,7,40,A,7,2.1,A,7,16100,B,7,77777,A,7,1.3,E,8,0.034,F,8,0.23,F,8,0,1,D,9,0,C,8,275.4437619
1/1/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3,A,7,-4,A,7,58,A,7,902,A,7,340,A,7,2.1,A,7,16100,B,7,77777,A,7,1.3,E,8,0.034,F,8,0.23,F,8,0,1,D,9,0,C,8,275.0454699
1/1/1998,7:00,0,59,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,A,7,3,A,7,-4,A,7,58,A,7,902,A,7,350,A,7,2.1,A,7,16100,B,7,77777,A,7,1.3,E,8,0.034,F,8,0.23,F,8,0,1,D,9,0,C,8,274.8454774
1/1/1998,8:00,125,1415,53,2,9,490,2,21,10,2,9,58,2,9,317,2,21,29,2,9,31,2,25,0,E,9,0,A,7,6,A,7,-3,A,7,51,A,7,903,A,7,340,B,8,2.6,A,7,16100,B,7,77777,A,7,1.3,E,8,0.034,F,8,0.23,F,8,0,1,D,9,0,C,8,278.9240815
1/1/1998,9:00,350,1415,223,2,9,775,2,21,31,2,9,237,2,9,669,2,21,71,2,9,80,2,25,0,E,9,0,A,7,10,A,7,-3,A,7,39,A,7,903,A,7,320,A,7,2.1,A,7,16100,B,7,77777,A,7,1.3,E,8,0.034,F,8,0.23,F,8,0,1,D,9,0,C,8,285.0019045
1/1/1998,10:00,531,1415,381,2,9,833,2,21,67,2,9,396,2,9,781,2,21,101,2,9,135,2,25,0,E,9,0,A,7,12.8,A,7,-3.3,A,7,31,A,7,903,A,7,30,A,7,2.1,A,7,16000,B,7,77777,A,7,1.2,E,8,0.034,F,8,0.23,F,8,0,1,D,9,0,C,8,287.6142873
