723895,PORTERVILLE (AWOS),CA,-8,36.033,-119.067,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,2,A,7,-6,A,7,52,A,7,997,E,9,130,A,7,3.6,A,7,16100,C,8,77777,A,7,1.5,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,275
1/1/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,3,A,7,-4,A,7,58,A,7,997,E,9,140,A,7,4.1,A,7,16100,C,8,77777,A,7,1.4,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,274.5729759
1/1/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,3,A,7,-4,A,7,58,A,7,997,E,9,150,A,7,2.1,A,7,16100,B,7,77777,A,7,1.4,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,274.6172446
1/1/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,3,A,7,-4,A,7,58,A,7,997,E,9,140,A,7,1.5,A,7,16100,B,7,77777,A,7,1.3,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,274.6383146
1/1/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,3,A,7,2,A,7,-5,A,7,57,A,7,997,E,9,140,A,7,2.6,A,7,16100,B,7,77777,A,7,1.2,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,274.3380649
1/1/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,2,A,7,2,A,7,-5,A,7,57,A,7,997,E,9,160,A,7,2.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,274.0004631
1/1/2000,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,5,A,7,2,A,7,-5,A,7,57,A,7,997,E,9,160,A,7,3.6,A,7,14500,B,7,77777,A,7,1.1,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,273.831692
1/1/2000,8:00,87,1214,10,2,9,0,2,21,10,2,9,12,2,9,0,2,21,12,2,9,39,2,25,10,E,9,5,A,7,3,A,7,-4,A,7,58,A,7,997,E,9,160,A,7,2.6,A,7,11300,B,7,77777,A,7,1,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,274.0434295
1/1/2000,9:00,317,1415,72,2,9,0,2,21,72,2,9,81,2,9,0,2,21,81,2,9,258,2,25,10,E,9,5,A,7,6,A,7,-2,A,7,55,A,7,997,E,9,0,A,7,0,A,7,11300,B,7,77777,A,7,0.9,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,275.1697746
1/1/2000,10:00,510,1415,124,2,9,6,2,21,122,2,9,141,2,9,4,2,21,140,2,9,470,2,25,0,E,9,0,A,7,7,A,7,-2,A,7,52,A,7,997,E,9,170,A,7,1.5,A,7,12900,B,7,77777,A,7,0.8,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,276.3579699
1/1/2000,11:00,646,1415,374,2,9,341,2,21,218,2,9,394,2,9,347,2,21,235,2,9,495,2,25,6,E,9,3,A,7,9,A,7,-1,A,7,49,A,7,997,E,9,170,A,7,3.1,A,7,16100,B,7,77777,A,7,0.9,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,278.567464
1/1/2000,12:00,717,1415,443,2,9,526,2,21,175,2,9,467,2,9,528,2,21,198,2,9,373,2,25,3,B,8,2,B,8,11,A,7,-1,A,7,43,A,7,997,E,9,210,A,7,2.6,A,7,14500,C,8,77777,A,7,0.9,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,281.6422549
1/1/2000,13:00,716,1415,429,2,9,443,2,21,204,2,9,445,2,9,443,2,21,220,2,9,442,2,25,0,E,9,0,A,7,12,A,7,-1,A,7,40,A,7,997,E,9,250,A,7,3.6,A,7,12900,C,8,77777,A,7,0.9,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,284.2969647
1/1/2000,14:00,645,1415,411,2,9,471,2,21,195,2,9,422,2,9,463,2,21,210,2,9,409,2,25,0,E,9,0,A,7,12,A,7,-1,A,7,40,A,7,997,E,9,240,A,7,2.6,A,7,11300,B,7,77777,A,7,0.9,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,285.0102317
1/1/2000,15:00,508,1415,229,2,9,162,2,21,170,2,9,246,2,9,155,2,21,190,2,9,391,2,25,0,E,9,0,A,7,12,A,7,-1,A,7,40,A,7,997,E,9,250,A,7,3.1,A,7,14500,B,7,77777,A,7,0.9,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,284.1887207
1/1/2000,16:00,315,1415,204,2,9,239,2,21,150,2,9,213,2,9,191,2,21,170,2,9,326,2,25,6,E,9,2,A,7,12,A,7,-1,A,7,40,A,7,997,E,9,280,A,7,1.5,A,7,14500,B,7,77777,A,7,0.9,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,284.6221549
1/1/2000,17:00,86,1214,23,2,9,103,2,21,17,2,9,27,2,9,45,2,21,24,2,9,29,2,25,10,E,9,5,A,7,9,A,7,-2,A,7,45,A,7,997,E,9,330,A,7,2.1,A,7,16100,B,7,77777,A,7,0.9,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,282.6697421
1/1/2000,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,9,A,7,-1,A,7,49,A,7,997,E,9,10,A,7,2.1,A,7,14500,B,7,1800,A,7,0.9,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,281.4587015
1/1/2000,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,A,7,9,A,7,-2,A,7,45,A,7,997,E,9,50,A,7,1.5,A,7,11300,B,7,1800,A,7,1,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,280.9987347
1/1/2000,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,9,A,7,-2,A,7,45,A,7,997,E,9,40,A,7,2.1,A,7,9700,B,7,1800,A,7,1,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,280.7705969
1/1/2000,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,8,A,7,-2,A,7,48,A,7,997,E,9,0,A,7,0,A,7,11300,C,8,2400,A,7,1,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,280.3516065
1/1/2000,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,7,A,7,-1,A,7,56,A,7,997,E,9,270,A,7,2.6,A,7,12900,C,8,1950,B,8,1,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,279.2594779
1/1/2000,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,8,A,7,-1,A,7,52,A,7,997,E,9,280,A,7,3.6,A,7,14500,C,8,1500,A,7,1,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,279.2389613
1/1/2000,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,7,A,7,-1,A,7,56,A,7,997,E,9,290,A,7,3.6,A,7,16100,B,7,1500,A,7,0.9,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,279.0962697
1/2/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,A,7,5,A,7,-3,A,7,55,A,7,997,E,9,290,A,7,2.6,A,7,16100,B,7,1500,A,7,0.9,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,278.0034531
1/2/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,A,7,4,A,7,-4,A,7,54,A,7,997,E,9,0,A,7,0,A,7,16100,B,7,1230,A,7,0.9,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,276.4694328
1/2/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,4,A,7,-3,A,7,59,A,7,997,E,9,0,A,7,0,A,7,16100,B,7,1290,A,7,0.9,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,276.0501111
1/2/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,4,A,7,-3,A,7,59,A,7,997,E,9,0,A,7,0,A,7,16100,B,7,780,A,7,0.8,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,275.8393021
1/2/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,A,7,4,A,7,-3,A,7,59,A,7,997,E,9,0,A,7,0,A,7,16100,B,7,840,A,7,0.8,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,275.736583
1/2/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,3,A,7,-4,A,7,58,A,7,997,E,9,260,A,7,2.1,A,7,16100,B,7,1440,A,7,0.8,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,275.3795934
1/2/2000,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,3,A,7,-4,A,7,58,A,7,997,E,9,0,A,7,0,A,7,16100,B,7,1320,A,7,0.7,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,275.0129502
1/2/2000,8:00,87,1214,19,2,9,50,2,21,16,2,9,22,2,9,20,2,21,20,2,9,27,2,25,9,E,9,9,A,7,3,A,7,-4,A,7,58,A,7,997,E,9,160,A,7,1.5,A,7,16100,B,7,1260,A,7,0.7,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,275.0886453
1/2/2000,9:00,317,1415,64,2,9,0,2,21,64,2,9,73,2,9,0,2,21,73,2,9,237,2,25,10,E,9,10,A,7,5,A,7,-3,A,7,55,A,7,997,E,9,320,A,7,4.1,A,7,16100,B,7,180,A,7,0.7,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,275.4521649
1/2/2000,10:00,510,1415,194,2,9,80,2,21,165,2,9,212,2,9,76,2,21,185,2,9,437,2,25,10,E,9,10,A,7,4,A,7,-3,A,7,59,A,7,997,E,9,340,A,7,1.5,A,7,11300,B,7,120,A,7,0.7,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,275.4022542
1/2/2000,11:00,647,1415,220,2,9,29,2,21,207,2,9,247,2,9,25,2,21,236,2,9,766,2,25,9,E,9,9,A,7,6,A,7,-2,A,7,55,A,7,997,E,9,0,A,7,0,A,7,16100,B,7,180,A,7,0.7,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,275.4482224
1/2/2000,12:00,718,1415,159,2,9,0,2,21,159,2,9,185,2,9,0,2,21,185,2,9,680,2,25,5,E,9,5,A,7,7,A,7,-2,A,7,52,A,7,997,E,9,310,A,7,2.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,276.1119638
1/2/2000,13:00,718,1415,214,2,9,24,2,21,202,2,9,244,2,9,20,2,21,234,2,9,808,2,25,10,E,9,10,A,7,7,A,7,-2,A,7,52,A,7,997,E,9,310,A,7,3.6,A,7,16100,B,7,300,A,7,0.7,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,276.5813501
1/2/2000,14:00,648,1415,369,2,9,304,2,21,229,2,9,387,2,9,309,2,21,245,2,9,526,2,25,10,E,9,10,A,7,8,A,7,-3,A,7,44,A,7,997,E,9,350,A,7,4.1,A,7,16100,B,7,420,A,7,0.8,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,278.297643
1/2/2000,15:00,511,1415,331,2,9,526,2,21,140,2,9,342,2,9,491,2,21,163,2,9,274,2,25,2,E,9,2,A,7,8,A,7,-2,A,7,48,A,7,997,E,9,360,A,7,3.6,A,7,16100,B,7,77777,A,7,0.8,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,281.4357965
1/2/2000,16:00,318,1415,202,2,9,398,2,21,112,2,9,201,2,9,312,2,21,131,2,9,217,2,25,0,E,9,0,A,7,7,A,7,-2,A,7,52,A,7,997,E,9,360,A,7,3.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,282.0141475
1/2/2000,17:00,89,1214,24,2,9,175,2,21,13,2,9,28,2,9,90,2,21,21,2,9,25,2,25,0,E,9,0,A,7,6,A,7,-3,A,7,51,A,7,997,E,9,50,A,7,1.5,A,7,16100,B,7,77777,A,7,0.9,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,280.7064167
1/2/2000,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,4,A,7,-4,A,7,54,A,7,997,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.124,F,8,0.19,F,8,0,1,D,9,0,C,8,278.1149226
