723926,CAMARILLO (AWOS),CA,-8,34.217,-119.083,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2002,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,13,A,7,13,A,7,100,A,7,1018,A,7,110,B,8,1.5,B,8,8000,B,7,540,A,7,2.5,E,8,0.095,F,8,0.14,F,8,0,1,D,9,10,C,8,286
1/1/2002,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,13,A,7,13,A,7,100,A,7,1018,A,7,100,A,7,1.5,A,7,8000,B,7,540,A,7,2.5,E,8,0.095,F,8,0.14,F,8,0,1,D,9,10,C,8,285.2460022
1/1/2002,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,13,A,7,12,A,7,94,A,7,1017,A,7,60,A,7,2.1,A,7,8000,B,7,540,A,7,2.6,E,8,0.095,F,8,0.14,F,8,0,1,D,9,10,C,8,284.8545257
1/1/2002,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,12.6,B,8,12.1,B,8,97,A,7,1017,B,8,60,B,8,1.8,B,8,8000,C,8,540,B,8,2.6,E,8,0.095,F,8,0.14,F,8,0,1,D,9,10,C,8,284.5374187
1/1/2002,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,12,A,7,12,A,7,100,A,7,1016,A,7,60,A,7,1.5,A,7,8000,B,7,540,A,7,2.7,E,8,0.095,F,8,0.14,F,8,0,1,D,9,10,C,8,284.1205127
1/1/2002,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,5,A,7,12,A,7,12,A,7,100,A,7,1016,A,7,60,A,7,2.6,A,7,6400,B,7,77777,A,7,2.7,E,8,0.095,F,8,0.14,F,8,0,1,D,9,10,C,8,283.8025374
1/1/2002,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,3,A,7,12,A,7,11,A,7,94,A,7,1017,A,7,60,A,7,3.1,A,7,6400,B,7,77777,A,7,2.8,E,8,0.095,F,8,0.14,F,8,0,1,D,9,10,C,8,283.6493912
1/1/2002,8:00,107,1332,5,2,8,0,2,15,5,2,8,6,2,8,0,2,15,6,2,8,21,2,19,0,E,9,0,A,7,12,A,7,11,A,7,94,A,7,1018,A,7,70,A,7,2.6,A,7,4800,B,7,77777,A,7,2.8,E,8,0.095,F,8,0.14,F,8,0,1,D,9,10,C,8,283.5591309
1/1/2002,9:00,345,1415,110,2,8,64,2,15,95,2,8,121,2,8,55,2,15,108,2,8,241,2,19,0,E,9,0,A,7,13,A,7,12,A,7,94,A,7,1018,A,7,20,A,7,1.5,A,7,6400,B,7,77777,A,7,2.9,E,8,0.095,F,8,0.14,F,8,0,1,D,9,10,C,8,283.8986994
1/1/2002,10:00,543,1415,275,2,8,269,2,15,172,2,8,290,2,8,263,2,15,189,2,8,369,2,19,0,E,9,0,A,7,13,A,7,12,A,7,94,A,7,1019,A,7,350,B,8,2,B,8,8000,B,7,77777,A,7,2.9,E,8,0.095,F,8,0.14,F,8,0,1,D,9,10,C,8,284.7403106
