723965,PASO ROBLES MUNICIPAL ARPT,CA,-8,35.667,-120.633,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2004,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,8,E,9,5,A,7,3.3,A,7,89,A,7,987,A,7,100,A,7,1.5,A,7,9600,B,7,77777,A,7,1.7,E,8,0.068,F,8,0.16,F,8,0,1,D,9,10,C,8,278
1/1/2004,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,5,E,9,5,A,7,3.9,A,7,93,A,7,987,A,7,100,A,7,2.6,A,7,12800,B,7,77777,A,7,1.7,E,8,0.068,F,8,0.16,F,8,0,1,D,9,0,C,8,277.3034591
1/1/2004,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,5.6,A,7,3.9,A,7,89,A,7,988,A,7,100,A,7,2.6,A,7,14400,B,7,3353,A,7,1.6,E,8,0.068,F,8,0.16,F,8,0,1,D,9,0,C,8,277.145502
1/1/2004,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,6.1,A,7,4.4,A,7,89,A,7,987,A,7,90,A,7,3.6,A,7,14400,B,7,3048,A,7,1.6,E,8,0.068,F,8,0.16,F,8,0,1,D,9,0,C,8,277.349324
1/1/2004,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,6.7,A,7,3.9,A,7,82,A,7,988,A,7,100,A,7,3.1,A,7,16000,B,7,2438,A,7,1.6,E,8,0.068,F,8,0.16,F,8,0,1,D,9,0,C,8,277.744198
1/1/2004,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,6.7,A,7,4.4,A,7,85,A,7,988,A,7,0,A,7,0,A,7,16000,B,7,2743,A,7,1.6,E,8,0.068,F,8,0.16,F,8,0,1,D,9,0,C,8,278.0416156
1/1/2004,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,6.7,A,7,4.4,A,7,85,A,7,988,A,7,110,A,7,1.5,A,7,16000,B,7,2896,A,7,1.6,E,8,0.068,F,8,0.16,F,8,0,1,D,9,0,C,8,278.1786281
1/1/2004,8:00,71,1097,6,2,8,0,2,15,6,2,8,7,2,8,0,2,15,7,2,8,24,2,19,10,E,9,10,E,9,6.7,A,7,5,A,7,89,A,7,989,A,7,0,A,7,0,A,7,16000,B,7,2591,A,7,1.7,E,8,0.068,F,8,0.16,F,8,0,1,D,9,0,C,8,278.2211913
1/1/2004,9:00,300,1415,50,2,8,0,2,15,50,2,8,58,2,8,0,2,15,58,2,8,192,2,19,10,E,9,9,E,9,7.8,A,7,5.6,A,7,86,A,7,990,A,7,120,A,7,2.1,A,7,16000,B,7,2438,A,7,1.9,E,8,0.068,F,8,0.16,F,8,0,1,D,9,0,C,8,278.4466679
1/1/2004,10:00,499,1415,172,2,8,68,2,15,147,2,8,187,2,8,64,2,15,165,2,8,396,2,19,9,E,9,5,E,9,10,A,7,6.1,A,7,77,A,7,990,A,7,180,A,7,5.7,A,7,16000,B,7,77777,A,7,2,E,8,0.068,F,8,0.16,F,8,0,1,D,9,0,C,8,279.4486455
