724026,MELFA/ACCOMACK ARPT,VA,-5,37.65,-75.767,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,3,A,7,2,A,7,93,A,7,1011,E,9,120,A,7,1.5,A,7,400,B,7,30,A,7,1,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,276
1/1/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,3,A,7,3,A,7,100,A,7,1011,E,9,170,A,7,1.5,A,7,400,B,7,30,A,7,1,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,275.3318724
1/1/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2,A,7,2,A,7,100,A,7,1011,E,9,170,A,7,2.6,A,7,400,B,7,30,A,7,1.1,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,274.6212965
1/1/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,1,A,7,1,A,7,100,A,7,1011,E,9,160,A,7,2.6,A,7,400,B,7,30,A,7,1.1,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,273.8860126
1/1/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2,A,7,1,A,7,93,A,7,1011,E,9,170,A,7,3.1,A,7,4000,B,7,77777,A,7,1.2,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,273.5955366
1/1/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,4,A,7,100,A,7,1011,E,9,170,A,7,3.6,A,7,4000,B,7,77777,A,7,1.2,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,274.3197123
1/1/2000,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6,A,7,6,A,7,100,A,7,1011,E,9,190,A,7,3.6,A,7,11300,B,7,77777,A,7,1.2,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,275.7573628
1/1/2000,8:00,52,955,6,2,9,137,2,21,2,2,9,11,2,9,80,2,21,7,2,9,8,2,25,0,E,9,0,E,9,7,A,7,7,A,7,100,A,7,1011,E,9,180,A,7,3.1,A,7,11300,B,7,77777,A,7,1.3,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,277.3250446
1/1/2000,9:00,267,1415,147,2,9,466,2,21,58,2,9,148,2,9,344,2,21,83,2,9,100,2,25,0,E,9,0,E,9,9,A,7,9,A,7,100,A,7,1011,E,9,180,A,7,4.6,A,7,16100,B,7,77777,A,7,1.3,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,279.2125375
1/1/2000,10:00,461,1415,284,2,9,594,2,21,89,2,9,291,2,9,533,2,21,117,2,9,165,2,25,0,E,9,0,E,9,11,A,7,8,A,7,82,A,7,1011,E,9,190,A,7,4.1,A,7,16100,B,7,77777,A,7,1.4,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,282.286382
1/1/2000,11:00,601,1415,392,2,9,641,2,21,118,2,9,404,2,9,610,2,21,143,2,9,230,2,25,0,E,9,0,E,9,14,A,7,8,A,7,67,A,7,1011,E,9,200,A,7,7.7,A,7,16100,B,7,77777,A,7,1.4,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,286.6703493
1/1/2000,12:00,678,1415,443,2,9,706,2,21,103,2,9,467,2,9,695,2,21,132,2,9,218,2,25,0,E,9,0,E,9,16,A,7,6,A,7,51,A,7,1011,E,9,200,A,7,4.6,A,7,16100,B,7,77777,A,7,1.4,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,291.2600644
1/1/2000,13:00,685,1415,440,2,9,707,2,21,96,2,9,467,2,9,699,2,21,126,2,9,206,2,25,0,E,9,0,E,9,17,A,7,3,A,7,39,A,7,1011,E,9,210,A,7,7.2,A,7,16100,B,7,77777,A,7,1.5,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,293.5963858
1/1/2000,14:00,624,1415,413,2,9,718,2,21,95,2,9,434,2,9,697,2,21,126,2,9,195,2,25,0,E,9,0,E,9,18,A,7,4,A,7,39,A,7,1011,E,9,180,A,7,5.1,A,7,16100,B,7,77777,A,7,1.5,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,295.5117501
1/1/2000,15:00,496,1415,315,2,9,695,2,21,70,2,9,331,2,9,646,2,21,104,2,9,138,2,25,0,E,9,0,E,9,16,A,7,6,A,7,51,A,7,1011,E,9,190,A,7,4.6,A,7,16100,B,7,77777,A,7,1.5,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,296.2003162
1/1/2000,16:00,313,1415,178,2,9,586,2,21,48,2,9,185,2,9,471,2,21,81,2,9,90,2,25,5,E,9,5,E,9,15,A,7,6,A,7,55,A,7,1011,E,9,190,A,7,3.1,A,7,16100,B,7,77777,A,7,1.5,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,295.2273006
1/1/2000,17:00,91,1262,31,2,9,260,2,21,14,2,9,35,2,9,149,2,21,24,2,9,30,2,25,4,E,9,4,E,9,13,A,7,7,A,7,67,A,7,1011,E,9,180,A,7,2.1,A,7,16100,B,7,77777,A,7,1.4,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,291.7313666
1/1/2000,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,0,E,9,11,A,7,6,A,7,71,A,7,1011,E,9,180,A,7,2.1,A,7,16100,B,7,77777,A,7,1.4,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,286.9141157
1/1/2000,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,A,7,10,A,7,6,A,7,76,A,7,1011,E,9,180,A,7,3.1,A,7,16100,B,7,2400,A,7,1.4,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,283.6590945
1/1/2000,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,B,8,5,B,8,10,B,8,6.5,B,8,79,A,7,1011,E,9,190,B,8,3.1,B,8,16100,C,8,12200,B,8,1.4,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,282.5177281
1/1/2000,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,10,A,7,7,A,7,82,A,7,1011,E,9,190,A,7,3.1,A,7,16100,B,7,77777,A,7,1.4,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,282.0194056
1/1/2000,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,9,A,7,7,A,7,87,A,7,1011,E,9,210,A,7,3.1,A,7,16100,B,7,77777,A,7,1.4,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,281.4716139
1/1/2000,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,10,A,7,7,A,7,82,A,7,1011,E,9,190,A,7,3.6,A,7,16100,B,7,77777,A,7,1.4,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,281.3226828
1/1/2000,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,9,A,7,8,A,7,93,A,7,1011,E,9,190,A,7,2.6,A,7,16100,B,7,77777,A,7,1.4,E,8,0.065,F,8,0.16,F,8,0,1,D,9,0,C,8,281.1191638
