724056,MARION / WYTHEVILLE,VA,-5,36.9,-81.35,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-4,A,7,78,A,7,924,E,9,0,A,7,0,A,7,16100,B,7,1500,A,7,1.6,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,272
1/1/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,-2,A,7,79,A,7,924,E,9,0,A,7,0,A,7,16100,B,7,1500,A,7,1.6,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,271.9655958
1/1/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,3,A,7,-2,A,7,68,A,7,924,E,9,0,A,7,0,A,7,16100,B,7,1500,A,7,1.7,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,273.0513389
1/1/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,2,A,7,-2,A,7,73,A,7,924,E,9,0,A,7,0,A,7,16100,B,7,1500,A,7,1.7,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,273.5815044
1/1/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,3,A,7,-2,A,7,68,A,7,924,E,9,0,A,7,0,A,7,16100,B,7,1500,A,7,1.8,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,273.9639578
1/1/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,2,A,7,-2,A,7,73,A,7,924,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,1.8,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,274.0058474
1/1/2000,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2,A,7,-3,A,7,67,A,7,924,E,9,0,A,7,0,A,7,16100,B,7,1800,A,7,1.9,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,273.8346423
1/1/2000,8:00,13,483,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,3,A,7,-2,A,7,68,A,7,924,E,9,0,A,7,0,A,7,16100,B,7,1800,A,7,1.9,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,274.0801383
1/1/2000,9:00,195,1415,54,2,9,0,2,21,54,2,9,59,2,9,0,2,21,59,2,9,171,2,25,10,E,9,10,E,9,4,A,7,-1,A,7,69,A,7,924,E,9,0,A,7,0,A,7,16100,B,7,1800,A,7,1.9,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,274.541066
1/1/2000,10:00,407,1415,137,2,9,19,2,21,132,2,9,151,2,9,12,2,21,148,2,9,434,2,25,10,E,9,10,E,9,6,A,7,0,A,7,65,A,7,924,E,9,0,A,7,0,A,7,10000,B,7,1800,A,7,2,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,275.3266333
1/1/2000,11:00,571,1415,196,2,9,37,2,21,181,2,9,215,2,9,36,2,21,200,2,9,497,2,25,10,E,9,10,E,9,11,A,7,0,A,7,47,A,7,924,E,9,80,A,7,2.1,A,7,16100,B,7,1800,A,7,2,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,277.8091076
1/1/2000,12:00,673,1415,237,2,9,61,2,21,208,2,9,260,2,9,60,2,21,231,2,9,608,2,25,10,E,9,10,E,9,13,A,7,1,A,7,44,A,7,924,E,9,70,A,7,2.1,A,7,16100,B,7,1800,A,7,2.1,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,280.6594876
1/1/2000,13:00,707,1415,464,2,9,486,2,21,220,2,9,477,2,9,485,2,21,234,2,9,479,2,25,10,E,9,10,E,9,15,A,7,3,A,7,44,A,7,924,E,9,0,A,7,0,A,7,16100,B,7,2100,A,7,2.1,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,285.5384223
1/1/2000,14:00,670,1415,157,2,9,6,2,21,154,2,9,181,2,9,5,2,21,179,2,9,641,2,25,8,E,9,8,E,9,17,A,7,3,A,7,39,A,7,924,E,9,0,A,7,0,A,7,16100,B,7,2100,A,7,2.1,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,287.654618
1/1/2000,15:00,566,1415,245,2,9,171,2,21,176,2,9,265,2,9,168,2,21,198,2,9,413,2,25,7,E,9,6,E,9,18,A,7,4,A,7,39,A,7,924,E,9,120,A,7,2.6,A,7,16100,B,7,77777,A,7,2.1,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,288.75922
1/1/2000,16:00,400,1415,62,2,9,0,2,21,62,2,9,72,2,9,0,2,21,72,2,9,252,2,25,10,E,9,10,E,9,15,A,7,4,A,7,48,A,7,924,E,9,0,A,7,0,A,7,16100,B,7,1500,A,7,2.1,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,287.7298836
1/1/2000,17:00,186,1415,31,2,9,0,2,21,31,2,9,36,2,9,0,2,21,36,2,9,113,2,25,10,E,9,10,E,9,14,A,7,4,A,7,51,A,7,924,E,9,0,A,7,0,A,7,16100,B,7,1500,A,7,2,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,285.9968943
1/1/2000,18:00,10,413,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,E,9,11,A,7,4,A,7,62,A,7,924,E,9,70,A,7,2.1,A,7,16100,B,7,77777,A,7,2,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,284.0070693
1/1/2000,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,9,A,7,3,A,7,66,A,7,924,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,2,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,281.8027064
1/1/2000,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,8,A,7,4,A,7,76,A,7,924,E,9,80,A,7,1.5,A,7,16100,B,7,77777,A,7,1.9,E,8,0.064,F,8,0.17,F,8,0,1,D,9,0,C,8,280.7250416
