724070,ATLANTIC CITY INTL AP,NJ,-5,39.45,-74.567,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1978,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,A,7,6,A,7,-0.6,A,7,-6.1,A,7,66,A,7,1016,A,7,360,A,7,4.1,A,7,19300,B,7,700,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,3,C,8,272.4
1/1/1978,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,B,8,7,B,8,-0.4,B,8,-5.7,B,8,66,B,8,1016,B,8,360,B,8,3.9,B,8,19300,C,8,630,B,8,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,271.7849814
1/1/1978,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,9,B,8,-0.2,B,8,-5.5,B,8,67,B,8,1016,B,8,360,B,8,3.8,B,8,19300,C,8,560,B,8,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,271.6050517
1/1/1978,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,0,A,7,-5.6,A,7,67,A,7,1016,A,7,360,A,7,3.6,A,7,19300,B,7,490,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,271.6182575
1/1/1978,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,0,B,8,-5.3,B,8,67,B,8,1016,B,8,360,B,8,3.6,B,8,19300,C,8,480,B,8,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,271.6625722
1/1/1978,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,0,B,8,-5.3,B,8,67,B,8,1016,B,8,360,B,8,3.6,B,8,19300,C,8,470,B,8,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,271.6838234
1/1/1978,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,0,A,7,-5.6,A,7,67,A,7,1016,A,7,360,A,7,3.6,A,7,19300,B,7,460,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,2,C,8,271.6940288
1/1/1978,8:00,48,931,11,1,13,2,1,9,11,1,13,13,1,13,0,1,9,13,1,13,40,1,21,10,B,8,10,B,8,0.2,B,8,-5.6,B,8,66,B,8,1016,B,8,10,B,8,3.8,B,8,18233,C,8,560,B,8,0.8,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,271.7274173
1/1/1978,9:00,255,1415,65,1,13,1,1,9,64,1,13,71,1,13,0,1,9,71,1,13,216,1,21,10,B,8,10,B,8,0.4,B,8,-5.2,B,8,65,B,8,1016,B,8,30,B,8,3.9,B,8,17166,C,8,660,B,8,0.8,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,271.6415966
1/1/1978,10:00,441,1415,115,1,9,1,1,9,115,1,13,130,1,9,1,1,9,129,1,13,418,1,18,10,A,7,10,A,7,0.6,A,7,-5.6,A,7,64,A,7,1016,A,7,40,A,7,4.1,A,7,16100,B,7,760,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,271.4201373
1/1/1978,11:00,573,1415,180,1,9,9,1,9,176,1,13,201,1,9,7,1,9,198,1,13,641,1,18,10,B,8,10,B,8,1,B,8,-4.5,B,8,66,B,8,1014,B,8,50,B,8,3.9,B,8,16100,C,8,670,B,8,0.8,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,271.2217782
1/1/1978,12:00,643,1415,244,1,9,10,1,9,239,1,13,270,1,9,9,1,9,265,1,13,825,1,18,10,B,8,10,B,8,1.3,B,8,-3.8,B,8,68,B,8,1013,B,8,50,B,8,3.8,B,8,16100,C,8,580,B,8,0.9,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,271.0286145
1/1/1978,13:00,645,1415,207,1,9,7,1,9,204,1,13,232,1,9,6,1,9,230,1,13,758,1,18,10,A,7,10,A,7,1.7,A,7,-3.3,A,7,70,A,7,1012,A,7,60,A,7,3.6,A,7,16100,B,7,490,A,7,0.9,E,8,0,F,8,0,?,0,0,1,D,9,2,C,8,271.1506245
