724095,TRENTON MERCER COUNTY AP,NJ,-5,40.283,-74.817,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1997,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,B,8,1,B,8,-6.9,B,8,-9.6,B,8,79,A,7,1008,E,9,10,B,8,2.6,B,8,16100,C,8,77777,B,8,1.2,E,8,0.076,F,8,0.16,F,8,0,1,D,9,0,C,8,266.1
1/1/1997,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,B,8,1,B,8,-7.7,B,8,-10.4,B,8,79,A,7,1009,E,9,10,B,8,2.6,B,8,16100,C,8,77777,B,8,1.2,E,8,0.076,F,8,0.16,F,8,0,1,D,9,0,C,8,265.1961699
1/1/1997,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,B,8,1,B,8,-8.5,B,8,-11.3,B,8,78,A,7,1009,E,9,20,B,8,2.6,B,8,16100,C,8,77777,B,8,1.2,E,8,0.076,F,8,0.16,F,8,0,1,D,9,0,C,8,264.346388
1/1/1997,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,B,8,1,B,8,-9.3,B,8,-12.3,B,8,76,A,7,1009,E,9,20,B,8,2.6,B,8,16100,C,8,77777,B,8,1.2,E,8,0.076,F,8,0.16,F,8,0,1,D,9,0,C,8,263.6227018
1/1/1997,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,B,8,2,B,8,-10.4,B,8,-13.6,B,8,75,A,7,1010,E,9,20,B,8,2.6,B,8,16100,C,8,77777,B,8,1.2,E,8,0.076,F,8,0.16,F,8,0,1,D,9,0,C,8,262.6718025
1/1/1997,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,A,7,2,E,9,-11,A,7,-15,A,7,70,A,7,1010,E,9,20,A,7,2.6,A,7,16100,B,7,77777,A,7,1.2,E,8,0.076,F,8,0.16,F,8,0,1,D,9,0,C,8,261.8022866
1/1/1997,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,B,8,2,B,8,-11,B,8,-15.5,B,8,66,A,7,1011,E,9,30,B,8,2.6,B,8,16100,C,8,77777,B,8,1.2,E,8,0.076,F,8,0.16,F,8,0,1,D,9,0,C,8,261.3527074
1/1/1997,8:00,40,861,13,1,11,111,1,16,8,1,11,15,1,11,48,1,16,12,1,11,16,1,22,5,A,7,2,E,9,-11,A,7,-16,A,7,63,A,7,1013,E,9,30,A,7,2.6,A,7,16100,B,7,77777,A,7,1.2,E,8,0.076,F,8,0.16,F,8,0,1,D,9,0,C,8,261.2867815
1/1/1997,9:00,238,1415,93,1,11,118,1,16,73,1,11,100,1,11,85,1,16,86,1,11,156,1,22,9,A,7,4,E,9,-10,A,7,-17,A,7,53,A,7,1012,E,9,60,A,7,2.6,A,7,16100,B,7,6000,A,7,1.3,E,8,0.076,F,8,0.16,F,8,0,1,D,9,0,C,8,261.3394085
1/1/1997,10:00,423,1415,240,1,11,200,1,16,180,1,11,254,1,11,180,1,16,200,1,11,403,1,22,9,A,7,4,E,9,-9,A,7,-19,A,7,40,A,7,1012,E,9,90,A,7,4.1,A,7,16100,B,7,6000,A,7,1.3,E,8,0.076,F,8,0.16,F,8,0,1,D,9,0,C,8,261.7568747
