724100,LYNCHBURG REGIONAL ARPT,VA,-5,37.333,-79.2,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1976,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,4.4,A,7,3.4,B,8,93,A,7,969,A,7,360,B,8,4.1,B,8,40200,C,8,557,B,8,1.2,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,277.4
1/1/1976,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,4.2,B,8,3,B,8,92,A,7,970,B,8,360,B,8,4.1,B,8,40200,C,8,692,B,8,1.2,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,276.48924
1/1/1976,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,9,B,8,4.1,B,8,2.7,B,8,91,A,7,972,B,8,350,B,8,4.1,B,8,40200,C,8,828,B,8,1.2,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,276.1260348
1/1/1976,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,9,B,8,3.9,A,7,2.4,B,8,90,A,7,974,A,7,350,B,8,4.1,B,8,40200,C,8,963,B,8,1.2,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,275.8643032
1/1/1976,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,9,B,8,4.3,B,8,1.6,B,8,83,A,7,976,B,8,350,B,8,4.1,B,8,40200,C,8,1099,B,8,1.1,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,275.8265943
1/1/1976,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,9,B,8,4.6,B,8,0.8,B,8,76,A,7,977,B,8,350,B,8,4.1,B,8,40200,C,8,1234,B,8,1.1,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,275.9838944
1/1/1976,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,A,7,5,A,7,0,A,7,70,A,7,978,A,7,350,A,7,4.1,A,7,40200,B,7,1370,A,7,1.1,E,8,0,?,0,0,?,0,0,1,D,9,1,C,8,276.2490478
1/1/1976,8:00,24,649,15,1,18,26,1,18,12,1,18,0,1,18,0,1,18,0,1,18,0,1,31,6,B,8,6,B,8,5.6,B,8,-0.3,B,8,69,B,8,980,B,8,350,B,8,4.3,B,8,50933,C,8,77777,B,8,1.1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,276.6670975
1/1/1976,9:00,221,1415,76,1,18,125,1,18,56,1,18,80,1,18,82,1,18,67,1,18,105,1,31,4,B,8,4,B,8,6.1,B,8,0.2,B,8,69,B,8,981,B,8,360,B,8,4.4,B,8,61666,C,8,77777,B,8,1.1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,277.0859048
1/1/1976,10:00,426,1415,257,1,9,720,1,9,39,1,13,272,1,9,649,1,9,75,1,13,96,1,18,1,A,7,1,A,7,6.7,A,7,1.1,A,7,68,A,7,982,A,7,360,A,7,4.6,A,7,72400,B,7,77777,A,7,1.1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,279.2039843
1/1/1976,11:00,580,1415,368,1,9,776,1,9,48,1,13,388,1,9,739,1,9,84,1,13,121,1,18,1,B,8,1,B,8,7.8,B,8,0.3,B,8,63,B,8,983,B,8,360,B,8,4.6,B,8,72400,C,8,77777,B,8,1.1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,282.7326767
1/1/1976,12:00,673,1415,457,1,9,870,1,9,41,1,13,485,1,9,846,1,9,81,1,13,117,1,18,1,B,8,1,B,8,8.9,B,8,0.2,B,8,57,B,8,983,B,8,350,B,8,4.6,B,8,72400,C,8,77777,B,8,1.1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,286.6650213
1/1/1976,13:00,696,1415,482,1,9,876,1,9,49,1,13,509,1,9,854,1,9,87,1,13,132,1,18,1,A,7,1,A,7,10,A,7,0.6,A,7,52,A,7,983,A,7,350,A,7,4.6,A,7,72400,B,7,77777,A,7,1.1,E,8,0,F,8,0,?,0,0,1,D,9,2,C,8,290.1112412
1/1/1976,14:00,650,1415,438,1,9,821,1,9,61,1,13,462,1,9,793,1,9,96,1,13,140,1,18,1,B,8,1,B,8,10.4,B,8,-0.3,B,8,50,B,8,984,B,8,330,B,8,3.9,B,8,72400,C,8,77777,B,8,1.1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,291.9971925
1/1/1976,15:00,537,1415,322,1,9,739,1,9,42,1,13,343,1,9,696,1,9,78,1,13,110,1,18,0,B,8,0,B,8,10.7,B,8,-0.7,B,8,47,B,8,984,B,8,320,B,8,3.3,B,8,72400,C,8,77777,B,8,1.1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,292.4740939
1/1/1976,16:00,364,1415,227,1,13,756,1,9,32,1,13,242,1,13,658,1,9,71,1,13,83,1,21,0,A,7,0,A,7,11.1,A,7,-0.6,A,7,45,A,7,984,A,7,300,A,7,2.6,A,7,72400,B,7,77777,A,7,1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,292.7434286
1/1/1976,17:00,146,1415,68,1,13,481,1,9,19,1,13,73,1,13,323,1,9,39,1,13,42,1,21,0,B,8,0,B,8,9.3,B,8,-1.1,B,8,51,B,8,985,B,8,320,B,8,1.7,B,8,56300,C,8,77777,B,8,1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,290.2844355
1/1/1976,18:00,2,177,6,1,13,21,1,9,2,1,13,0,1,13,0,1,9,0,1,13,0,1,21,0,B,8,0,B,8,7.4,B,8,-1.1,B,8,57,B,8,986,B,8,340,B,8,0.9,B,8,40200,C,8,77777,B,8,1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,284.7007361
1/1/1976,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,5.6,A,7,-1.1,A,7,63,A,7,987,A,7,0,A,7,0,A,7,24100,B,7,77777,A,7,1,E,8,0,?,0,0,?,0,0,1,D,9,2,C,8,280.2620256
