724105,STAUNTON/SHENANDOAH,VA,-5,38.267,-78.9,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,9,A,7,7,A,7,87,A,7,970,E,9,0,A,7,0,A,7,16100,B,7,77777,B,8,1.7,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,282
1/1/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,10,A,7,8,A,7,87,A,7,970,E,9,230,A,7,2.6,A,7,16100,B,7,77777,A,7,1.8,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,281.5527128
1/1/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,9.9,B,8,8.3,B,8,90,A,7,970,E,9,300,B,8,1.3,B,8,16100,C,8,77777,A,7,1.9,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,281.5164038
1/1/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,10,A,7,9,A,7,93,A,7,970,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,2,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,281.5129864
1/1/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,7,A,7,6,A,7,93,A,7,970,E,9,0,A,7,0,A,7,2400,B,7,77777,A,7,1.9,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,280.5445703
1/1/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,7,A,7,6,A,7,93,A,7,970,E,9,0,A,7,0,A,7,800,B,7,150,A,7,1.8,E,8,0.067,F,8,0.17,F,8,0,1,D,9,10,C,8,279.5169105
1/1/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,6,A,7,6,A,7,100,A,7,970,E,9,0,A,7,0,A,7,800,B,7,150,A,7,1.7,E,8,0.067,F,8,0.17,F,8,0,1,D,9,45,C,8,278.778158
1/1/2005,8:00,21,601,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,A,7,7,A,7,7,A,7,100,A,7,970,E,9,0,A,7,0,A,7,4000,B,7,77777,A,7,1.8,E,8,0.067,F,8,0.17,F,8,0,1,D,9,45,C,8,278.4984825
1/1/2005,9:00,211,1415,129,2,9,299,2,21,84,2,9,131,2,9,188,2,21,103,2,9,176,2,25,8,E,9,5,A,7,9,A,7,9,A,7,100,A,7,970,E,9,0,A,7,0,A,7,6400,B,7,77777,A,7,1.9,E,8,0.067,F,8,0.17,F,8,0,1,D,9,10,C,8,279.3248598
1/1/2005,10:00,413,1415,228,2,9,373,2,21,118,2,9,233,2,9,326,2,21,137,2,9,226,2,25,0,E,9,0,A,7,14,A,7,12,A,7,88,A,7,970,E,9,180,A,7,1.5,A,7,16100,B,7,77777,A,7,1.9,E,8,0.067,F,8,0.17,F,8,0,1,D,9,10,C,8,282.3555232
1/1/2005,11:00,565,1415,325,2,9,454,2,21,143,2,9,339,2,9,435,2,21,165,2,9,283,2,25,0,E,9,0,A,7,17,A,7,13,A,7,77,A,7,970,E,9,190,A,7,1.5,A,7,16100,B,7,77777,A,7,2,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,286.8620722
1/1/2005,12:00,655,1415,416,2,9,581,2,21,145,2,9,441,2,9,575,2,21,174,2,9,295,2,25,0,E,9,0,A,7,19,A,7,12,A,7,64,A,7,970,E,9,250,A,7,3.1,A,7,16100,B,7,77777,A,7,2,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,291.7071864
1/1/2005,13:00,678,1415,389,2,9,438,2,21,179,2,9,407,2,9,435,2,21,198,2,9,376,2,25,0,E,9,0,A,7,20,A,7,11,A,7,56,A,7,970,E,9,300,A,7,2.6,A,7,16100,B,7,77777,A,7,2,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,293.7995321
1/1/2005,14:00,631,1415,387,2,9,482,2,21,171,2,9,402,2,9,472,2,21,190,2,9,351,2,25,7,E,9,5,A,7,21,A,7,10,A,7,49,A,7,970,E,9,320,A,7,2.6,A,7,16100,B,7,77777,A,7,2,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,294.552114
1/1/2005,15:00,518,1415,165,2,9,111,2,21,124,2,9,182,2,9,108,2,21,142,2,9,286,2,25,0,E,9,0,A,7,20,A,7,10,A,7,53,A,7,970,E,9,330,A,7,4.6,A,7,16100,B,7,77777,A,7,2.1,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,292.8908209
1/1/2005,16:00,347,1415,189,2,9,390,2,21,93,2,9,194,2,9,319,2,21,116,2,9,174,2,25,0,E,9,0,A,7,19,A,7,9,A,7,52,A,7,970,E,9,330,A,7,1.5,A,7,16100,B,7,77777,A,7,2.1,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,293.2528531
1/1/2005,17:00,132,1415,56,2,9,257,2,21,32,2,9,56,2,9,136,2,21,43,2,9,54,2,25,0,E,9,0,A,7,17,A,7,9,A,7,59,A,7,970,E,9,350,A,7,1.5,A,7,16100,B,7,77777,A,7,2,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,292.3154177
1/1/2005,18:00,1,106,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,A,7,13,A,7,8,A,7,72,A,7,970,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,2,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,288.566038
1/1/2005,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,11,A,7,7,A,7,76,A,7,970,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,1.9,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,285.0677923
1/1/2005,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,8,A,7,6,A,7,87,A,7,970,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,2,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,282.4359899
1/1/2005,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,6,A,7,5,A,7,93,A,7,970,E,9,0,A,7,0,A,7,11300,B,7,77777,A,7,2,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,280.2241712
1/1/2005,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,6,A,7,4,A,7,87,A,7,970,E,9,0,A,7,0,A,7,11300,B,7,77777,A,7,2,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,278.7843403
1/1/2005,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,5,A,7,4,A,7,93,A,7,970,E,9,0,A,7,0,A,7,11300,B,7,77777,A,7,2.1,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,277.8937685
1/1/2005,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,5,A,7,4,A,7,3,A,7,93,A,7,970,E,9,0,A,7,0,A,7,8000,B,7,77777,A,7,2.1,E,8,0.067,F,8,0.17,F,8,0,1,D,9,0,C,8,276.9339428
1/2/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,5,A,7,4,A,7,93,A,7,970,E,9,0,A,7,0,A,7,11300,B,7,77777,A,7,2.1,E,8,0.066,F,8,0.17,F,8,0,1,D,9,10,C,8,276.5943597
1/2/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,A,7,4,A,7,3,A,7,93,A,7,970,E,9,0,A,7,0,A,7,8000,B,7,77777,A,7,2.1,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,276.2983159
1/2/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,6,A,7,5,A,7,93,A,7,970,E,9,0,A,7,0,A,7,8000,B,7,1440,A,7,2.1,E,8,0.066,F,8,0.17,F,8,0,1,D,9,10,C,8,276.6215159
1/2/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,7,A,7,6,A,7,93,A,7,970,E,9,0,A,7,0,A,7,11300,B,7,1500,A,7,2.1,E,8,0.066,F,8,0.17,F,8,0,1,D,9,10,C,8,277.5078959
1/2/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,7,A,7,6,A,7,93,A,7,970,E,9,0,A,7,0,A,7,11300,B,7,1500,A,7,2.1,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,278.0977998
1/2/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,7,A,7,6,A,7,93,A,7,970,E,9,0,A,7,0,A,7,11300,B,7,1500,A,7,2.1,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,278.363752
1/2/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,8,A,7,7,A,7,93,A,7,970,E,9,0,A,7,0,A,7,11300,B,7,1500,A,7,2,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,278.827264
1/2/2005,8:00,21,601,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,A,7,8,A,7,7,A,7,93,A,7,970,E,9,0,A,7,0,A,7,8000,B,7,1500,A,7,2.1,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,279.2328989
1/2/2005,9:00,211,1415,70,2,9,29,2,21,65,2,9,76,2,9,22,2,21,72,2,9,151,2,25,10,E,9,10,A,7,8,A,7,7,A,7,93,A,7,970,E,9,0,A,7,0,A,7,8000,B,7,810,A,7,2.1,E,8,0.066,F,8,0.17,F,8,0,1,D,9,10,C,8,279.2286404
1/2/2005,10:00,414,1415,64,2,9,0,2,21,64,2,9,75,2,9,0,2,21,75,2,9,262,2,25,10,E,9,10,A,7,10,A,7,7,A,7,82,A,7,970,E,9,0,A,7,0,A,7,11300,B,7,630,A,7,2.1,E,8,0.066,F,8,0.17,F,8,0,1,D,9,10,C,8,279.7861421
1/2/2005,11:00,566,1415,143,2,9,0,2,21,143,2,9,162,2,9,0,2,21,162,2,9,556,2,25,10,E,9,10,A,7,10,A,7,7,A,7,82,A,7,970,E,9,0,A,7,0,A,7,11300,B,7,570,A,7,2.2,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,280.1342342
1/2/2005,12:00,657,1415,137,2,9,0,2,21,137,2,9,159,2,9,0,2,21,159,2,9,581,2,25,5,E,9,5,A,7,11,A,7,7,A,7,76,A,7,970,E,9,0,A,7,0,A,7,11300,B,7,77777,A,7,2.2,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,280.5162344
1/2/2005,13:00,680,1415,120,2,9,0,2,21,120,2,9,141,2,9,0,2,21,141,2,9,532,2,25,9,E,9,9,A,7,12,A,7,8,A,7,76,A,7,970,E,9,200,A,7,2.1,A,7,11300,B,7,900,A,7,2.3,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,281.3241188
