724107,HILLSVILLE,VA,-5,36.767,-80.817,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,5,A,7,5,A,7,-3,A,7,55,A,7,918,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,1.5,E,8,0.061,F,8,0.17,F,8,0,1,D,9,0,C,8,278
1/1/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,5,A,7,4,A,7,-3,A,7,59,A,7,918,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,1.5,E,8,0.061,F,8,0.17,F,8,0,1,D,9,0,C,8,276.5129071
1/1/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,4,A,7,-4,A,7,54,A,7,918,E,9,200,A,7,1.5,A,7,16100,B,7,1500,A,7,1.6,E,8,0.061,F,8,0.17,F,8,0,1,D,9,0,C,8,276.0725054
1/1/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,4,A,7,-2,A,7,64,A,7,918,E,9,210,A,7,2.6,A,7,16100,B,7,77777,A,7,1.6,E,8,0.061,F,8,0.17,F,8,0,1,D,9,0,C,8,275.8503232
1/1/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,4,A,7,-3,A,7,59,A,7,918,E,9,180,A,7,2.1,A,7,16100,B,7,1800,A,7,1.6,E,8,0.061,F,8,0.17,F,8,0,1,D,9,0,C,8,275.7419094
1/1/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,4,A,7,-3,A,7,59,A,7,918,E,9,220,A,7,1.5,A,7,16100,B,7,1800,A,7,1.6,E,8,0.061,F,8,0.17,F,8,0,1,D,9,0,C,8,275.6897099
1/1/2000,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,4,A,7,-2,A,7,64,A,7,918,E,9,200,A,7,1.5,A,7,16100,B,7,1800,A,7,1.6,E,8,0.061,F,8,0.17,F,8,0,1,D,9,0,C,8,275.6647277
1/1/2000,8:00,16,531,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,9,A,7,3,A,7,-2,A,7,68,A,7,918,E,9,220,A,7,2.1,A,7,16100,B,7,1800,A,7,1.6,E,8,0.061,F,8,0.17,F,8,0,1,D,9,0,C,8,275.3428129
1/1/2000,9:00,205,1415,62,2,9,0,2,21,62,2,9,68,2,9,0,2,21,68,2,9,190,2,25,10,E,9,10,A,7,4,A,7,0,A,7,75,A,7,918,E,9,210,A,7,2.1,A,7,16100,B,7,1800,A,7,1.6,E,8,0.061,F,8,0.17,F,8,0,1,D,9,0,C,8,275.0923274
1/1/2000,10:00,416,1415,158,2,9,63,2,21,139,2,9,172,2,9,58,2,21,155,2,9,348,2,25,10,E,9,9,A,7,8,A,7,2,A,7,66,A,7,918,E,9,180,A,7,3.1,A,7,16100,B,7,1800,A,7,1.6,E,8,0.061,F,8,0.17,F,8,0,1,D,9,0,C,8,276.3784196
