724110,ROANOKE REGIONAL AP,VA,-5,37.317,-79.967,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2.2,A,7,-1.7,A,7,74,A,7,980,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,1.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,275.2
1/1/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,1.7,A,7,-2.2,A,7,74,A,7,979,A,7,310,A,7,1.5,A,7,16000,B,7,77777,A,7,1.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,274.2462745
1/1/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,0.6,A,7,-2.2,A,7,80,A,7,980,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,1.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,273.4178536
1/1/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,1.7,A,7,-2.2,A,7,74,A,7,980,A,7,0,A,7,0,A,7,16000,B,7,2134,A,7,1.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,273.1960327
1/1/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0.6,A,7,-2.2,A,7,80,A,7,980,A,7,0,A,7,0,A,7,16000,B,7,2134,A,7,1.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,272.9475974
1/1/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1.7,A,7,-0.6,A,7,84,A,7,981,A,7,0,A,7,0,A,7,16000,B,7,2134,A,7,1.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,272.966064
1/1/2000,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,3.3,A,7,0,A,7,79,A,7,981,A,7,0,A,7,0,A,7,16000,B,7,2134,A,7,1.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,273.7339338
1/1/2000,8:00,19,578,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,9,E,9,9,E,9,2.8,A,7,0,A,7,82,A,7,981,A,7,350,A,7,1.5,A,7,16000,B,7,2286,A,7,1.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,274.2211767
1/1/2000,9:00,210,1415,40,2,9,0,2,21,40,2,9,45,2,9,0,2,21,45,2,9,143,2,25,10,E,9,10,E,9,4.4,A,7,-0.6,A,7,70,A,7,982,A,7,40,A,7,1.5,A,7,16000,B,7,2438,A,7,1.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,274.7545874
1/1/2000,10:00,417,1415,93,2,9,0,2,21,93,2,9,106,2,9,0,2,21,106,2,9,351,2,25,10,E,9,10,E,9,6.1,A,7,0,A,7,65,A,7,983,A,7,0,A,7,0,A,7,16000,B,7,2438,A,7,1.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,275.6569163
1/1/2000,11:00,575,1415,137,2,9,0,2,21,137,2,9,156,2,9,0,2,21,156,2,9,544,2,25,10,E,9,10,E,9,7.2,A,7,0.6,A,7,63,A,7,983,A,7,0,A,7,0,A,7,16000,B,7,2438,A,7,1.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,276.5366238
1/1/2000,12:00,670,1415,162,2,9,0,2,21,162,2,9,186,2,9,0,2,21,186,2,9,665,2,25,10,E,9,10,E,9,8.3,A,7,0,A,7,56,A,7,982,A,7,0,A,7,0,A,7,16000,B,7,2286,A,7,1.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,277.3697454
1/1/2000,13:00,698,1415,258,2,9,72,2,21,222,2,9,283,2,9,72,2,21,247,2,9,653,2,25,9,E,9,8,E,9,10,A,7,1.1,A,7,54,A,7,980,A,7,360,B,8,1.5,A,7,16000,B,7,2438,A,7,1.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,278.7617581
1/1/2000,14:00,655,1415,139,2,9,0,2,21,139,2,9,161,2,9,0,2,21,161,2,9,587,2,25,8,E,9,8,E,9,11.7,A,7,1.7,A,7,50,A,7,981,A,7,0,A,7,0,A,7,16000,B,7,2591,A,7,1.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,280.3341426
1/1/2000,15:00,545,1415,321,2,9,452,2,21,146,2,9,332,2,9,429,2,21,167,2,9,288,2,25,7,E,9,6,E,9,12.8,A,7,3.3,A,7,52,A,7,981,A,7,130,A,7,1.5,A,7,16000,B,7,77777,A,7,1.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,284.7805053
1/1/2000,16:00,375,1415,212,2,9,552,2,21,65,2,9,219,2,9,469,2,21,94,2,9,120,2,25,3,E,9,3,E,9,13.3,A,7,5.6,A,7,60,A,7,981,A,7,80,A,7,1.5,A,7,16000,B,7,77777,A,7,1.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,289.078548
1/1/2000,17:00,159,1415,73,2,9,302,2,21,39,2,9,73,2,9,175,2,21,53,2,9,65,2,25,7,E,9,7,E,9,12.2,A,7,7.8,A,7,74,A,7,982,A,7,70,A,7,2.6,A,7,14400,B,7,77777,A,7,1.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,289.4956979
1/1/2000,18:00,4,271,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,8,E,9,8,E,9,11.7,A,7,9.4,A,7,86,A,7,982,A,7,120,A,7,3.6,A,7,12800,B,7,2591,A,7,1.8,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,286.7855407
1/1/2000,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,A,7,11.1,A,7,9.4,A,7,89,A,7,981,A,7,0,A,7,0,A,7,11200,B,7,2743,A,7,1.8,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,284.5078821
