724115,HOT SPRINGS/INGALLS,VA,-5,37.95,-79.833,1156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,8,A,7,8,A,7,100,A,7,883,E,9,280,A,7,6.7,A,7,400,B,7,60,A,7,1.9,E,8,0.055,F,8,0.17,F,8,0,1,D,9,0,C,8,281
1/1/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,8,A,7,8,A,7,100,A,7,883,E,9,270,A,7,7.2,A,7,400,B,7,60,A,7,2,E,8,0.055,F,8,0.17,F,8,0,1,D,9,0,C,8,279.9481418
1/1/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,8,A,7,8,A,7,100,A,7,883,E,9,280,A,7,6.7,A,7,400,B,7,60,A,7,2,E,8,0.055,F,8,0.17,F,8,0,1,D,9,0,C,8,279.7549474
1/1/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,8,A,7,8,A,7,100,A,7,883,E,9,280,A,7,5.7,A,7,400,B,7,60,A,7,2.1,E,8,0.055,F,8,0.17,F,8,0,1,D,9,0,C,8,279.6621508
1/1/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,9,A,7,8,A,7,93,A,7,883,E,9,270,A,7,6.2,A,7,400,B,7,60,A,7,2,E,8,0.055,F,8,0.17,F,8,0,1,D,9,0,C,8,279.9539164
1/1/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,8,A,7,8,A,7,100,A,7,883,E,9,270,A,7,7.7,A,7,400,B,7,60,A,7,1.9,E,8,0.055,F,8,0.17,F,8,0,1,D,9,0,C,8,279.9509512
1/1/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,9,A,7,8,A,7,93,A,7,883,E,9,270,A,7,6.7,A,7,400,B,7,60,A,7,1.8,E,8,0.055,F,8,0.17,F,8,0,1,D,9,0,C,8,280.0864442
1/1/2005,8:00,17,554,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,A,7,9,A,7,8,A,7,93,A,7,883,E,9,270,A,7,7.2,A,7,400,B,7,60,A,7,1.9,E,8,0.055,F,8,0.17,F,8,0,1,D,9,0,C,8,280.3422941
1/1/2005,9:00,202,1415,31,2,9,0,2,21,31,2,9,36,2,9,0,2,21,36,2,9,116,2,25,10,E,9,10,A,7,8,A,7,8,A,7,100,A,7,883,E,9,270,A,7,5.7,A,7,400,B,7,60,A,7,1.9,E,8,0.055,F,8,0.17,F,8,0,1,D,9,0,C,8,280.026417
1/1/2005,10:00,408,1415,65,2,9,0,2,21,65,2,9,76,2,9,0,2,21,76,2,9,264,2,25,10,E,9,10,A,7,9,A,7,8,A,7,93,A,7,883,E,9,280,A,7,5.1,A,7,400,B,7,60,A,7,2,E,8,0.055,F,8,0.17,F,8,0,1,D,9,0,C,8,279.8281987
