724117,WISE/LONESOME PINE,VA,-5,36.983,-82.533,817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2002,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,8,E,9,7,E,9,93,A,7,920,E,9,310,E,9,2.1,E,9,16100,C,8,2700,E,9,0.3,E,8,0.061,F,8,0.17,F,8,0,1,D,9,0,C,8,281
1/1/2002,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,8,E,9,7,E,9,93,A,7,920,E,9,340,E,9,1,E,9,16100,C,8,2700,E,9,0.3,E,8,0.061,F,8,0.17,F,8,0,1,D,9,0,C,8,280.2795826
1/1/2002,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,7.7,E,9,6.6,E,9,93,A,7,920,E,9,0,E,9,0,E,9,16100,C,8,2700,E,9,0.3,E,8,0.061,F,8,0.17,F,8,0,1,D,9,0,C,8,279.8267112
1/1/2002,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,7.7,E,9,6.6,E,9,93,A,7,920,E,9,340,E,9,0.6,E,9,16100,C,8,2700,E,9,0.3,E,8,0.061,F,8,0.17,F,8,0,1,D,9,0,C,8,279.5447717
1/1/2002,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,8,E,9,7,E,9,93,A,7,920,E,9,310,E,9,1.2,E,9,16100,C,8,2700,E,9,0.3,E,8,0.061,F,8,0.17,F,8,0,1,D,9,0,C,8,279.505224
1/1/2002,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,7.6,E,9,7,E,9,96,A,7,920,E,9,290,E,9,1.8,E,9,16100,C,8,77777,E,9,0.3,E,8,0.061,F,8,0.17,F,8,0,1,D,9,0,C,8,279.4140355
1/1/2002,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,7,E,9,7,E,9,100,A,7,920,E,9,260,E,9,2.4,E,9,16100,C,8,1500,E,9,0.3,E,8,0.061,F,8,0.17,F,8,0,1,D,9,0,C,8,279.105497
1/1/2002,8:00,7,366,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,7.2,E,9,6.6,E,9,96,A,7,920,E,9,240,E,9,3,E,9,16100,C,8,990,E,9,0.3,E,8,0.061,F,8,0.17,F,8,0,1,D,9,0,C,8,278.9039356
1/1/2002,9:00,175,1415,71,2,9,110,2,21,57,2,9,76,2,9,68,2,21,67,2,9,120,2,25,10,E,9,10,E,9,9,E,9,7,E,9,87,A,7,920,E,9,210,E,9,3.6,E,9,16100,C,8,930,E,9,0.3,E,8,0.061,F,8,0.17,F,8,0,1,D,9,0,C,8,279.3960923
1/1/2002,10:00,391,1415,125,2,9,51,2,21,110,2,9,136,2,9,46,2,21,123,2,9,284,2,25,10,E,9,10,E,9,9.4,E,9,7.1,E,9,86,A,7,920,E,9,210,E,9,3.4,E,9,16100,C,8,990,E,9,0.3,E,8,0.061,F,8,0.17,F,8,0,1,D,9,0,C,8,279.8457031
