724120,BECKLEY RALEIGH CO MEM AP,WV,-5,37.8,-81.117,763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1991,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-6.7,A,7,-7.8,A,7,91,A,7,940,A,7,140,A,7,1.5,A,7,19200,B,7,77777,A,7,1.4,E,8,0.068,F,8,0.17,F,8,0,1,D,9,0,C,8,266.3
1/1/1991,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-6.1,A,7,-7.8,A,7,86,A,7,940,A,7,140,A,7,2.1,A,7,19200,B,7,77777,A,7,1.3,E,8,0.068,F,8,0.17,F,8,0,1,D,9,0,C,8,265.8888491
1/1/1991,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-5.6,A,7,-7.8,A,7,83,A,7,940,A,7,140,A,7,3.6,A,7,19200,B,7,77777,A,7,1.2,E,8,0.068,F,8,0.17,F,8,0,1,D,9,0,C,8,265.9482294
1/1/1991,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-4.4,A,7,-6.7,A,7,82,A,7,939,A,7,140,A,7,7.2,A,7,19200,B,7,77777,A,7,1.2,E,8,0.068,F,8,0.17,F,8,0,1,D,9,0,C,8,266.4707945
1/1/1991,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-3.3,A,7,-5.6,A,7,82,A,7,939,A,7,130,A,7,5.2,A,7,19200,B,7,77777,A,7,1.1,E,8,0.068,F,8,0.17,F,8,0,1,D,9,0,C,8,267.3228106
1/1/1991,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-3.9,A,7,-5.6,A,7,86,A,7,939,A,7,140,A,7,4.6,A,7,19200,B,7,77777,A,7,1.1,E,8,0.068,F,8,0.17,F,8,0,1,D,9,0,C,8,267.722258
1/1/1991,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,A,7,0,A,7,-3.3,A,7,-5,A,7,87,A,7,939,A,7,150,A,7,6.7,A,7,19200,B,7,77777,A,7,1,E,8,0.068,F,8,0.17,F,8,0,1,D,9,0,C,8,267.9906764
1/1/1991,8:00,10,436,2,1,10,36,1,16,2,1,10,0,1,10,0,1,16,0,1,10,0,1,21,5,A,7,2,A,7,-3.3,A,7,-5,A,7,87,A,7,939,A,7,130,A,7,5.7,A,7,19200,B,7,77777,A,7,1,E,8,0.068,F,8,0.17,F,8,0,1,D,9,0,C,8,268.2898126
1/1/1991,9:00,185,1415,91,1,10,140,1,16,73,1,10,97,1,10,88,1,16,85,1,10,154,1,21,5,A,7,3,A,7,-2.2,A,7,-4.4,A,7,83,A,7,939,A,7,140,A,7,5.7,A,7,32000,B,7,77777,A,7,1,E,8,0.068,F,8,0.17,F,8,0,1,D,9,0,C,8,268.6766289
1/1/1991,10:00,394,1415,237,1,10,590,1,16,73,1,10,245,1,10,507,1,16,103,1,10,134,1,21,2,A,7,2,A,7,-1.1,A,7,-3.3,A,7,83,A,7,940,A,7,130,A,7,4.6,A,7,32000,B,7,77777,A,7,1.1,E,8,0.068,F,8,0.17,F,8,0,1,D,9,0,C,8,270.4423482
