724140,CHARLESTON YEAGER ARPT,WV,-5,38.383,-81.583,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1982,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,7.8,A,7,5.6,A,7,86,A,7,974,A,7,190,A,7,2.6,A,7,11300,B,7,700,A,7,1.5,E,8,0,?,0,0,?,0,0,1,D,9,51,C,8,280.8
1/1/1982,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,7.2,A,7,5,A,7,86,A,7,974,A,7,220,A,7,2.6,A,7,9700,B,7,370,A,7,1.4,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,279.8177855
1/1/1982,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,7.8,A,7,6.1,A,7,89,A,7,975,A,7,260,A,7,3.1,A,7,11300,B,7,370,A,7,1.5,E,8,0,?,0,0,?,0,5,1,D,9,61,C,8,279.4808739
1/1/1982,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,7.8,A,7,6.7,A,7,93,A,7,975,A,7,250,A,7,3.1,A,7,4000,B,7,150,A,7,1.6,E,8,0,?,0,0,?,0,0,1,D,9,61,C,8,279.4286183
1/1/1982,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,7.2,A,7,6.7,A,7,96,A,7,976,A,7,260,A,7,4.1,A,7,4800,B,7,90,A,7,1.6,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,279.2122324
1/1/1982,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,7.2,A,7,6.1,A,7,93,A,7,976,A,7,270,A,7,5.2,A,7,3200,B,7,120,A,7,1.5,E,8,0,?,0,0,?,0,3,1,D,9,45,C,8,278.9932223
1/1/1982,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,7.2,A,7,6.1,A,7,93,A,7,977,A,7,260,A,7,3.6,A,7,11300,B,7,210,A,7,1.5,E,8,0,?,0,0,?,0,0,1,D,9,61,C,8,278.8873329
1/1/1982,8:00,7,342,2,1,13,0,1,9,2,1,13,0,1,13,0,1,9,0,1,13,0,1,21,10,A,7,10,A,7,6.7,A,7,5,A,7,89,A,7,978,A,7,280,A,7,4.1,A,7,11300,B,7,270,A,7,1.4,E,8,0,F,8,0,?,0,0,1,D,9,61,C,8,278.6701953
1/1/1982,9:00,170,1415,39,1,13,0,1,9,39,1,13,44,1,13,0,1,9,44,1,13,131,1,21,10,A,7,10,A,7,6.7,A,7,3.9,A,7,83,A,7,979,A,7,300,A,7,4.1,A,7,14500,B,7,370,A,7,1.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,278.3336853
1/1/1982,10:00,378,1415,109,1,9,1,1,9,108,1,13,120,1,9,1,1,9,120,1,13,369,1,18,10,A,7,10,A,7,6.1,A,7,2.8,A,7,79,A,7,980,A,7,320,A,7,3.6,A,7,14500,B,7,700,A,7,1.2,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,277.664579
1/1/1982,11:00,540,1415,165,1,9,1,1,9,165,1,13,185,1,9,1,1,9,184,1,13,593,1,18,10,A,7,10,A,7,5,A,7,1.1,A,7,76,A,7,982,A,7,310,A,7,7.2,A,7,14500,B,7,760,A,7,1.1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,277.9247931
1/1/1982,12:00,641,1415,197,1,9,0,1,9,196,1,13,220,1,9,0,1,9,220,1,13,737,1,18,10,A,7,10,A,7,3.3,A,7,-0.6,A,7,76,A,7,982,A,7,300,A,7,5.7,A,7,14500,B,7,880,A,7,1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,275.315309
1/1/1982,13:00,676,1415,212,1,9,1,1,9,212,1,13,239,1,9,1,1,9,239,1,13,801,1,18,10,A,7,10,A,7,3.3,A,7,-1.1,A,7,73,A,7,983,A,7,320,A,7,4.6,A,7,14500,B,7,640,A,7,1,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,273.9910529
1/1/1982,14:00,641,1415,198,1,9,1,1,9,198,1,13,223,1,9,1,1,9,223,1,13,742,1,18,10,A,7,10,A,7,2.2,A,7,-2.2,A,7,73,A,7,983,A,7,310,A,7,6.2,A,7,14500,B,7,640,A,7,0.9,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,273.0269255
1/1/1982,15:00,540,1415,158,1,9,0,1,9,157,1,13,176,1,9,0,1,9,176,1,13,575,1,18,10,A,7,10,A,7,1.1,A,7,-2.8,A,7,76,A,7,984,A,7,320,A,7,4.1,A,7,14500,B,7,580,A,7,0.9,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,272.1708325
1/1/1982,16:00,378,1415,103,1,9,0,1,9,103,1,13,115,1,9,0,1,9,115,1,13,359,1,18,10,A,7,10,A,7,0.6,A,7,-3.9,A,7,72,A,7,985,A,7,320,A,7,2.6,A,7,12900,B,7,610,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,77,C,8,271.656453
1/1/1982,17:00,170,1415,40,1,13,0,1,9,40,1,13,45,1,13,0,1,9,45,1,13,133,1,21,10,A,7,10,A,7,0,A,7,-4.4,A,7,72,A,7,986,A,7,340,A,7,2.6,A,7,12900,B,7,610,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,271.444857
1/1/1982,18:00,7,342,4,1,13,0,1,9,4,1,13,0,1,13,0,1,9,0,1,13,0,1,21,10,A,7,10,A,7,0,A,7,-4.4,A,7,72,A,7,987,A,7,340,A,7,2.6,A,7,12900,B,7,610,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,271.4834248
1/1/1982,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,0,A,7,-5.6,A,7,67,A,7,988,A,7,330,A,7,2.6,A,7,12900,B,7,610,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,2,C,8,271.5900348
1/1/1982,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,0,A,7,-5,A,7,69,A,7,989,A,7,330,A,7,2.1,A,7,12900,B,7,700,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,271.6490859
1/1/1982,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-0.6,A,7,-5,A,7,72,A,7,989,A,7,30,A,7,3.6,A,7,14500,B,7,700,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,271.4885411
1/1/1982,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-0.6,A,7,-5.6,A,7,69,A,7,989,A,7,40,A,7,2.6,A,7,14500,B,7,700,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,271.2966756
1/1/1982,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-0.6,A,7,-5.6,A,7,69,A,7,989,A,7,70,A,7,2.6,A,7,14500,B,7,700,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,271.2019407
1/1/1982,24:00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-1.1,A,7,-5.6,A,7,72,A,7,990,A,7,0,A,7,0,A,7,14500,B,7,760,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,271.00008
1/2/1982,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-1.1,A,7,-5.6,A,7,72,A,7,991,A,7,10,A,7,1.5,A,7,16100,B,7,760,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,270.8064298
1/2/1982,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,A,7,-1.7,A,7,-5.6,A,7,75,A,7,991,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,270.5269545
1/2/1982,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-2.2,A,7,-5.6,A,7,78,A,7,990,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,270.1271429
1/2/1982,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-3.3,A,7,-5.6,A,7,85,A,7,990,A,7,60,A,7,1.5,A,7,16100,B,7,77777,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,269.4735128
1/2/1982,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-3.3,A,7,-5.6,A,7,85,A,7,990,A,7,90,A,7,2.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,268.9740309
1/2/1982,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-3.9,A,7,-6.1,A,7,85,A,7,990,A,7,80,A,7,1.5,A,7,16100,B,7,77777,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,268.5374924
1/2/1982,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-4.4,A,7,-6.1,A,7,88,A,7,990,A,7,80,A,7,2.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,268.0585937
1/2/1982,8:00,7,342,4,1,13,4,1,9,4,1,13,0,1,13,0,1,9,0,1,13,0,1,21,3,A,7,1,A,7,-3.9,A,7,-6.1,A,7,85,A,7,990,A,7,80,A,7,2.6,A,7,11300,B,7,77777,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,267.860794
1/2/1982,9:00,169,1415,62,1,13,175,1,9,40,1,13,63,1,13,100,1,9,51,1,13,72,1,21,2,A,7,1,A,7,-2.2,A,7,-5.6,A,7,78,A,7,990,A,7,60,A,7,3.1,A,7,14500,B,7,77777,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,268.5207758
1/2/1982,10:00,379,1415,206,1,9,504,1,9,70,1,13,211,1,9,428,1,9,96,1,13,128,1,18,2,A,7,0,A,7,-0.6,A,7,-4.4,A,7,75,A,7,990,A,7,80,A,7,3.1,A,7,14500,B,7,77777,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,270.3866853
1/2/1982,11:00,540,1415,342,1,9,654,1,9,91,1,13,356,1,9,614,1,9,120,1,13,177,1,18,2,A,7,0,A,7,2.2,A,7,-3.9,A,7,64,A,7,990,A,7,60,A,7,3.1,A,7,14500,B,7,77777,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,274.3529578
1/2/1982,12:00,642,1415,394,1,9,556,1,9,141,1,13,419,1,9,549,1,9,169,1,13,284,1,18,7,A,7,2,A,7,6.7,A,7,-4.4,A,7,45,A,7,988,A,7,90,A,7,3.1,A,7,14500,B,7,77777,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,279.212013
1/2/1982,13:00,678,1415,424,1,9,539,1,9,165,1,13,447,1,9,536,1,9,189,1,13,343,1,18,10,A,7,2,A,7,10,A,7,-8.3,A,7,27,A,7,988,A,7,130,A,7,4.1,A,7,14500,B,7,77777,A,7,0.7,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,283.9053949
1/2/1982,14:00,644,1415,420,1,9,655,1,9,122,1,13,436,1,9,632,1,9,147,1,13,244,1,18,7,A,7,1,A,7,10.6,A,7,-10.6,A,7,22,A,7,987,A,7,140,A,7,6.2,A,7,14500,B,7,77777,A,7,0.6,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,286.5187922
1/2/1982,15:00,543,1415,279,1,13,224,1,13,193,1,13,300,1,13,217,1,13,216,1,13,449,1,23,8,A,7,4,A,7,10.6,A,7,-8.9,A,7,25,A,7,985,A,7,130,A,7,5.7,A,7,14500,B,7,77777,A,7,0.6,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,285.3485413
