724175,HARRISON MARION RGN,WV,-5,39.283,-80.233,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1991,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,E,9,-5.5,E,9,-6.6,E,9,91,A,7,972,E,9,0,E,9,0,E,9,24000,C,8,77777,E,9,1.2,E,8,0.078,F,8,0.18,F,8,0,1,D,9,0,C,8,267.5
1/1/1991,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-5.5,B,8,-6.6,B,8,91,A,7,972,E,9,0,B,8,0,B,8,24000,C,8,77777,B,8,1.1,E,8,0.078,F,8,0.18,F,8,0,1,D,9,0,C,8,266.9109295
1/1/1991,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-5.4,B,8,-6.7,B,8,89,A,7,972,E,9,0,B,8,0,B,8,24000,C,8,77777,B,8,1.1,E,8,0.078,F,8,0.18,F,8,0,1,D,9,0,C,8,266.6292092
1/1/1991,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-5.6,B,8,-6.8,B,8,90,A,7,973,E,9,0,B,8,0,B,8,24000,C,8,77777,B,8,1,E,8,0.078,F,8,0.18,F,8,0,1,D,9,0,C,8,266.4435004
1/1/1991,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-5.8,B,8,-7,B,8,90,A,7,974,E,9,0,B,8,0,B,8,24000,C,8,77777,B,8,1,E,8,0.078,F,8,0.18,F,8,0,1,D,9,0,C,8,266.2523228
1/1/1991,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-5.6,B,8,-7,B,8,89,A,7,974,E,9,0,B,8,0,B,8,24000,C,8,77777,B,8,0.9,E,8,0.078,F,8,0.18,F,8,0,1,D,9,0,C,8,266.1816575
1/1/1991,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,-5.5,A,7,-6.6,A,7,91,A,7,975,E,9,0,A,7,0,A,7,24000,B,7,77777,A,7,0.9,E,8,0.078,F,8,0.18,F,8,0,1,D,9,0,C,8,266.2159088
1/1/1991,8:00,9,413,1,1,24,21,1,27,1,1,24,0,1,24,0,1,27,0,1,24,0,1,43,0,A,7,0,E,9,-6,A,7,-7.1,A,7,91,A,7,976,E,9,10,A,7,2.6,A,7,24000,B,7,77777,A,7,0.9,E,8,0.078,F,8,0.18,F,8,0,1,D,9,0,C,8,266.1331179
1/1/1991,9:00,177,1415,78,1,24,354,1,27,34,1,24,80,1,24,220,1,27,52,1,24,60,1,43,0,A,7,0,E,9,-4.3,A,7,-6.6,A,7,82,A,7,977,E,9,0,A,7,0,A,7,24000,B,7,77777,A,7,0.9,E,8,0.078,F,8,0.18,F,8,0,1,D,9,0,C,8,266.8752104
1/1/1991,10:00,379,1415,222,1,24,627,1,27,54,1,24,227,1,24,541,1,27,81,1,24,102,1,43,0,A,7,0,E,9,-2.7,A,7,-5.5,A,7,79,A,7,979,E,9,0,A,7,0,A,7,24000,B,7,77777,A,7,0.9,E,8,0.078,F,8,0.18,F,8,0,1,D,9,0,C,8,268.9321061
