724288,OHIO STATE UNIVERSI,OH,-5,40.067,-83.067,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-12,A,7,-16,A,7,69,A,7,988,A,7,270,A,7,4.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.089,F,8,0.18,F,8,0,1,D,9,0,C,8,261
1/1/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-12,A,7,-16,A,7,69,A,7,988,A,7,270,A,7,4.6,A,7,16100,B,7,77777,A,7,0.8,E,8,0.089,F,8,0.18,F,8,0,1,D,9,0,C,8,260.3519193
1/1/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,-13,A,7,-16,A,7,76,A,7,989,A,7,270,A,7,4.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.089,F,8,0.18,F,8,0,1,D,9,0,C,8,259.9012854
1/1/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-14,A,7,-17,A,7,76,A,7,989,A,7,260,A,7,3.6,A,7,16100,B,7,77777,A,7,0.8,E,8,0.089,F,8,0.18,F,8,0,1,D,9,0,C,8,259.1027109
1/1/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-14,A,7,-17,A,7,76,A,7,990,A,7,260,A,7,4.6,A,7,16100,B,7,77777,A,7,0.8,E,8,0.089,F,8,0.18,F,8,0,1,D,9,0,C,8,258.5850519
1/1/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-14,A,7,-17,A,7,76,A,7,991,A,7,280,A,7,4.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.089,F,8,0.18,F,8,0,1,D,9,0,C,8,258.2564145
1/1/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-15,A,7,-18,A,7,76,A,7,992,A,7,290,A,7,2.6,A,7,16100,B,7,77777,A,7,0.9,E,8,0.089,F,8,0.18,F,8,0,1,D,9,0,C,8,257.6816787
1/1/1999,8:00,0,83,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,E,9,-16,A,7,-18,A,7,83,A,7,993,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.089,F,8,0.18,F,8,0,1,D,9,0,C,8,257.0456732
1/1/1999,9:00,124,1415,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,E,9,-14,A,7,-17,A,7,76,A,7,994,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.089,F,8,0.18,F,8,0,1,D,9,0,C,8,257.1148637
1/1/1999,10:00,331,1415,152,2,9,202,2,21,105,2,9,159,2,9,164,2,21,120,2,9,212,2,25,3,E,9,3,E,9,-13,A,7,-16,A,7,76,A,7,995,A,7,20,B,8,1.5,A,7,16100,B,7,77777,A,7,0.9,E,8,0.089,F,8,0.18,F,8,0,1,D,9,0,C,8,257.8268335
