724297,CINCINNATI MUNICIPAL AP LUNKI,OH,-5,39.1,-84.417,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2001,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3,A,7,-6,A,7,77,A,7,1009,A,7,240,A,7,1.5,A,7,12900,B,7,1290,A,7,0.7,E,8,0.081,F,8,0.18,F,8,0,1,D,9,0,C,8,270
1/1/2001,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3.3,A,7,-6.1,A,7,79,A,7,1009,A,7,250,A,7,2.6,A,7,12800,B,7,1311,A,7,0.7,E,8,0.081,F,8,0.18,F,8,0,1,D,9,0,C,8,269.2027525
1/1/2001,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3.3,A,7,-6.7,A,7,75,A,7,1009,A,7,280,A,7,2.1,A,7,12800,B,7,13350,A,7,0.7,E,8,0.081,F,8,0.18,F,8,0,1,D,9,0,C,8,268.8294998
1/1/2001,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3.3,A,7,-6.7,A,7,75,A,7,1010,A,7,240,A,7,1.5,A,7,14400,B,7,13350,A,7,0.6,E,8,0.081,F,8,0.18,F,8,0,1,D,9,0,C,8,268.6386013
1/1/2001,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3.3,A,7,-6.7,A,7,75,A,7,1010,A,7,0,A,7,0,A,7,14400,B,7,12741,A,7,0.6,E,8,0.081,F,8,0.18,F,8,0,1,D,9,0,C,8,268.543732
1/1/2001,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3.3,A,7,-7.2,A,7,72,A,7,1010,A,7,0,A,7,0,A,7,16000,B,7,12741,A,7,0.6,E,8,0.081,F,8,0.18,F,8,0,1,D,9,0,C,8,268.49716
1/1/2001,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3.3,A,7,-7.2,A,7,72,A,7,1010,A,7,0,A,7,0,A,7,16000,B,7,13960,A,7,0.6,E,8,0.081,F,8,0.18,F,8,0,1,D,9,0,C,8,268.4744267
1/1/2001,8:00,0,35,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-3.9,A,7,-6.7,A,7,79,A,7,1010,A,7,0,A,7,0,A,7,14400,B,7,13960,A,7,0.6,E,8,0.081,F,8,0.18,F,8,0,1,D,9,0,C,8,268.277802
1/1/2001,9:00,117,1415,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-3.9,A,7,-7.2,A,7,75,A,7,1010,A,7,0,A,7,0,A,7,12800,B,7,2438,A,7,0.6,E,8,0.081,F,8,0.18,F,8,0,1,D,9,0,C,8,268.0677892
1/1/2001,10:00,330,1415,208,2,9,379,2,21,119,2,9,214,2,9,306,2,21,142,2,9,249,2,25,9,E,9,8,E,9,-2.8,A,7,-6.7,A,7,72,A,7,1011,A,7,30,A,7,3.1,A,7,14400,B,7,2438,A,7,0.6,E,8,0.081,F,8,0.18,F,8,0,1,D,9,0,C,8,268.5313773
