724339,MARION REGIONAL,IL,-6,37.75,-89.017,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,B,8,5,B,8,-7.1,B,8,-11,B,8,71,A,7,996,E,9,360,B,8,1.2,B,8,16100,C,8,11964,B,8,1.1,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,265.9
1/1/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,B,8,6,B,8,-7.2,B,8,-11.1,B,8,71,A,7,996,E,9,360,B,8,0.9,B,8,16100,C,8,10291,B,8,1.1,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,265.281515
1/1/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,B,8,7,B,8,-7.5,B,8,-11.4,B,8,71,A,7,996,E,9,360,B,8,0.7,B,8,16100,C,8,8618,B,8,1.1,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,264.8641898
1/1/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,B,8,7,B,8,-7.8,B,8,-11.7,B,8,71,A,7,996,E,9,360,B,8,0.5,B,8,16100,C,8,6945,B,8,1.1,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,264.503794
1/1/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,B,8,8,B,8,-7.9,B,8,-11.7,B,8,71,A,7,996,E,9,360,B,8,0.2,B,8,16100,C,8,5273,B,8,1.2,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,264.2324254
1/1/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,A,7,-8,A,7,-12,A,7,70,A,7,996,E,9,0,A,7,0,A,7,16100,B,7,3600,A,7,1.2,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,264.0452021
1/1/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,A,7,-7,A,7,-12,A,7,64,A,7,996,E,9,70,A,7,2.1,A,7,16100,B,7,3300,A,7,1.2,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,264.2519832
1/1/1999,8:00,70,1097,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,9,A,7,-7,A,7,-12,A,7,64,A,7,996,E,9,70,A,7,3.6,A,7,16100,B,7,3000,A,7,1.2,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,264.5399862
1/1/1999,9:00,290,1415,33,2,9,0,2,21,33,2,9,39,2,9,0,2,21,39,2,9,134,2,25,10,E,9,9,A,7,-7,A,7,-11,A,7,70,A,7,996,E,9,80,A,7,4.1,A,7,16100,B,7,3000,A,7,1.2,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,264.5608664
1/1/1999,10:00,478,1415,198,2,9,125,2,21,156,2,9,214,2,9,118,2,21,174,2,9,355,2,25,10,B,8,10,B,8,-6.2,B,8,-10.7,B,8,67,A,7,996,E,9,70,B,8,5.4,B,8,16100,C,8,2250,B,8,1.2,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,264.6191245
1/1/1999,11:00,612,1415,364,2,9,305,2,21,231,2,9,379,2,9,306,2,21,246,2,9,532,2,25,10,E,9,10,A,7,-6,A,7,-11,A,7,64,A,7,996,E,9,60,A,7,6.7,A,7,16100,B,7,1500,A,7,1.2,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,265.3417332
1/1/1999,12:00,681,1415,80,2,9,0,2,21,80,2,9,97,2,9,0,2,21,97,2,9,377,2,25,5,E,9,5,A,7,-5,A,7,-11,A,7,59,A,7,996,E,9,90,A,7,5.7,A,7,16100,B,7,77777,A,7,1.2,E,8,0.076,F,8,0.17,F,8,0,1,D,9,71,C,8,265.8943398
1/1/1999,13:00,680,1415,77,2,9,0,2,21,77,2,9,94,2,9,0,2,21,94,2,9,364,2,25,10,E,9,10,A,7,-5,A,7,-11,A,7,59,A,7,996,E,9,80,A,7,5.7,A,7,4800,B,7,720,A,7,1.2,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,265.9309466
1/1/1999,14:00,611,1415,68,2,9,0,2,21,68,2,9,83,2,9,0,2,21,83,2,9,314,2,25,10,B,8,10,B,8,-4.4,B,8,-9.9,B,8,62,A,7,996,E,9,90,B,8,4.9,B,8,10450,C,8,1410,B,8,1.2,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,266.1894202
1/1/1999,15:00,477,1415,48,2,9,0,2,21,48,2,9,58,2,9,0,2,21,58,2,9,214,2,25,10,E,9,10,A,7,-4,A,7,-9,A,7,65,A,7,996,E,9,100,A,7,4.1,A,7,16100,B,7,2100,A,7,1.3,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,266.6502482
1/1/1999,16:00,288,1415,164,2,9,375,2,21,87,2,9,166,2,9,282,2,21,108,2,9,164,2,25,10,E,9,10,A,7,-4,A,7,-9,A,7,65,A,7,996,E,9,90,A,7,4.6,A,7,16100,B,7,2100,A,7,1.3,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,269.2367876
1/1/1999,17:00,68,1097,18,2,9,192,2,21,9,2,9,23,2,9,108,2,21,16,2,9,21,2,25,10,E,9,10,A,7,-3,A,7,-9,A,7,60,A,7,996,E,9,90,A,7,3.1,A,7,16100,B,7,1500,A,7,1.3,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,270.8407168
1/1/1999,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-3,A,7,-7,A,7,71,A,7,996,E,9,80,A,7,3.6,A,7,11300,B,7,1200,A,7,1.3,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,270.2330417
1/1/1999,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-3,A,7,-6,A,7,77,A,7,996,E,9,90,A,7,5.1,A,7,11300,B,7,1020,A,7,1.3,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,269.5787107
1/1/1999,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-2.8,B,8,-5.2,B,8,82,A,7,996,E,9,90,B,8,5,B,8,10810,C,8,1059,B,8,1.3,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,269.2256648
1/1/1999,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-2.2,B,8,-4.3,B,8,84,A,7,996,E,9,90,B,8,4.8,B,8,10320,C,8,1098,B,8,1.3,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,269.2738787
1/1/1999,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-1.4,B,8,-3.5,B,8,84,A,7,996,E,9,100,B,8,4.7,B,8,9830,C,8,1137,B,8,1.3,E,8,0.076,F,8,0.17,F,8,0,1,D,9,0,C,8,269.6767098
