724454,FARMINGTON,MO,-6,37.767,-90.4,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,16,A,7,14,A,7,88,A,7,981,E,9,210,A,7,3.6,A,7,16100,B,7,450,A,7,2.3,E,8,0.071,F,8,0.17,F,8,0,1,D,9,0,C,8,289
1/1/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,15,A,7,14,A,7,94,A,7,981,E,9,210,A,7,2.6,A,7,16100,B,7,600,A,7,2.3,E,8,0.071,F,8,0.17,F,8,0,1,D,9,0,C,8,287.8675941
1/1/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,A,7,15,A,7,14,A,7,94,A,7,981,E,9,200,A,7,2.6,A,7,16100,B,7,540,A,7,2.3,E,8,0.071,F,8,0.17,F,8,0,1,D,9,0,C,8,287.152657
1/1/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,16,A,7,15,A,7,94,A,7,981,E,9,200,A,7,3.1,A,7,6400,B,7,150,A,7,2.4,E,8,0.071,F,8,0.17,F,8,0,1,D,9,0,C,8,287.1186309
1/1/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,16,A,7,15,A,7,94,A,7,981,E,9,200,A,7,2.6,A,7,11300,B,7,180,A,7,2.6,E,8,0.071,F,8,0.17,F,8,0,1,D,9,0,C,8,287.2970191
1/1/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,16,A,7,15,A,7,94,A,7,981,E,9,200,A,7,2.6,A,7,4800,B,7,90,A,7,2.7,E,8,0.071,F,8,0.17,F,8,0,1,D,9,0,C,8,287.3779694
1/1/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,15,A,7,14,A,7,94,A,7,981,E,9,180,A,7,4.1,A,7,4000,B,7,60,A,7,2.9,E,8,0.071,F,8,0.17,F,8,0,1,D,9,0,C,8,287.0899115
1/1/2005,8:00,54,979,2,2,9,0,2,21,2,2,9,3,2,9,0,2,21,3,2,9,8,2,25,10,E,9,10,A,7,15,A,7,14,A,7,94,A,7,981,E,9,190,A,7,3.6,A,7,4000,B,7,120,A,7,3,E,8,0.071,F,8,0.17,F,8,6,1,D,9,0,C,8,286.7521786
1/1/2005,9:00,270,1415,51,2,9,0,2,21,51,2,9,58,2,9,0,2,21,58,2,9,188,2,25,9,E,9,9,A,7,15,A,7,14,A,7,94,A,7,981,E,9,180,A,7,3.1,A,7,12900,B,7,390,A,7,3.1,E,8,0.071,F,8,0.17,F,8,9,1,D,9,0,C,8,286.4113888
1/1/2005,10:00,463,1415,48,2,9,0,2,21,48,2,9,58,2,9,0,2,21,58,2,9,212,2,25,10,E,9,10,A,7,15,A,7,14,A,7,94,A,7,981,E,9,170,A,7,4.6,A,7,12900,B,7,750,A,7,2.9,E,8,0.071,F,8,0.17,F,8,9,1,D,9,0,C,8,286.1636901
