724506,HUTCHINSON MUNICIPAL AP,KS,-6,38.067,-97.867,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,8,E,9,9,A,7,9,A,7,100,A,7,958,A,7,130,A,7,2.6,A,7,9700,B,7,77777,A,7,1.7,E,8,0.056,F,8,0.2,F,8,0,1,D,9,0,C,8,282
1/1/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,8,E,9,11,A,7,11,A,7,100,A,7,958,A,7,170,A,7,5.1,A,7,8000,B,7,77777,A,7,1.7,E,8,0.056,F,8,0.2,F,8,0,1,D,9,0,C,8,281.9101883
1/1/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,12,A,7,11,A,7,94,A,7,959,A,7,180,A,7,5.7,A,7,8000,B,7,77777,A,7,1.6,E,8,0.056,F,8,0.2,F,8,0,1,D,9,0,C,8,282.596091
1/1/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,11,A,7,11,A,7,100,A,7,958,A,7,160,A,7,4.6,A,7,6400,B,7,150,A,7,1.7,E,8,0.056,F,8,0.2,F,8,0,1,D,9,10,C,8,282.7579886
1/1/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,12,A,7,12,A,7,100,A,7,958,A,7,180,A,7,5.7,A,7,6400,B,7,150,A,7,1.8,E,8,0.056,F,8,0.2,F,8,0,1,D,9,10,C,8,282.9729701
1/1/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,12,A,7,12,A,7,100,A,7,958,A,7,170,A,7,7.2,A,7,4800,B,7,90,A,7,1.9,E,8,0.056,F,8,0.2,F,8,0,1,D,9,10,C,8,283.2659133
1/1/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,12,A,7,12,A,7,100,A,7,959,A,7,180,A,7,6.7,A,7,6400,B,7,90,A,7,2.1,E,8,0.056,F,8,0.2,F,8,0,1,D,9,10,C,8,283.3991011
1/1/2005,8:00,3,248,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,13,A,7,12,A,7,94,A,7,959,A,7,180,A,7,7.7,A,7,6400,B,7,150,A,7,2.2,E,8,0.056,F,8,0.2,F,8,0,1,D,9,10,C,8,283.8031076
1/1/2005,9:00,155,1415,26,2,9,0,2,21,26,2,9,30,2,9,0,2,21,30,2,9,94,2,25,10,E,9,10,A,7,13,A,7,13,A,7,100,A,7,959,A,7,180,A,7,8.2,A,7,2800,B,7,90,A,7,2.3,E,8,0.056,F,8,0.2,F,8,0,1,D,9,10,C,8,284.0889595
1/1/2005,10:00,368,1415,52,2,9,0,2,21,52,2,9,61,2,9,0,2,21,61,2,9,212,2,25,10,E,9,10,E,9,14,A,7,14,A,7,100,A,7,959,A,7,180,A,7,8.2,A,7,4800,B,7,150,A,7,2.3,E,8,0.056,F,8,0.2,F,8,0,1,D,9,10,C,8,284.4223906
1/1/2005,11:00,535,1415,86,2,9,0,2,21,86,2,9,101,2,9,0,2,21,101,2,9,367,2,25,10,E,9,10,E,9,16,A,7,14,A,7,88,A,7,959,A,7,190,A,7,9.3,A,7,8000,B,7,270,A,7,2.3,E,8,0.056,F,8,0.2,F,8,0,1,D,9,10,C,8,285.3304963
1/1/2005,12:00,642,1415,75,2,9,0,2,21,75,2,9,91,2,9,0,2,21,91,2,9,349,2,25,10,E,9,10,E,9,16,A,7,14,A,7,88,A,7,959,A,7,200,A,7,8.7,A,7,8000,B,7,420,A,7,2.3,E,8,0.056,F,8,0.2,F,8,0,1,D,9,0,C,8,286.0906643
1/1/2005,13:00,683,1415,224,2,9,42,2,21,203,2,9,245,2,9,42,2,21,225,2,9,602,2,25,9,E,9,5,A,7,17,A,7,13,A,7,77,A,7,958,A,7,200,A,7,11.3,A,7,16100,B,7,77777,A,7,2.3,E,8,0.056,F,8,0.2,F,8,0,1,D,9,0,C,8,286.5607588
1/1/2005,14:00,655,1415,315,2,9,232,2,21,207,2,9,342,2,9,235,2,21,233,2,9,503,2,25,10,E,9,10,A,7,18,A,7,13,A,7,73,A,7,958,B,8,190,A,7,10.8,A,7,16100,B,7,1020,A,7,2.3,E,8,0.056,F,8,0.2,F,8,0,1,D,9,0,C,8,288.3028122
1/1/2005,15:00,558,1415,123,2,9,0,2,21,123,2,9,141,2,9,0,2,21,141,2,9,495,2,25,10,E,9,10,A,7,18,A,7,13,A,7,73,A,7,958,B,8,190,A,7,9.3,A,7,16100,B,7,1260,A,7,2.3,E,8,0.056,F,8,0.2,F,8,0,1,D,9,0,C,8,288.9030421
1/1/2005,16:00,401,1415,114,2,9,17,2,21,109,2,9,127,2,9,10,2,21,124,2,9,384,2,25,10,E,9,10,A,7,18,A,7,13,A,7,73,A,7,957,B,8,190,A,7,9.3,A,7,16100,B,7,840,A,7,2.3,E,8,0.056,F,8,0.2,F,8,0,1,D,9,0,C,8,288.6613912
1/1/2005,17:00,195,1415,61,2,9,93,2,21,48,2,9,67,2,9,61,2,21,58,2,9,101,2,25,10,E,9,10,A,7,17,A,7,13,A,7,77,A,7,957,A,7,180,A,7,7.2,A,7,16100,B,7,870,A,7,2.3,E,8,0.056,F,8,0.2,F,8,0,1,D,9,0,C,8,288.9922299
1/1/2005,18:00,14,507,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,A,7,16,A,7,13,A,7,82,A,7,958,A,7,190,A,7,6.7,A,7,16100,B,7,780,A,7,2.3,E,8,0.056,F,8,0.2,F,8,0,1,D,9,0,C,8,288.6947297
