724510,DODGE CITY REGIONAL AP,KS,-6,37.767,-99.967,785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1985,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-10,A,7,-11.7,A,7,88,A,7,929,A,7,360,A,7,10.3,A,7,32200,B,7,310,A,7,0.6,E,8,0,F,8,0,?,0,0,1,D,9,2,C,8,263
1/1/1985,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-11.1,A,7,-13.3,A,7,84,A,7,930,A,7,360,A,7,10.3,A,7,24100,B,7,340,A,7,0.6,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,262.7583454
1/1/1985,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-11.7,A,7,-13.9,A,7,84,A,7,931,A,7,360,A,7,10.8,A,7,24100,B,7,400,A,7,0.6,E,8,0,F,8,0,?,0,0,1,D,9,71,C,8,258.3710687
1/1/1985,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-11.1,A,7,-13.3,A,7,84,A,7,932,A,7,360,A,7,9.3,A,7,24100,B,7,400,A,7,0.6,E,8,0,F,8,0,?,0,0,1,D,9,71,C,8,259.5365369
1/1/1985,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-10.6,A,7,-13.3,A,7,80,A,7,933,A,7,360,A,7,9.3,A,7,24100,B,7,400,A,7,0.6,E,8,0,F,8,0,?,0,0,1,D,9,71,C,8,260.3504338
1/1/1985,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-10.6,A,7,-12.8,A,7,84,A,7,933,A,7,360,A,7,10.3,A,7,16100,B,7,340,A,7,0.6,E,8,0,F,8,0,?,0,0,1,D,9,71,C,8,260.8224515
1/1/1985,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-10.6,A,7,-12.8,A,7,84,A,7,933,A,7,360,A,7,8.2,A,7,16100,B,7,340,A,7,0.6,E,8,0,F,8,0,?,0,0,1,D,9,71,C,8,261.0457703
1/1/1985,8:00,0,83,0,1,0,0,1,0,0,1,0,0,1,1,0,1,2,0,1,2,0,1,1,10,A,7,10,A,7,-10.6,A,7,-12.8,A,7,84,A,7,935,A,7,360,A,7,8.8,A,7,4800,B,7,430,A,7,0.6,E,8,0,F,8,0,?,0,0,1,D,9,71,C,8,261.1537333
1/1/1985,9:00,126,1415,38,1,13,0,1,9,38,1,13,42,1,13,0,1,9,42,1,13,114,1,21,10,A,7,10,A,7,-10.6,A,7,-12.8,A,7,84,A,7,935,A,7,360,A,7,7.7,A,7,9700,B,7,430,A,7,0.5,E,8,0,F,8,0,?,0,0,1,D,9,45,C,8,261.0725545
1/1/1985,10:00,345,1415,120,1,13,1,1,9,120,1,13,131,1,13,1,1,9,131,1,13,369,1,21,10,A,7,10,A,7,-10.6,A,7,-13.3,A,7,80,A,7,936,A,7,360,A,7,8.2,A,7,6400,B,7,430,A,7,0.5,E,8,0,F,8,0,?,0,0,1,D,9,45,C,8,260.669071
1/1/1985,11:00,520,1415,178,1,9,1,1,9,177,1,13,196,1,9,1,1,9,196,1,13,602,1,18,10,A,7,10,A,7,-11.1,A,7,-13.3,A,7,84,A,7,937,A,7,360,A,7,7.7,A,7,11300,B,7,1370,A,7,0.5,E,8,0,F,8,0,?,0,0,1,D,9,45,C,8,259.9570294
1/1/1985,12:00,637,1415,360,1,13,372,1,9,192,1,13,383,1,13,378,1,9,212,1,13,423,1,21,8,A,7,6,A,7,-9.4,A,7,-12.2,A,7,81,A,7,937,A,7,360,A,7,7.7,A,7,16100,B,7,7620,A,7,0.4,E,8,0,F,8,0,?,0,0,1,D,9,71,C,8,261.3726368
1/1/1985,13:00,688,1415,422,1,13,504,1,9,176,1,13,442,1,13,502,1,9,197,1,13,370,1,21,7,A,7,5,A,7,-8.9,A,7,-12.2,A,7,77,A,7,936,A,7,350,A,7,8.2,A,7,24100,B,7,7620,A,7,0.4,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,264.5295639
1/1/1985,14:00,669,1415,426,1,13,600,1,9,142,1,13,439,1,13,579,1,9,164,1,13,282,1,21,7,A,7,3,A,7,-7.2,A,7,-11.7,A,7,71,A,7,936,A,7,10,A,7,7.7,A,7,32200,B,7,77777,A,7,0.4,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,269.8851819
1/1/1985,15:00,581,1415,374,1,9,694,1,9,90,1,13,395,1,9,665,1,9,120,1,13,181,1,18,4,A,7,2,A,7,-5.6,A,7,-11.1,A,7,65,A,7,937,A,7,10,A,7,7.7,A,7,32200,B,7,77777,A,7,0.4,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,273.1860566
1/1/1985,16:00,432,1415,266,1,9,707,1,9,52,1,13,279,1,9,636,1,9,84,1,13,106,1,18,3,A,7,1,A,7,-5,A,7,-12.2,A,7,57,A,7,937,A,7,30,A,7,7.2,A,7,32200,B,7,77777,A,7,0.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,275.830668
1/1/1985,17:00,230,1415,123,1,13,559,1,9,34,1,13,127,1,13,413,1,9,60,1,13,64,1,21,2,A,7,0,A,7,-5.6,A,7,-13.3,A,7,55,A,7,938,A,7,20,A,7,7.2,A,7,32200,B,7,77777,A,7,0.3,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,275.8582708
