724515,GARDEN CITY MUNICIPAL AP,KS,-6,37.933,-100.717,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,0,A,7,-2,A,7,85,A,7,913,A,7,200,A,7,6.2,A,7,16100,B,7,77777,A,7,1.2,E,8,0.047,F,8,0.2,F,8,0,1,D,9,0,C,8,273
1/1/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,0,A,7,-2,A,7,85,A,7,912,A,7,210,A,7,6.2,A,7,16100,B,7,77777,A,7,1.2,E,8,0.047,F,8,0.2,F,8,0,1,D,9,0,C,8,272.8881838
1/1/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-1,A,7,-3,A,7,85,A,7,911,A,7,210,A,7,5.1,A,7,16100,B,7,77777,A,7,1.2,E,8,0.047,F,8,0.2,F,8,0,1,D,9,0,C,8,271.4945126
1/1/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-2,A,7,-3,A,7,92,A,7,911,A,7,200,A,7,4.6,A,7,16100,B,7,77777,A,7,1.2,E,8,0.047,F,8,0.2,F,8,0,1,D,9,0,C,8,270.8465123
1/1/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,1,E,9,-3,A,7,-4,A,7,92,A,7,910,A,7,190,A,7,3.6,A,7,16100,B,7,77777,A,7,1.2,E,8,0.047,F,8,0.2,F,8,0,1,D,9,0,C,8,270.1519243
1/1/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,-3,A,7,-4,A,7,92,A,7,910,A,7,210,A,7,4.1,A,7,16100,B,7,77777,A,7,1.2,E,8,0.047,F,8,0.2,F,8,0,1,D,9,0,C,8,269.546848
1/1/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,0,E,9,-3,A,7,-4,A,7,92,A,7,910,A,7,200,A,7,3.1,A,7,16100,B,7,77777,A,7,1.2,E,8,0.047,F,8,0.2,F,8,0,1,D,9,0,C,8,269.1500699
1/1/1998,8:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,1,E,9,-3,A,7,-4,A,7,92,A,7,910,A,7,240,A,7,2.6,A,7,14500,B,7,77777,A,7,1.2,E,8,0.047,F,8,0.2,F,8,0,1,D,9,0,C,8,268.9465427
1/1/1998,9:00,113,1403,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,E,9,-3,A,7,-4,A,7,92,A,7,910,A,7,240,A,7,3.6,A,7,14500,B,7,77777,A,7,1.2,E,8,0.047,F,8,0.2,F,8,0,1,D,9,0,C,8,268.8453156
1/1/1998,10:00,333,1415,217,2,9,687,2,21,55,2,9,218,2,9,566,2,21,84,2,9,95,2,25,0,E,9,0,E,9,1,A,7,-2,A,7,79,A,7,912,A,7,260,A,7,3.6,A,7,16100,B,7,77777,A,7,1.2,E,8,0.047,F,8,0.2,F,8,0,1,D,9,0,C,8,271.5338358
1/1/1998,11:00,510,1415,362,2,9,830,2,21,62,2,9,377,2,9,774,2,21,97,2,9,126,2,25,0,E,9,0,E,9,4,A,7,-1,A,7,69,A,7,912,A,7,230,A,7,3.1,A,7,16100,B,7,77777,A,7,1.2,E,8,0.047,F,8,0.2,F,8,0,1,D,9,10,C,8,275.5067415
1/1/1998,12:00,629,1415,474,2,9,881,2,21,80,2,9,492,2,9,849,2,21,113,2,9,164,2,25,0,E,9,0,E,9,6,A,7,-1,A,7,60,A,7,913,A,7,320,A,7,2.6,A,7,16100,B,7,77777,A,7,1.2,E,8,0.047,F,8,0.2,F,8,0,1,D,9,10,C,8,280.5429784
