724555,MANHATTAN RGNL,KS,-6,39.133,-96.667,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-1,A,7,-2,A,7,92,A,7,973,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1,E,8,0.061,F,8,0.19,F,8,0,1,D,9,0,C,8,272
1/1/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-3,A,7,-5,A,7,84,A,7,973,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1,E,8,0.061,F,8,0.19,F,8,0,1,D,9,0,C,8,270.6811442
1/1/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,4,E,9,-3,A,7,-4,A,7,92,A,7,972,A,7,0,A,7,0,A,7,11300,B,7,77777,A,7,1.1,E,8,0.061,F,8,0.19,F,8,0,1,D,9,0,C,8,269.6773781
1/1/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-1,A,7,-2,A,7,92,A,7,972,A,7,0,A,7,0,A,7,12900,B,7,77777,A,7,1.2,E,8,0.061,F,8,0.19,F,8,0,1,D,9,0,C,8,269.8509719
1/1/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,3,E,9,-4,A,7,-6,A,7,84,A,7,972,A,7,0,A,7,0,A,7,6400,B,7,77777,A,7,1.3,E,8,0.061,F,8,0.19,F,8,0,1,D,9,10,C,8,269.3429051
1/1/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,3,E,9,-1,A,7,-2,A,7,92,A,7,972,A,7,0,A,7,0,A,7,8000,B,7,77777,A,7,1.3,E,8,0.061,F,8,0.19,F,8,0,1,D,9,10,C,8,269.5000863
1/1/2000,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,3,E,9,-2,A,7,-3,A,7,92,A,7,971,A,7,0,A,7,0,A,7,12900,B,7,77777,A,7,1.4,E,8,0.061,F,8,0.19,F,8,0,1,D,9,0,C,8,269.8182309
1/1/2000,8:00,5,295,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,9,E,9,4,E,9,1,A,7,-1,A,7,86,A,7,972,A,7,0,A,7,0,A,7,9700,B,7,77777,A,7,1.5,E,8,0.061,F,8,0.19,F,8,0,1,D,9,10,C,8,270.8040104
1/1/2000,9:00,158,1415,63,2,9,48,2,21,57,2,9,68,2,9,33,2,21,64,2,9,123,2,25,8,E,9,4,E,9,6,A,7,2,A,7,75,A,7,972,A,7,160,A,7,3.6,A,7,16100,B,7,77777,A,7,1.6,E,8,0.061,F,8,0.19,F,8,0,1,D,9,0,C,8,273.6508927
1/1/2000,10:00,364,1415,177,2,9,244,2,21,114,2,9,185,2,9,207,2,21,131,2,9,232,2,25,9,E,9,9,E,9,10,A,7,2,A,7,57,A,7,971,A,7,180,A,7,5.7,A,7,16100,B,7,3300,A,7,1.6,E,8,0.061,F,8,0.19,F,8,0,1,D,9,0,C,8,277.5406046
1/1/2000,11:00,524,1415,264,2,9,259,2,21,168,2,9,278,2,9,250,2,21,185,2,9,359,2,25,9,E,9,8,E,9,11,A,7,2,A,7,54,A,7,970,A,7,180,A,7,6.7,A,7,16100,B,7,3300,A,7,1.7,E,8,0.061,F,8,0.19,F,8,0,1,D,9,0,C,8,280.2920741
1/1/2000,12:00,624,1415,432,2,9,637,2,21,149,2,9,454,2,9,624,2,21,177,2,9,300,2,25,4,E,9,2,E,9,15,A,7,3,A,7,44,A,7,969,A,7,180,A,7,6.7,A,7,16100,B,7,77777,A,7,1.8,E,8,0.061,F,8,0.19,F,8,0,1,D,9,0,C,8,285.1190936
1/1/2000,13:00,659,1415,416,2,9,583,2,21,143,2,9,443,2,9,578,2,21,172,2,9,291,2,25,8,E,9,5,E,9,18,A,7,2,A,7,34,A,7,967,A,7,190,A,7,8.7,A,7,16100,B,7,77777,A,7,1.8,E,8,0.061,F,8,0.19,F,8,0,1,D,9,0,C,8,290.6032345
1/1/2000,14:00,625,1415,425,2,9,732,2,21,100,2,9,445,2,9,709,2,21,130,2,9,204,2,25,9,E,9,4,E,9,18,A,7,3,A,7,37,A,7,966,A,7,200,A,7,9.3,A,7,16100,B,7,77777,A,7,1.7,E,8,0.061,F,8,0.19,F,8,0,1,D,9,0,C,8,294.3530901
