724565,TOPEKA FORBES FIELD,KS,-6,38.95,-95.667,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,9,A,7,0,A,7,53,A,7,979,A,7,80,A,7,3.1,A,7,16100,B,7,690,A,7,2.4,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,282
1/1/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,9,A,7,1,A,7,57,A,7,979,A,7,90,A,7,3.6,A,7,16100,B,7,630,A,7,2.3,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,281.4202999
1/1/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,9,A,7,2,A,7,61,A,7,979,A,7,90,A,7,4.1,A,7,16100,B,7,570,A,7,2.3,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,280.9792716
1/1/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,9,A,7,3,A,7,66,A,7,979,A,7,100,A,7,4.6,A,7,16100,B,7,390,A,7,2.2,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,280.7611601
1/1/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,9,A,7,4,A,7,71,A,7,978,A,7,90,A,7,2.6,A,7,16100,B,7,270,A,7,2.2,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,280.6564192
1/1/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,8,A,7,6,A,7,87,A,7,978,A,7,110,A,7,6.2,A,7,16100,B,7,210,A,7,2.1,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,281.0727288
1/1/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,8,A,7,7,A,7,93,A,7,978,A,7,110,A,7,6.2,A,7,16100,B,7,150,A,7,2.2,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,280.2363543
1/1/2005,8:00,9,389,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,9,A,7,7,A,7,87,A,7,978,A,7,110,A,7,5.7,A,7,16100,B,7,150,A,7,2.3,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,280.2193284
1/1/2005,9:00,175,1415,46,2,9,0,2,21,46,2,9,51,2,9,0,2,21,51,2,9,148,2,25,10,E,9,10,A,7,10,A,7,8,A,7,87,A,7,978,A,7,110,A,7,6.2,A,7,16100,B,7,180,A,7,2.3,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,280.5850799
1/1/2005,10:00,380,1415,44,2,9,0,2,21,44,2,9,53,2,9,0,2,21,53,2,9,185,2,25,10,E,9,10,E,9,12,A,7,10,A,7,88,A,7,979,A,7,110,A,7,3.6,A,7,16100,B,7,330,A,7,2.4,E,8,0.063,F,8,0.19,F,8,0,1,D,9,0,C,8,281.5849704
