724636,LAMAR MUNICIPAL,CO,-7,38.067,-102.683,1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,5,E,9,0,A,7,-3,A,7,78,A,7,878,A,7,80,A,7,3.6,A,7,16100,B,7,77777,A,7,0.6,E,8,0.048,F,8,0.22,F,8,0,1,D,9,0,C,8,273
1/1/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,5,E,9,-1,A,7,-3,A,7,85,A,7,878,A,7,70,A,7,3.1,A,7,16100,B,7,77777,A,7,0.5,E,8,0.048,F,8,0.22,F,8,0,1,D,9,0,C,8,271.8528486
1/1/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,6,E,9,1,A,7,-3,A,7,72,A,7,878,A,7,40,B,8,1.5,A,7,16100,B,7,77777,A,7,0.6,E,8,0.048,F,8,0.22,F,8,0,1,D,9,0,C,8,271.9203364
1/1/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,4,E,9,-3,A,7,-4,A,7,92,A,7,877,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.048,F,8,0.22,F,8,0,1,D,9,0,C,8,271.0253341
1/1/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,5,E,9,-4,A,7,-4,A,7,100,A,7,877,A,7,260,A,7,2.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.048,F,8,0.22,F,8,0,1,D,9,0,C,8,269.6520573
1/1/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,6,E,9,-5,A,7,-6,A,7,92,A,7,877,A,7,280,A,7,3.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.048,F,8,0.22,F,8,0,1,D,9,0,C,8,268.4605845
1/1/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,-4,A,7,-4,A,7,100,A,7,878,A,7,220,A,7,3.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.048,F,8,0.22,F,8,0,1,D,9,0,C,8,267.9388878
1/1/2005,8:00,84,1214,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,1,E,9,0,A,7,-3,A,7,-4,A,7,92,A,7,879,A,7,210,A,7,3.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.048,F,8,0.22,F,8,0,1,D,9,0,C,8,268.1733038
1/1/2005,9:00,304,1415,218,2,9,499,2,21,110,2,9,216,2,9,383,2,21,133,2,9,214,2,25,6,E,9,4,E,9,1,A,7,-2,A,7,79,A,7,881,A,7,260,A,7,2.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.048,F,8,0.22,F,8,0,1,D,9,0,C,8,271.4219234
1/1/2005,10:00,487,1415,278,2,9,392,2,21,143,2,9,285,2,9,360,2,21,160,2,9,280,2,25,5,E,9,5,E,9,5,A,7,-1,A,7,64,A,7,883,A,7,180,A,7,2.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.048,F,8,0.22,F,8,0,1,D,9,0,C,8,274.867013
1/1/2005,11:00,615,1415,464,2,9,773,2,21,127,2,9,477,2,9,737,2,21,156,2,9,246,2,25,9,E,9,8,E,9,13,A,7,-1,A,7,38,A,7,885,A,7,210,A,7,2.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.048,F,8,0.22,F,8,0,1,D,9,0,C,8,280.8729101
1/1/2005,12:00,678,1415,519,2,9,946,2,21,64,2,9,544,2,9,918,2,21,103,2,9,146,2,25,1,E,9,0,A,7,17,A,7,-5,A,7,21,A,7,885,A,7,250,A,7,7.7,A,7,16100,B,7,77777,A,7,0.6,E,8,0.048,F,8,0.22,F,8,0,1,D,9,0,C,8,288.9085565
1/1/2005,13:00,671,1415,502,2,9,938,2,21,55,2,9,529,2,9,910,2,21,95,2,9,137,2,25,1,E,9,0,A,7,18,A,7,-5,A,7,19,A,7,886,A,7,230,A,7,5.7,A,7,16100,B,7,77777,A,7,0.6,E,8,0.048,F,8,0.22,F,8,0,1,D,9,0,C,8,293.338245
1/1/2005,14:00,596,1415,426,2,9,746,2,21,110,2,9,441,2,9,712,2,21,140,2,9,216,2,25,1,E,9,0,A,7,18,A,7,-6,A,7,18,A,7,886,A,7,250,B,8,3.1,A,7,16100,B,7,77777,A,7,0.6,E,8,0.048,F,8,0.22,F,8,0,1,D,9,0,C,8,293.7923482
1/1/2005,15:00,458,1415,224,2,9,267,2,21,137,2,9,236,2,9,247,2,21,155,2,9,282,2,25,1,E,9,0,A,7,17,A,7,-6,A,7,19,A,7,885,A,7,260,A,7,1.5,A,7,16100,B,7,77777,A,7,0.6,E,8,0.048,F,8,0.22,F,8,0,1,D,9,0,C,8,290.8391387
