724756,BRYCE CNYN FAA AP,UT,-7,37.7,-112.15,2312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2002,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-12,A,7,-12,A,7,100,A,7,761,A,7,330,B,8,3.6,B,8,16100,B,7,77777,A,7,0.6,E,8,0.027,F,8,0.27,F,8,0,1,D,9,0,C,8,261
1/1/2002,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-12,A,7,-13,A,7,91,A,7,761,A,7,320,B,8,3.1,B,8,16100,B,7,77777,A,7,0.6,E,8,0.027,F,8,0.27,F,8,0,1,D,9,0,C,8,260.4738777
1/1/2002,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-9,A,7,-11,A,7,84,A,7,763,A,7,310,A,7,2.6,A,7,16100,B,7,77777,A,7,0.5,E,8,0.027,F,8,0.27,F,8,0,1,D,9,0,C,8,261.1599164
1/1/2002,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-5,A,7,-6,A,7,92,A,7,765,A,7,300,A,7,3.1,A,7,16100,B,7,1080,A,7,0.5,E,8,0.027,F,8,0.27,F,8,0,1,D,9,0,C,8,263.5147106
1/1/2002,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-4.4,B,8,-5.5,B,8,91,A,7,767,B,8,310,B,8,2.6,B,8,16100,C,8,1110,B,8,0.5,E,8,0.027,F,8,0.27,F,8,0,1,D,9,0,C,8,265.537769
1/1/2002,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-4,A,7,-5,A,7,92,A,7,768,A,7,310,A,7,2.1,A,7,16100,B,7,1140,A,7,0.5,E,8,0.027,F,8,0.27,F,8,0,1,D,9,0,C,8,266.6650186
1/1/2002,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3,A,7,-5,A,7,84,A,7,769,A,7,300,A,7,4.1,A,7,16100,B,7,1080,A,7,0.5,E,8,0.027,F,8,0.27,F,8,0,1,D,9,0,C,8,267.5939292
1/1/2002,8:00,6,342,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,8,E,9,8,E,9,-2,A,7,-7,A,7,65,A,7,768,A,7,340,A,7,4.1,A,7,16100,B,7,1110,A,7,0.5,E,8,0.027,F,8,0.27,F,8,0,1,D,9,0,C,8,268.5562898
1/1/2002,9:00,171,1415,22,2,9,0,2,21,22,2,9,26,2,9,0,2,21,26,2,9,84,2,25,0,E,9,0,E,9,-2,A,7,-6,A,7,71,A,7,769,A,7,320,A,7,4.1,A,7,16100,B,7,77777,A,7,0.5,E,8,0.027,F,8,0.27,F,8,0,1,D,9,0,C,8,269.1071489
1/1/2002,10:00,383,1415,267,2,9,576,2,21,110,2,9,273,2,9,489,2,21,139,2,9,209,2,25,8,E,9,8,E,9,-1,A,7,-4,A,7,78,A,7,769,A,7,290,A,7,4.6,A,7,16100,B,7,1170,A,7,0.4,E,8,0.027,F,8,0.27,F,8,0,1,D,9,0,C,8,271.3586155
