724765,MONTROSE CO. ARPT,CO,-7,38.5,-107.9,1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1996,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,B,8,5,B,8,-5,A,7,-6.2,A,7,90,A,7,817,A,7,0,A,7,0,A,7,16100,B,7,13596,B,8,0.4,E,8,0.033,F,8,0.33,F,8,0,1,D,9,0,C,8,268
1/1/1996,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,B,8,6,B,8,-10,A,7,-11.2,A,7,90,A,7,815,A,7,0,A,7,0,A,7,16100,B,7,9394,B,8,0.4,E,8,0.033,F,8,0.33,F,8,0,1,D,9,0,C,8,265.7666637
1/1/1996,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,8,B,8,-8.9,A,7,-10,A,7,91,A,7,816,A,7,160,A,7,4.1,A,7,16100,B,7,5192,B,8,0.4,E,8,0.033,F,8,0.33,F,8,0,1,D,9,0,C,8,264.1836089
1/1/1996,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-8.9,A,7,-10,A,7,91,A,7,816,A,7,130,A,7,3,A,7,16100,B,7,990,A,7,0.4,E,8,0.033,F,8,0.33,F,8,0,1,D,9,0,C,8,263.6144591
1/1/1996,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,E,9,8,E,9,-8.4,A,7,-9.5,A,7,91,A,7,817,A,7,160,A,7,2,A,7,16100,B,7,870,A,7,0.4,E,8,0.033,F,8,0.33,F,8,0,1,D,9,0,C,8,263.4295859
1/1/1996,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-7.8,A,7,-8.9,A,7,91,A,7,818,A,7,200,A,7,1.5,A,7,16100,B,7,810,A,7,0.4,E,8,0.033,F,8,0.33,F,8,0,1,D,9,0,C,8,263.6204061
1/1/1996,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-6.7,A,7,-7.8,A,7,91,A,7,818,A,7,260,A,7,2,A,7,16100,B,7,810,A,7,0.4,E,8,0.033,F,8,0.33,F,8,0,1,D,9,0,C,8,264.1924633
1/1/1996,8:00,27,696,5,1,10,0,1,16,5,1,10,0,1,10,0,1,16,0,1,10,0,1,21,10,E,9,10,E,9,-4.5,A,7,-6.7,A,7,83,A,7,820,A,7,0,A,7,0,A,7,16100,B,7,750,A,7,0.4,E,8,0.033,F,8,0.33,F,8,0,1,D,9,0,C,8,265.4217057
1/1/1996,9:00,223,1415,52,1,10,0,1,16,52,1,10,58,1,10,0,1,16,58,1,10,177,1,21,10,E,9,10,E,9,-5.6,A,7,-6.7,A,7,91,A,7,819,A,7,0,A,7,0,A,7,16100,B,7,750,A,7,0.4,E,8,0.033,F,8,0.33,F,8,0,1,D,9,0,C,8,265.84885
1/1/1996,10:00,421,1415,172,1,24,70,1,27,151,1,24,188,1,24,64,1,27,169,1,24,370,1,43,9,E,9,9,A,7,-3.9,A,7,-6.2,A,7,82,A,7,821,A,7,0,A,7,0,A,7,16100,B,7,2400,A,7,0.3,E,8,0.033,F,8,0.33,F,8,0,1,D,9,0,C,8,266.2051601
