724837,BEALE AFB,CA,-8,39.133,-121.433,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1991,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,-2.1,A,7,-5.5,A,7,75,A,7,1021,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,1,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,270.9
1/1/1991,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,E,9,-1,A,7,-4.9,A,7,72,A,7,1021,A,7,50,A,7,1,A,7,16000,B,7,77777,A,7,1,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,270.5816014
1/1/1991,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,E,9,-2.1,A,7,-4.3,A,7,83,A,7,1021,A,7,50,A,7,0.5,A,7,16000,B,7,77777,A,7,1,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,270.313871
1/1/1991,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,E,9,-2.7,A,7,-5.5,A,7,79,A,7,1020,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,269.8036632
1/1/1991,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,E,9,-1,A,7,-4.3,A,7,76,A,7,1020,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,269.9652591
1/1/1991,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,E,9,-3.8,A,7,-5.5,A,7,87,A,7,1020,A,7,20,A,7,1.5,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,269.4716783
1/1/1991,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,E,9,-2.7,A,7,-5.5,A,7,79,A,7,1020,A,7,20,A,7,0.5,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,269.0507901
1/1/1991,8:00,34,790,8,1,11,66,1,17,6,1,11,10,1,11,28,1,17,9,1,11,12,1,23,2,A,7,2,E,9,-3.8,A,7,-6,A,7,83,A,7,1020,A,7,360,A,7,0.5,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,269.0997903
1/1/1991,9:00,234,1415,109,1,11,363,1,17,49,1,11,111,1,11,254,1,17,68,1,11,85,1,23,3,A,7,3,E,9,0,A,7,-2.7,A,7,80,A,7,1020,A,7,320,A,7,0.5,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,272.1227485
1/1/1991,10:00,426,1415,222,1,11,440,1,17,90,1,11,236,1,11,390,1,17,118,1,11,167,1,23,2,A,7,2,E,9,3.9,A,7,-1.6,A,7,66,A,7,1021,A,7,320,A,7,0.5,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,276.0845024
1/1/1991,11:00,566,1415,373,1,11,627,1,17,122,1,11,383,1,11,587,1,17,147,1,11,229,1,23,3,A,7,3,E,9,6.7,A,7,-2.7,A,7,50,A,7,1021,A,7,350,A,7,2.1,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,279.5769707
1/1/1991,12:00,645,1415,297,1,11,320,1,17,151,1,11,322,1,11,327,1,17,173,1,11,318,1,23,9,A,7,9,E,9,8.9,A,7,-3.8,A,7,39,A,7,1020,A,7,340,A,7,2.1,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,281.0095308
1/1/1991,13:00,655,1415,262,1,11,76,1,17,227,1,11,288,1,11,75,1,17,252,1,11,638,1,23,9,A,7,9,E,9,10.6,A,7,-4.3,A,7,33,A,7,1019,A,7,350,A,7,2.6,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,281.016123
1/1/1991,14:00,598,1415,269,1,11,55,1,17,245,1,11,293,1,11,54,1,17,270,1,11,634,1,23,9,A,7,9,E,9,12.2,A,7,-3.8,A,7,31,A,7,1018,A,7,350,A,7,2.6,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,281.3154792
1/1/1991,15:00,476,1415,105,1,11,47,1,17,89,1,11,116,1,11,43,1,17,101,1,11,258,1,23,9,A,7,9,E,9,12.2,A,7,-3.8,A,7,31,A,7,1018,A,7,320,A,7,2.1,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,282.2305988
1/1/1991,16:00,299,1415,145,1,11,424,1,17,55,1,11,149,1,11,331,1,17,78,1,11,99,1,23,2,A,7,2,E,9,12.2,A,7,-3.8,A,7,31,A,7,1017,A,7,350,A,7,2.1,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,284.7493593
1/1/1991,17:00,84,1238,29,1,11,117,1,17,21,1,11,31,1,11,50,1,17,28,1,11,37,1,23,3,A,7,3,E,9,9.4,A,7,-3.8,A,7,38,A,7,1017,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,283.8183825
1/1/1991,18:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,E,9,6.1,A,7,-3.2,A,7,50,A,7,1017,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,280.3484811
1/1/1991,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,E,9,5.6,A,7,-2.7,A,7,54,A,7,1017,A,7,80,A,7,1,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,277.9967673
1/1/1991,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,E,9,0,A,7,-3.8,A,7,73,A,7,1017,A,7,190,A,7,0.5,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,275.3486762
1/1/1991,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,E,9,2.2,A,7,-2.7,A,7,68,A,7,1017,A,7,40,A,7,0.5,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,273.9682157
1/1/1991,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,E,9,1.1,A,7,-3.2,A,7,71,A,7,1018,A,7,170,A,7,0.5,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,273.5839338
1/1/1991,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,E,9,1.7,A,7,-2.7,A,7,71,A,7,1018,A,7,190,A,7,0.5,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,273.3669712
1/1/1991,24:00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,E,9,0,A,7,-3.8,A,7,73,A,7,1019,A,7,110,A,7,0.5,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,272.7469674
1/2/1991,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,E,9,1.1,A,7,-3.2,A,7,71,A,7,1018,A,7,50,A,7,0.5,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,272.5651822
1/2/1991,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,E,9,-2.1,A,7,-4.9,A,7,79,A,7,1018,A,7,20,A,7,0.5,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,271.5570365
1/2/1991,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,E,9,-1,A,7,-4.3,A,7,76,A,7,1018,A,7,180,A,7,1,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,270.9285906
1/2/1991,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,E,9,-0.5,A,7,-3.8,A,7,76,A,7,1018,A,7,80,A,7,0.5,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,270.9810308
1/2/1991,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,-1.6,A,7,-4.3,A,7,80,A,7,1018,A,7,40,A,7,0.5,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,270.7583514
1/2/1991,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,0,A,7,-3.8,A,7,73,A,7,1018,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,270.9547568
1/2/1991,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,-1.6,A,7,-3.8,A,7,83,A,7,1018,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,0.9,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,270.842265
1/2/1991,8:00,34,790,6,1,11,3,1,17,6,1,11,7,1,11,1,1,17,7,1,11,16,1,23,9,A,7,9,E,9,0,A,7,-3.8,A,7,73,A,7,1018,A,7,20,A,7,2.1,A,7,16000,B,7,77777,A,7,1,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,270.9904774
1/2/1991,9:00,234,1415,77,1,11,115,1,17,58,1,11,82,1,11,78,1,17,69,1,11,109,1,23,9,A,7,9,E,9,1.7,A,7,-1.6,A,7,77,A,7,1019,A,7,20,A,7,2.1,A,7,16000,B,7,7500,A,7,1,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,272.4772974
1/2/1991,10:00,426,1415,140,1,11,129,1,17,101,1,11,154,1,11,118,1,17,118,1,11,226,1,23,9,A,7,9,E,9,3.9,A,7,-1,A,7,70,A,7,1019,A,7,350,A,7,3.1,A,7,16000,B,7,7500,A,7,1,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,274.2492678
1/2/1991,11:00,567,1415,149,1,11,31,1,17,137,1,11,164,1,11,30,1,17,152,1,11,398,1,23,9,A,7,9,E,9,5.6,A,7,-1,A,7,62,A,7,1019,A,7,340,A,7,3.1,A,7,16000,B,7,7500,A,7,1.1,E,8,0.121,F,8,0.19,F,8,0,1,D,9,0,C,8,275.2936067
