724915,MONTEREY NAF,CA,-8,36.6,-121.867,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,7,A,7,4,A,7,81,A,7,1013,A,7,120,A,7,4.6,A,7,16100,B,7,77777,A,7,1.2,E,8,0.071,F,8,0.16,F,8,0,1,D,9,0,C,8,280
1/1/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,7,A,7,4,A,7,81,A,7,1013,A,7,120,A,7,5.7,A,7,16100,B,7,77777,A,7,1.1,E,8,0.071,F,8,0.16,F,8,0,1,D,9,0,C,8,279.0651085
1/1/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,2,E,9,7,A,7,3,A,7,76,A,7,1013,A,7,120,A,7,4.6,A,7,16100,B,7,77777,A,7,1.1,E,8,0.071,F,8,0.16,F,8,0,1,D,9,0,C,8,278.8206969
1/1/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,7,A,7,2,A,7,70,A,7,1013,A,7,110,A,7,5.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.071,F,8,0.16,F,8,0,1,D,9,0,C,8,278.7022232
1/1/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6,A,7,2,A,7,75,A,7,1013,A,7,110,A,7,4.6,A,7,16100,B,7,77777,A,7,1.1,E,8,0.071,F,8,0.16,F,8,0,1,D,9,0,C,8,278.3351424
1/1/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6,A,7,2,A,7,75,A,7,1013,A,7,120,A,7,4.6,A,7,16100,B,7,77777,A,7,1.1,E,8,0.071,F,8,0.16,F,8,0,1,D,9,0,C,8,277.963988
1/1/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,1,A,7,81,A,7,1013,A,7,120,A,7,5.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.071,F,8,0.16,F,8,0,1,D,9,0,C,8,277.3178727
1/1/1999,8:00,49,908,6,2,8,153,2,15,2,2,8,12,2,8,89,2,15,7,2,8,8,2,19,0,E,9,0,E,9,6,A,7,2,A,7,75,A,7,1014,A,7,120,A,7,4.1,A,7,16100,B,7,77777,A,7,1,E,8,0.071,F,8,0.16,F,8,0,1,D,9,0,C,8,278.0071048
1/1/1999,9:00,267,1415,142,2,8,547,2,15,38,2,8,144,2,8,425,2,15,63,2,8,73,2,19,0,E,9,0,E,9,8,A,7,3,A,7,71,A,7,1014,A,7,100,A,7,3.6,A,7,16100,B,7,77777,A,7,1,E,8,0.071,F,8,0.16,F,8,0,1,D,9,0,C,8,282.3725715
1/1/1999,10:00,467,1415,294,2,8,694,2,15,63,2,8,302,2,8,632,2,15,92,2,8,122,2,19,0,E,9,0,E,9,12,A,7,3,A,7,54,A,7,1015,A,7,110,A,7,3.1,A,7,16100,B,7,77777,A,7,1,E,8,0.071,F,8,0.16,F,8,0,1,D,9,0,C,8,286.3635193
