724917,SALINAS MUNICIPAL AP,CA,-8,36.667,-121.6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1994,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,E,9,7.7,A,7,7.2,A,7,97,A,7,1020,A,7,0,A,7,0,A,7,24100,B,7,77777,A,7,1.7,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,280.7
1/1/1994,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,E,9,7.7,A,7,7.2,A,7,97,A,7,1021,A,7,0,A,7,0,A,7,24100,B,7,77777,A,7,1.7,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,279.9922314
1/1/1994,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,7.7,A,7,6.6,A,7,93,A,7,1021,A,7,0,A,7,0,A,7,16100,B,7,3000,A,7,1.7,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,279.6268084
1/1/1994,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,E,9,7.2,A,7,6.1,A,7,93,A,7,1021,A,7,120,A,7,2,A,7,16100,B,7,77777,A,7,1.7,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,279.2911655
1/1/1994,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,B,8,2,B,8,6.7,B,8,5.8,B,8,94,A,7,1022,B,8,70,B,8,2,B,8,16100,C,8,77777,B,8,1.7,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,278.8786372
1/1/1994,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,E,9,6.1,A,7,5.5,A,7,96,A,7,1022,A,7,20,A,7,2,A,7,16100,B,7,77777,A,7,1.8,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,278.3989701
1/1/1994,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,E,9,4.4,A,7,3.8,A,7,96,A,7,1023,A,7,200,A,7,2,A,7,24100,B,7,77777,A,7,1.8,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,277.5797549
1/1/1994,8:00,51,931,10,1,11,5,1,16,9,1,11,10,1,11,3,1,16,10,1,11,24,1,22,9,A,7,9,E,9,5,A,7,4.4,A,7,96,A,7,1023,A,7,140,A,7,2,A,7,32200,B,7,6000,A,7,1.8,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,276.9930713
1/1/1994,9:00,270,1415,105,1,11,31,1,16,99,1,11,114,1,11,25,1,16,110,1,11,223,1,22,9,A,7,9,E,9,6.1,A,7,4.4,A,7,89,A,7,1024,A,7,120,A,7,2.5,A,7,32200,B,7,6000,A,7,1.8,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,277.0122209
1/1/1994,10:00,469,1415,162,1,11,59,1,16,142,1,11,177,1,11,55,1,16,159,1,11,375,1,22,9,A,7,9,E,9,10,A,7,7.2,A,7,83,A,7,1024,A,7,150,A,7,3.6,A,7,40200,B,7,3000,A,7,1.9,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,278.4916632
1/1/1994,11:00,615,1415,179,1,11,89,1,16,140,1,11,198,1,11,90,1,16,159,1,11,335,1,22,9,A,7,9,E,9,12.7,A,7,8.3,A,7,75,A,7,1023,A,7,140,A,7,3.6,A,7,40200,B,7,77777,A,7,1.9,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,280.9532767
