724927,LIVERMORE MUNICIPAL,CA,-8,37.7,-121.817,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1991,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,4,E,9,-6,E,9,-6,E,9,100,A,7,985,E,9,0,E,9,0,E,9,11200,C,8,5400,E,9,1.1,E,8,0.114,F,8,0.17,F,8,0,1,D,9,0,C,8,267
1/1/1991,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,4,B,8,-5.1,E,9,-5.1,E,9,100,A,7,986,E,9,0,B,8,0,B,8,11200,C,8,5400,B,8,1.1,E,8,0.114,F,8,0.17,F,8,0,1,D,9,0,C,8,266.6809321
1/1/1991,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,4,B,8,-3.6,E,9,-3.6,E,9,100,A,7,988,E,9,0,B,8,0,B,8,11200,C,8,5400,B,8,1.1,E,8,0.114,F,8,0.17,F,8,0,1,D,9,0,C,8,267.1770805
1/1/1991,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,4,B,8,-2.8,E,9,-2.8,E,9,100,A,7,990,E,9,0,B,8,0,B,8,11200,C,8,5400,B,8,1.1,E,8,0.114,F,8,0.17,F,8,0,1,D,9,0,C,8,267.9708796
1/1/1991,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,4,B,8,-1.4,E,9,-1.4,E,9,100,A,7,992,E,9,0,B,8,0,B,8,11200,C,8,5400,B,8,1.1,E,8,0.114,F,8,0.17,F,8,0,1,D,9,0,C,8,268.974885
1/1/1991,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,B,8,4,B,8,-0.6,E,9,-0.6,E,9,100,A,7,995,E,9,0,B,8,0,B,8,11200,C,8,5400,B,8,1.1,E,8,0.114,F,8,0.17,F,8,0,1,D,9,0,C,8,269.9791632
1/1/1991,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,4,E,9,1.4,E,9,1.4,E,9,100,A,7,996,E,9,0,A,7,0,A,7,11200,B,7,5400,A,7,1.1,E,8,0.114,F,8,0.17,F,8,0,1,D,9,0,C,8,271.2954861
1/1/1991,8:00,41,837,12,1,11,52,1,16,10,1,11,14,1,11,18,1,16,13,1,11,17,1,22,9,A,7,4,E,9,2.9,E,9,2.9,E,9,100,A,7,998,E,9,0,A,7,0,A,7,8000,B,7,5400,A,7,1.1,E,8,0.114,F,8,0.17,F,8,0,1,D,9,5,C,8,273.0827351
1/1/1991,9:00,251,1415,106,1,11,207,1,16,69,1,11,111,1,11,145,1,16,85,1,11,133,1,22,9,A,7,4,E,9,4.9,E,9,4.6,E,9,98,A,7,1001,E,9,50,A,7,2.1,A,7,8000,B,7,5400,A,7,1.1,E,8,0.114,F,8,0.17,F,8,0,1,D,9,5,C,8,275.81872
1/1/1991,10:00,448,1415,173,1,11,300,1,16,78,1,11,187,1,11,271,1,16,101,1,11,143,1,22,9,A,7,4,E,9,6.8,E,9,4.5,E,9,85,A,7,1003,E,9,250,A,7,2.6,A,7,8000,B,7,5400,A,7,1.1,E,8,0.114,F,8,0.17,F,8,0,1,D,9,5,C,8,278.5133355
