724930,OAKLAND METROPOLITAN ARPT,CA,-8,37.717,-122.217,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,9,A,7,7,A,7,87,A,7,1020,E,9,0,A,7,0,A,7,24100,B,7,77777,A,7,1.3,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,282
1/1/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,10,A,7,7,A,7,82,A,7,1020,E,9,130,A,7,2.6,A,7,24100,B,7,7500,A,7,1.3,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,281.5527128
1/1/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,10,A,7,7,A,7,82,A,7,1021,E,9,140,A,7,2.6,A,7,24100,B,7,77777,A,7,1.3,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,281.5492631
1/1/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,9,A,7,7,A,7,87,A,7,1020,E,9,130,A,7,2.1,A,7,24100,B,7,77777,A,7,1.2,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,281.2306919
1/1/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,B,8,1,B,8,8.9,B,8,6,B,8,82,A,7,1021,E,9,100,B,8,2.4,B,8,24100,C,8,77777,A,7,1.2,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,280.8537041
1/1/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,8.8,B,8,4.9,B,8,76,A,7,1020,E,9,80,B,8,2.8,B,8,24100,C,8,77777,A,7,1.2,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,280.6178945
1/1/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,9,A,7,4,A,7,71,A,7,1021,E,9,50,A,7,3.1,A,7,24100,B,7,77777,A,7,1.2,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,280.5502772
1/1/1999,8:00,37,814,2,2,8,71,2,15,1,2,8,5,2,8,40,2,15,3,2,8,4,2,19,0,E,9,0,E,9,8,A,7,1,A,7,61,A,7,1021,E,9,240,A,7,1.5,A,7,32200,B,7,77777,A,7,1.2,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,280.6532593
1/1/1999,9:00,245,1415,122,2,8,463,2,15,41,2,8,125,2,8,336,2,15,67,2,8,75,2,19,0,E,9,0,E,9,9,A,7,2,A,7,61,A,7,1022,E,9,40,A,7,2.1,A,7,32200,B,7,77777,A,7,1.1,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,283.2820708
1/1/1999,10:00,443,1415,262,2,8,573,2,15,81,2,8,269,2,8,510,2,15,109,2,8,151,2,19,0,E,9,0,E,9,11,A,7,3,A,7,58,A,7,1023,E,9,220,A,7,2.6,A,7,32200,B,7,77777,A,7,1.1,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,285.4308382
1/1/1999,11:00,589,1415,393,2,8,712,2,15,95,2,8,411,2,8,682,2,15,125,2,8,190,2,19,1,E,9,0,E,9,12,A,7,3,A,7,54,A,7,1023,E,9,240,A,7,2.6,A,7,32200,B,7,77777,A,7,1.1,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,286.63839
1/1/1999,12:00,672,1415,442,2,8,655,2,15,129,2,8,458,2,8,636,2,15,154,2,8,262,2,19,0,E,9,0,E,9,13,A,7,1,A,7,44,A,7,1022,E,9,270,A,7,2.6,A,7,32200,B,7,77777,A,7,1.1,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,286.5143207
1/1/1999,13:00,687,1415,454,2,8,684,2,15,121,2,8,474,2,8,670,2,15,148,2,8,252,2,19,0,E,9,0,E,9,15,A,7,2,A,7,41,A,7,1021,E,9,280,A,7,3.6,A,7,32200,B,7,77777,A,7,1.1,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,288.5001096
1/1/1999,14:00,632,1415,431,2,8,717,2,15,110,2,8,450,2,8,693,2,15,139,2,8,222,2,19,0,E,9,0,E,9,14,A,7,1,A,7,41,A,7,1021,E,9,280,A,7,3.1,A,7,32200,B,7,77777,A,7,1,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,289.2462594
1/1/1999,15:00,511,1415,346,2,8,625,2,15,119,2,8,351,2,8,569,2,15,144,2,8,214,2,19,0,E,9,0,E,9,17,A,7,1,A,7,34,A,7,1021,E,9,290,A,7,4.1,A,7,48300,B,7,77777,A,7,1,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,291.1185755
1/1/1999,16:00,333,1415,206,2,8,473,2,15,95,2,8,211,2,8,380,2,15,121,2,8,179,2,19,0,E,9,0,E,9,18,A,7,2,A,7,34,A,7,1021,E,9,300,A,7,5.1,A,7,48300,B,7,77777,A,7,1,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,290.8170471
1/1/1999,17:00,112,1403,36,2,8,244,2,15,16,2,8,39,2,8,130,2,15,27,2,8,30,2,19,0,E,9,0,E,9,17,A,7,1,A,7,34,A,7,1022,E,9,320,A,7,4.1,A,7,48300,B,7,77777,A,7,1,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,290.4221527
1/1/1999,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,15,A,7,-2,A,7,30,A,7,1022,E,9,20,A,7,3.6,A,7,40200,B,7,77777,A,7,1,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,286.9936849
1/1/1999,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,15,A,7,-2,A,7,30,A,7,1023,E,9,10,A,7,3.6,A,7,40200,B,7,77777,A,7,1,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,286.7128658
1/1/1999,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,12,A,7,2,A,7,50,A,7,1023,E,9,300,A,7,3.6,A,7,40200,B,7,77777,A,7,0.9,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,284.465093
1/1/1999,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,11,A,7,2,A,7,54,A,7,1023,E,9,10,A,7,1.5,A,7,40200,B,7,77777,A,7,0.9,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,283.2555096
1/1/1999,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,11,A,7,2,A,7,54,A,7,1023,E,9,310,A,7,1.5,A,7,40200,B,7,77777,A,7,0.9,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,282.8784104
1/1/1999,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,11,A,7,2,A,7,54,A,7,1023,E,9,350,A,7,2.1,A,7,40200,B,7,77777,A,7,0.9,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,282.69463
1/1/1999,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,10,A,7,3,A,7,62,A,7,1024,E,9,40,A,7,1.5,A,7,40200,B,7,77777,A,7,0.9,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,282.2941883
1/2/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,9,A,7,2,A,7,61,A,7,1024,E,9,150,A,7,2.6,A,7,40200,B,7,77777,A,7,0.8,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,281.2602658
1/2/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,10,A,7,-1,A,7,46,A,7,1023,E,9,90,A,7,3.6,A,7,32200,B,7,77777,A,7,0.8,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,281.2222742
1/2/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7,A,7,0,A,7,61,A,7,1024,E,9,10,A,7,1.5,A,7,32200,B,7,77777,A,7,0.8,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,280.1861004
1/2/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,A,7,3,E,9,8,A,7,0,A,7,57,A,7,1024,E,9,340,A,7,2.6,A,7,12900,B,7,77777,A,7,0.8,E,8,0.112,F,8,0.16,F,8,0,1,D,9,0,C,8,279.6141034
