724936,CONCORD CONCORD-BUCHANAN FIEL,CA,-8,38,-122.05,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1994,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,7.2,B,8,7.2,B,8,100,A,7,1016,E,9,350,B,8,1.7,B,8,400,C,8,2005,B,8,1.6,E,8,0.134,F,8,0.17,F,8,0,1,D,9,0,C,8,280.2
1/1/1994,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,7.1,B,8,7.1,B,8,100,A,7,1016,E,9,350,B,8,1.4,B,8,400,C,8,1673,B,8,1.6,E,8,0.134,F,8,0.17,F,8,0,1,D,9,0,C,8,279.4776911
1/1/1994,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,7,B,8,7,B,8,100,A,7,1016,E,9,360,B,8,1.1,B,8,400,C,8,1342,B,8,1.6,E,8,0.134,F,8,0.17,F,8,0,1,D,9,0,C,8,279.0449313
1/1/1994,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,6.9,B,8,6.9,B,8,100,A,7,1015,E,9,360,B,8,0.8,B,8,400,C,8,1010,B,8,1.6,E,8,0.134,F,8,0.17,F,8,0,1,D,9,0,C,8,278.7794143
1/1/1994,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,6.9,B,8,6.9,B,8,100,A,7,1014,E,9,360,B,8,0.6,B,8,400,C,8,678,B,8,1.6,E,8,0.134,F,8,0.17,F,8,0,1,D,9,0,C,8,278.6313455
1/1/1994,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,6.7,B,8,6.7,B,8,100,A,7,1014,E,9,360,B,8,0.3,B,8,400,C,8,347,B,8,1.6,E,8,0.134,F,8,0.17,F,8,0,1,D,9,0,C,8,278.4960359
1/1/1994,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,6.6,A,7,6.6,A,7,100,A,7,1015,E,9,0,A,7,0,A,7,400,C,8,15,A,7,1.7,E,8,0.134,F,8,0.17,F,8,0,1,D,9,0,C,8,278.3608971
1/1/1994,8:00,36,814,3,1,11,0,1,17,3,1,11,4,1,11,0,1,17,4,1,11,12,1,23,10,B,8,10,B,8,5.7,B,8,5.7,B,8,100,A,7,1015,E,9,0,B,8,0,B,8,400,C,8,15,B,8,1.7,E,8,0.134,F,8,0.17,F,8,0,1,D,9,0,C,8,277.9870582
1/1/1994,9:00,243,1415,27,1,11,0,1,16,27,1,11,32,1,11,0,1,16,32,1,11,108,1,22,10,A,7,10,E,9,6.1,A,7,5.5,A,7,96,A,7,1016,E,9,0,A,7,0,A,7,400,B,7,15,A,7,1.7,E,8,0.134,F,8,0.17,F,8,0,1,D,9,45,C,8,277.6649454
1/1/1994,10:00,440,1415,193,1,11,92,1,16,164,1,11,211,1,11,86,1,16,184,1,11,401,1,22,9,A,7,9,E,9,7.7,A,7,6.6,A,7,93,A,7,1016,E,9,10,A,7,2,A,7,800,B,7,6000,A,7,1.7,E,8,0.134,F,8,0.17,F,8,0,1,D,9,45,C,8,278.0621393
