724945,SAN JOSE INTL AP,CA,-8,37.367,-121.933,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6,A,7,5,A,7,93,A,7,1020,A,7,30,A,7,2.1,A,7,12900,B,7,77777,A,7,1.2,E,8,0.098,F,8,0.17,F,8,1,1,D,9,0,C,8,279
1/1/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,6,A,7,5,A,7,93,A,7,1020,A,7,0,A,7,0,A,7,8000,B,7,77777,A,7,1.1,E,8,0.098,F,8,0.17,F,8,1,1,D,9,10,C,8,278.3009343
1/1/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,5,A,7,4,A,7,93,A,7,1020,A,7,130,A,7,1.5,A,7,8000,B,7,77777,A,7,1.1,E,8,0.098,F,8,0.17,F,8,1,1,D,9,10,C,8,277.6205554
1/1/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,3,A,7,3,A,7,100,A,7,1020,A,7,130,A,7,2.1,A,7,6400,B,7,77777,A,7,1.1,E,8,0.098,F,8,0.17,F,8,0,1,D,9,10,C,8,276.551433
1/1/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,3,A,7,2,A,7,93,A,7,1020,A,7,180,A,7,1.5,A,7,4800,B,7,77777,A,7,1.1,E,8,0.098,F,8,0.17,F,8,0,1,D,9,10,C,8,275.6027214
1/1/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,2,A,7,2,A,7,100,A,7,1020,A,7,0,A,7,0,A,7,6400,B,7,77777,A,7,1.1,E,8,0.098,F,8,0.17,F,8,0,1,D,9,10,C,8,274.865421
1/1/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,3,A,7,3,A,7,100,A,7,1021,A,7,0,A,7,0,A,7,8000,B,7,77777,A,7,1.1,E,8,0.098,F,8,0.17,F,8,0,1,D,9,10,C,8,274.5766687
1/1/1999,8:00,42,861,4,2,8,80,2,15,2,2,8,7,2,8,46,2,15,5,2,8,8,2,19,0,E,9,0,E,9,3,A,7,2,A,7,93,A,7,1021,A,7,130,A,7,2.1,A,7,6400,B,7,77777,A,7,1,E,8,0.098,F,8,0.17,F,8,0,1,D,9,10,C,8,275.0838065
1/1/1999,9:00,254,1415,121,2,8,397,2,15,49,2,8,123,2,8,290,2,15,71,2,8,87,2,19,0,E,9,0,E,9,6,A,7,4,A,7,87,A,7,1021,A,7,0,A,7,0,A,7,8000,B,7,77777,A,7,1,E,8,0.098,F,8,0.17,F,8,0,1,D,9,10,C,8,278.4896424
1/1/1999,10:00,453,1415,278,2,8,614,2,15,80,2,8,287,2,8,551,2,15,109,2,8,150,2,19,0,E,9,0,E,9,9,A,7,4,A,7,71,A,7,1022,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1,E,8,0.098,F,8,0.17,F,8,0,1,D,9,0,C,8,282.8523502
