724955,NAPA CO. AIRPORT,CA,-8,38.217,-122.283,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,0,E,9,2.8,E,9,1.9,E,9,94,A,7,1020,E,9,0,E,9,0,E,9,800,C,8,77777,E,9,1.3,E,8,0.119,F,8,0.17,F,8,1,1,D,9,0,C,8,275.8
1/1/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,0.2,E,9,0.2,E,9,100,A,7,1021,E,9,0,E,9,0,E,9,800,C,8,77777,E,9,1.3,E,8,0.119,F,8,0.17,F,8,1,1,D,9,0,C,8,274.3772768
1/1/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,1,E,9,-0.1,E,9,-0.6,E,9,96,A,7,1022,E,9,0,E,9,0,E,9,800,C,8,77777,E,9,1.2,E,8,0.119,F,8,0.17,F,8,0,1,D,9,0,C,8,273.114999
1/1/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,1,E,9,0.1,E,9,-0.4,E,9,96,A,7,1022,E,9,0,E,9,0,E,9,800,C,8,77777,E,9,1.2,E,8,0.119,F,8,0.17,F,8,0,1,D,9,0,C,8,272.4423295
1/1/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,2,E,9,1.4,E,9,0.9,E,9,96,A,7,1023,E,9,0,E,9,0,E,9,800,C,8,77777,E,9,1.2,E,8,0.119,F,8,0.17,F,8,0,1,D,9,0,C,8,272.533548
1/1/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,2,E,9,4.9,E,9,3.9,E,9,93,A,7,1023,E,9,290,E,9,4.6,E,9,800,C,8,77777,E,9,1.2,E,8,0.119,F,8,0.17,F,8,0,1,D,9,0,C,8,274.0743405
1/1/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,2,E,9,1.8,E,9,1.2,E,9,96,A,7,1024,E,9,0,E,9,0,E,9,800,C,8,77777,E,9,1.2,E,8,0.119,F,8,0.17,F,8,0,1,D,9,0,C,8,274.3783561
1/1/1999,8:00,33,766,1,2,8,62,2,15,1,2,8,4,2,8,34,2,15,3,2,8,4,2,19,2,E,9,1,E,9,6.4,E,9,3.1,E,9,79,A,7,1024,E,9,310,E,9,2.7,E,9,800,C,8,77777,E,9,1.2,E,8,0.119,F,8,0.17,F,8,0,1,D,9,0,C,8,275.8460554
1/1/1999,9:00,236,1415,110,2,8,375,2,15,47,2,8,112,2,8,265,2,15,67,2,8,83,2,19,0,E,9,0,E,9,3.8,E,9,2.7,E,9,93,A,7,1025,E,9,240,E,9,1.1,E,9,800,C,8,77777,E,9,1.1,E,8,0.119,F,8,0.17,F,8,0,1,D,9,0,C,8,278.5848693
1/1/1999,10:00,433,1415,265,2,8,606,2,15,79,2,8,273,2,8,536,2,15,108,2,8,147,2,19,0,E,9,0,E,9,10.2,E,9,5.7,E,9,74,A,7,1026,E,9,40,E,9,3.4,E,9,800,C,8,77777,E,9,1.1,E,8,0.119,F,8,0.17,F,8,0,1,D,9,0,C,8,282.8109285
