725036,POUGHKEEPSIE DUTCHESS CO AP,NY,-5,41.633,-73.883,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2,A,7,1,A,7,93,A,7,1014,A,7,0,A,7,0,A,7,9700,B,7,77777,A,7,1.1,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,275
1/1/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,1,A,7,0,A,7,93,A,7,1014,A,7,0,A,7,0,A,7,8000,B,7,77777,A,7,1.1,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,274.0007832
1/1/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,3,A,7,2,A,7,93,A,7,1014,A,7,200,A,7,2.6,A,7,11300,B,7,77777,A,7,1.1,E,8,0.089,F,8,0.16,F,8,0,1,D,9,10,C,8,273.9673802
1/1/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,2,A,7,87,A,7,1013,A,7,0,A,7,0,A,7,11300,B,7,77777,A,7,1.1,E,8,0.089,F,8,0.16,F,8,0,1,D,9,10,C,8,274.6807266
1/1/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,1,A,7,0,A,7,93,A,7,1014,A,7,0,A,7,0,A,7,6400,B,7,77777,A,7,1,E,8,0.089,F,8,0.16,F,8,0,1,D,9,10,C,8,274.2383647
1/1/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,8,A,7,4,A,7,76,A,7,1014,A,7,40,B,8,1.5,A,7,11300,B,7,77777,A,7,1,E,8,0.089,F,8,0.16,F,8,0,1,D,9,10,C,8,275.8890913
1/1/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2,A,7,0,A,7,87,A,7,1015,A,7,70,A,7,1.5,A,7,4800,B,7,77777,A,7,0.9,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,275.8663291
1/1/2005,8:00,37,837,3,2,9,97,2,21,1,2,9,7,2,9,54,2,21,4,2,9,4,2,25,0,E,9,0,E,9,7,A,7,4,A,7,81,A,7,1015,A,7,200,A,7,3.1,A,7,16100,B,7,77777,A,7,0.9,E,8,0.089,F,8,0.16,F,8,0,1,D,9,5,C,8,276.5602709
1/1/2005,9:00,229,1415,135,2,9,405,2,21,68,2,9,136,2,9,273,2,21,91,2,9,127,2,25,3,E,9,3,E,9,7,A,7,4,A,7,81,A,7,1017,A,7,340,A,7,2.6,A,7,9700,B,7,77777,A,7,0.8,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,278.0243173
1/1/2005,10:00,407,1415,272,2,9,660,2,21,81,2,9,278,2,9,571,2,21,113,2,9,147,2,25,0,E,9,0,A,7,11,A,7,5,A,7,66,A,7,1018,A,7,40,A,7,2.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,281.230512
1/1/2005,11:00,533,1415,366,2,9,752,2,21,82,2,9,384,2,9,707,2,21,116,2,9,162,2,25,0,E,9,0,E,9,12,A,7,2,A,7,50,A,7,1019,A,7,340,A,7,4.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,285.8815399
1/1/2005,12:00,597,1415,417,2,9,791,2,21,82,2,9,430,2,9,754,2,21,110,2,9,161,2,25,0,E,9,0,E,9,13,A,7,1,A,7,44,A,7,1019,A,7,290,A,7,6.7,A,7,16100,B,7,77777,A,7,0.8,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,288.9652373
1/1/2005,13:00,597,1415,414,2,9,789,2,21,80,2,9,428,2,9,753,2,21,109,2,9,159,2,25,0,E,9,0,A,7,12,A,7,-2,A,7,37,A,7,1019,A,7,310,A,7,7.2,A,7,16100,B,7,77777,A,7,0.9,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,290.9233836
1/1/2005,14:00,530,1415,357,2,9,751,2,21,74,2,9,366,2,9,701,2,21,102,2,9,142,2,25,0,E,9,0,A,7,11,A,7,-3,A,7,36,A,7,1020,A,7,330,A,7,6.2,A,7,16100,B,7,77777,A,7,0.9,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,291.3969991
1/1/2005,15:00,404,1415,254,2,9,653,2,21,67,2,9,263,2,9,569,2,21,100,2,9,126,2,25,0,E,9,0,A,7,10,A,7,-4,A,7,36,A,7,1021,A,7,350,A,7,5.7,A,7,16100,B,7,77777,A,7,1,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,290.6006591
1/1/2005,16:00,225,1415,115,2,9,430,2,21,46,2,9,117,2,9,297,2,21,69,2,9,81,2,25,0,E,9,0,A,7,8,A,7,-3,A,7,44,A,7,1022,A,7,10,A,7,4.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,287.874607
1/1/2005,17:00,35,814,1,2,9,0,2,21,1,2,9,1,2,9,0,2,21,1,2,9,4,2,25,0,E,9,0,A,7,6,A,7,-3,A,7,51,A,7,1024,A,7,10,A,7,5.7,A,7,16100,B,7,77777,A,7,1,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,282.6673964
1/1/2005,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,4,A,7,-3,A,7,59,A,7,1025,A,7,360,A,7,4.1,A,7,16100,B,7,77777,A,7,0.9,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,278.4691041
1/1/2005,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,3,A,7,-3,A,7,63,A,7,1026,A,7,360,A,7,2.1,A,7,16100,B,7,77777,A,7,0.9,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,276.142487
1/1/2005,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,1,A,7,-3,A,7,72,A,7,1027,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,274.3764307
1/1/2005,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,-1,A,7,-4,A,7,78,A,7,1028,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,272.668333
1/1/2005,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-2,A,7,-4,A,7,85,A,7,1028,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,271.2653469
1/1/2005,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-4,A,7,78,A,7,1029,A,7,0,A,7,0,A,7,16100,B,7,1050,A,7,0.9,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,270.7995626
1/1/2005,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,-1,A,7,-4,A,7,78,A,7,1028,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,270.7577467
1/2/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,E,9,-2,A,7,-4,A,7,85,A,7,1029,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,270.4335727
1/2/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,-2,A,7,-4,A,7,85,A,7,1029,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.089,F,8,0.16,F,8,0,1,D,9,0,C,8,270.0830263
