725046,GROTON NEW LONDON AP,CT,-5,41.333,-72.05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1996,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,B,8,8,B,8,-2.5,B,8,-6.3,B,8,72,A,7,1021,E,9,0,B,8,0,B,8,11300,C,8,9333,B,8,1.1,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,270.5
1/1/1996,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,B,8,7,B,8,-2.3,B,8,-6.3,B,8,71,A,7,1021,E,9,0,B,8,0,B,8,11300,C,8,11444,B,8,1.1,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,269.9139545
1/1/1996,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,B,8,6,B,8,-2.4,B,8,-6.7,B,8,69,A,7,1021,E,9,0,B,8,0,B,8,11300,C,8,13556,B,8,1.1,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,269.6427233
1/1/1996,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,B,8,5,B,8,-2.6,B,8,-7.4,B,8,66,A,7,1021,E,9,0,B,8,0,B,8,11300,C,8,15667,B,8,1.2,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,269.4266883
1/1/1996,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,B,8,5,B,8,-2.8,B,8,-7.8,B,8,65,A,7,1020,E,9,0,B,8,0,B,8,11300,C,8,17778,B,8,1.2,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,269.2202489
1/1/1996,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,B,8,4,B,8,-2.5,B,8,-7.9,B,8,63,A,7,1020,E,9,0,B,8,0,B,8,11300,C,8,19889,B,8,1.2,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,269.1747076
1/1/1996,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,E,9,-1.2,A,7,-6.2,A,7,65,A,7,1020,E,9,0,A,7,0,A,7,11300,B,7,77777,A,7,1.2,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,269.6418045
1/1/1996,8:00,57,1049,13,1,11,14,1,16,12,1,11,15,1,11,6,1,16,14,1,11,25,1,22,0,A,7,0,E,9,-1.2,A,7,-5.6,A,7,69,A,7,1021,E,9,0,A,7,0,A,7,11300,B,7,77777,A,7,1.2,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,270.091635
1/1/1996,9:00,258,1415,104,1,11,224,1,16,63,1,11,110,1,11,160,1,16,81,1,11,118,1,22,0,A,7,0,E,9,-0.6,A,7,-5.6,A,7,66,A,7,1022,E,9,20,A,7,2.5,A,7,11300,B,7,77777,A,7,1.3,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,270.5778782
1/1/1996,10:00,430,1415,222,1,11,415,1,16,95,1,11,234,1,11,369,1,16,121,1,11,177,1,22,0,A,7,0,E,9,1.1,A,7,-4.5,A,7,63,A,7,1023,E,9,0,A,7,0,A,7,11300,B,7,77777,A,7,1.3,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,272.2812356
1/1/1996,11:00,549,1415,317,1,11,516,1,16,117,1,11,338,1,11,492,1,16,146,1,11,225,1,22,0,A,7,0,E,9,3.3,A,7,-3.9,A,7,57,A,7,1023,E,9,0,A,7,0,A,7,11300,B,7,77777,A,7,1.3,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,275.5824481
1/1/1996,12:00,606,1415,365,1,11,556,1,16,127,1,11,390,1,11,543,1,16,157,1,11,250,1,22,0,A,7,0,E,9,3.3,A,7,-3.9,A,7,57,A,7,1023,E,9,0,A,7,0,A,7,11300,B,7,77777,A,7,1.3,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,278.3777658
1/1/1996,13:00,597,1415,335,1,11,423,1,16,157,1,11,350,1,11,410,1,16,176,1,11,316,1,22,3,A,7,3,E,9,5,A,7,-3.9,A,7,51,A,7,1023,E,9,90,A,7,2,A,7,16100,B,7,77777,A,7,1.3,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,280.0676673
1/1/1996,14:00,522,1415,288,1,11,430,1,16,129,1,11,301,1,11,404,1,16,151,1,11,250,1,22,2,A,7,2,E,9,4.4,A,7,-3.4,A,7,55,A,7,1024,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,1.4,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,280.9741209
1/1/1996,15:00,387,1415,173,1,11,218,1,16,113,1,11,182,1,11,190,1,16,130,1,11,227,1,22,3,A,7,3,E,9,4.4,A,7,-3.9,A,7,53,A,7,1025,E,9,170,A,7,2.5,A,7,16100,B,7,77777,A,7,1.4,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,280.1223555
1/1/1996,16:00,203,1415,73,1,11,126,1,16,54,1,11,76,1,11,78,1,16,65,1,11,102,1,22,2,A,7,2,E,9,3.3,A,7,-3.4,A,7,59,A,7,1027,E,9,160,A,7,3,A,7,16100,B,7,77777,A,7,1.4,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,278.2503517
1/1/1996,17:00,22,649,3,1,11,0,1,16,3,1,11,0,1,11,0,1,16,0,1,11,0,1,22,3,A,7,3,E,9,2.7,A,7,-2.8,A,7,65,A,7,1029,E,9,160,A,7,3,A,7,16100,B,7,77777,A,7,1.4,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,276.2264835
1/1/1996,18:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,E,9,2.2,A,7,-3.9,A,7,62,A,7,1031,E,9,50,A,7,2.5,A,7,19300,B,7,77777,A,7,1.4,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,274.5193543
1/1/1996,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,8,E,9,1.1,A,7,-2.3,A,7,76,A,7,1032,E,9,60,A,7,2.5,A,7,19300,B,7,4500,A,7,1.5,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,273.7630443
1/1/1996,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,7,E,9,0.5,A,7,-6.7,A,7,55,A,7,1032,E,9,60,A,7,2.5,A,7,19300,B,7,4500,A,7,1.5,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,272.8926781
1/1/1996,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,8,E,9,0.5,A,7,-1.2,A,7,87,A,7,1033,E,9,60,A,7,2.5,A,7,19300,B,7,4500,A,7,1.5,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,272.540922
1/1/1996,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,0.5,A,7,-1.2,A,7,87,A,7,1034,E,9,40,A,7,1.5,A,7,19300,B,7,4500,A,7,1.5,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,272.3639659
1/1/1996,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-0.8,B,8,-2.6,B,8,86,A,7,1035,E,9,40,B,8,1.7,B,8,18044,C,8,4077,B,8,1.6,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,271.833541
1/1/1996,24:00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-1,B,8,-2.5,B,8,88,A,7,1035,E,9,40,B,8,2,B,8,16788,C,8,3653,B,8,1.6,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,271.3206923
1/2/1996,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-1,B,8,-2.8,B,8,86,A,7,1035,E,9,30,B,8,2.2,B,8,15533,C,8,3230,B,8,1.6,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,271.0166114
1/2/1996,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-1,B,8,-2.9,B,8,85,A,7,1035,E,9,30,B,8,2.4,B,8,14277,C,8,2807,B,8,1.6,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,270.8640977
