725054,PAWTUCKET (AWOS),RI,-5,41.917,-71.5,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-6,A,7,-8,A,7,84,A,7,997,E,9,260,A,7,1.5,A,7,16100,B,7,77777,A,7,0.9,E,8,0.091,F,8,0.15,F,8,0,1,D,9,0,C,8,267
1/1/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-5,A,7,-8,A,7,77,A,7,997,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.091,F,8,0.15,F,8,0,1,D,9,0,C,8,266.696606
1/1/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-4,A,7,-8,A,7,71,A,7,997,E,9,0,A,7,0,A,7,16100,B,7,1350,A,7,0.9,E,8,0.091,F,8,0.15,F,8,0,1,D,9,0,C,8,267.0670847
1/1/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-4,A,7,-8,A,7,71,A,7,997,E,9,0,A,7,0,A,7,16100,B,7,1170,A,7,0.9,E,8,0.091,F,8,0.15,F,8,0,1,D,9,0,C,8,267.4324031
1/1/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,-4,A,7,-8,A,7,71,A,7,997,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.091,F,8,0.15,F,8,0,1,D,9,0,C,8,267.6041707
1/1/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-4,A,7,-7,A,7,77,A,7,997,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,0.8,E,8,0.091,F,8,0.15,F,8,0,1,D,9,0,C,8,267.6862931
1/1/2000,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,-3,A,7,-5,A,7,84,A,7,997,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,0.8,E,8,0.091,F,8,0.15,F,8,0,1,D,9,0,C,8,268.0553542
1/1/2000,8:00,58,1049,10,2,9,159,2,21,5,2,9,16,2,9,93,2,21,10,2,9,17,2,25,3,E,9,3,E,9,-3,A,7,-4,A,7,92,A,7,997,E,9,0,A,7,0,A,7,16100,B,7,77777,A,7,0.8,E,8,0.091,F,8,0.15,F,8,0,1,D,9,0,C,8,268.6558982
1/1/2000,9:00,256,1415,151,2,9,455,2,21,68,2,9,155,2,9,325,2,21,95,2,9,126,2,25,3,E,9,2,E,9,0,A,7,-2,A,7,85,A,7,997,E,9,240,A,7,2.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.091,F,8,0.15,F,8,0,1,D,9,0,C,8,270.1666803
1/1/2000,10:00,425,1415,281,2,9,650,2,21,85,2,9,287,2,9,569,2,21,116,2,9,154,2,25,3,E,9,2,E,9,2,A,7,-1,A,7,80,A,7,997,E,9,210,A,7,2.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.091,F,8,0.15,F,8,0,1,D,9,0,C,8,273.3751472
1/1/2000,11:00,540,1415,370,2,9,732,2,21,89,2,9,385,2,9,688,2,21,121,2,9,174,2,25,1,E,9,1,E,9,3,A,7,-1,A,7,74,A,7,997,E,9,210,A,7,2.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.091,F,8,0.15,F,8,0,1,D,9,0,C,8,277.6150949
1/1/2000,12:00,594,1415,421,2,9,753,2,21,103,2,9,438,2,9,720,2,21,134,2,9,204,2,25,0,E,9,0,E,9,7,A,7,-2,A,7,52,A,7,997,E,9,240,A,7,3.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.091,F,8,0.15,F,8,0,1,D,9,0,C,8,282.4566304
1/1/2000,13:00,582,1415,394,2,9,662,2,21,120,2,9,404,2,9,625,2,21,146,2,9,229,2,25,8,E,9,8,E,9,8,A,7,-1,A,7,52,A,7,997,E,9,220,A,7,4.6,A,7,16100,B,7,1410,A,7,0.7,E,8,0.091,F,8,0.15,F,8,0,1,D,9,0,C,8,285.5940372
1/1/2000,14:00,506,1415,303,2,9,548,2,21,106,2,9,310,2,9,501,2,21,130,2,9,196,2,25,8,E,9,8,E,9,8,A,7,0,A,7,57,A,7,997,E,9,260,A,7,3.1,A,7,16100,B,7,1350,A,7,0.8,E,8,0.091,F,8,0.15,F,8,0,1,D,9,0,C,8,286.6326947
1/1/2000,15:00,371,1415,202,2,9,465,2,21,80,2,9,213,2,9,392,2,21,110,2,9,147,2,25,4,E,9,4,E,9,7,A,7,1,A,7,66,A,7,997,E,9,240,A,7,4.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.091,F,8,0.15,F,8,0,1,D,9,0,C,8,286.234625
1/1/2000,16:00,186,1415,86,2,9,276,2,21,50,2,9,89,2,9,166,2,21,67,2,9,92,2,25,0,E,9,0,E,9,5,A,7,2,A,7,81,A,7,997,E,9,240,A,7,3.6,A,7,16100,B,7,77777,A,7,0.8,E,8,0.091,F,8,0.15,F,8,0,1,D,9,0,C,8,284.0203479
1/1/2000,17:00,16,554,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,6,A,7,3,A,7,81,A,7,997,E,9,240,A,7,2.6,A,7,16100,B,7,360,A,7,0.8,E,8,0.091,F,8,0.15,F,8,0,1,D,9,0,C,8,280.9884909
