725064,PLYMOUTH MUNICIPAL,MA,-5,41.917,-70.733,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1995,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,E,9,-2.8,E,9,-3.9,E,9,91,A,7,1008,E,9,0,E,9,0,E,9,16100,C,8,77777,E,9,1,E,8,0.092,F,8,0.15,F,8,0,1,D,9,0,C,8,270.2
1/1/1995,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,E,9,-1.7,E,9,-3.4,E,9,87,A,7,1008,E,9,0,E,9,0,E,9,16100,C,8,77777,E,9,1,E,8,0.092,F,8,0.15,F,8,0,1,D,9,0,C,8,269.9065876
1/1/1995,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,E,9,-2.3,E,9,-3.9,E,9,87,A,7,1008,E,9,0,E,9,0,E,9,16100,C,8,77777,E,9,1,E,8,0.092,F,8,0.15,F,8,0,1,D,9,0,C,8,269.7811016
1/1/1995,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,E,9,-2.3,E,9,-3.4,E,9,91,A,7,1008,E,9,0,E,9,0,E,9,16100,C,8,77777,E,9,1,E,8,0.092,F,8,0.15,F,8,0,1,D,9,0,C,8,269.6066408
1/1/1995,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4,E,9,4,E,9,-2.8,E,9,-3.9,E,9,91,A,7,1008,E,9,0,E,9,0,E,9,16100,C,8,77777,E,9,1,E,8,0.092,F,8,0.15,F,8,0,1,D,9,0,C,8,269.3666106
1/1/1995,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,E,9,8,E,9,-3.9,E,9,-5,E,9,91,A,7,1008,E,9,0,E,9,0,E,9,16100,C,8,77777,E,9,1,E,8,0.092,F,8,0.15,F,8,0,1,D,9,0,C,8,268.8138011
1/1/1995,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,E,9,-3.4,E,9,-3.9,E,9,96,A,7,1008,E,9,0,E,9,0,E,9,16100,C,8,77777,E,9,1,E,8,0.092,F,8,0.15,F,8,0,1,D,9,0,C,8,268.4932218
1/1/1995,8:00,66,1120,25,1,28,19,1,31,24,1,28,28,1,28,11,1,31,27,1,28,56,1,50,8,E,9,8,E,9,-2.8,E,9,-3.4,E,9,95,A,7,1008,E,9,0,E,9,0,E,9,16100,C,8,77777,E,9,1,E,8,0.092,F,8,0.15,F,8,0,1,D,9,0,C,8,268.5617346
1/1/1995,9:00,265,1415,60,1,28,0,1,31,60,1,28,67,1,28,0,1,31,67,1,28,211,1,50,10,E,9,10,E,9,-0.6,E,9,-2.3,E,9,87,A,7,1008,E,9,0,E,9,0,E,9,16100,C,8,77777,E,9,1,E,8,0.092,F,8,0.15,F,8,0,1,D,9,0,C,8,269.2739991
1/1/1995,10:00,432,1415,263,1,28,719,1,31,43,1,28,278,1,28,649,1,31,79,1,28,100,1,50,1,E,9,1,E,9,2.2,E,9,-1.7,E,9,74,A,7,1008,E,9,220,E,9,2.1,E,9,16100,C,8,77777,E,9,1,E,8,0.092,F,8,0.15,F,8,0,1,D,9,0,C,8,272.9540441
