725075,NORTH ADAMS,MA,-5,42.7,-73.167,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2001,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6,A,7,-9,A,7,77,A,7,986,A,7,270,A,7,7.2,A,7,6400,B,7,1170,A,7,0.8,E,8,0.086,F,8,0.33,F,8,0,1,D,9,0,C,8,267
1/1/2001,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6,A,7,-11,A,7,64,A,7,987,A,7,250,A,7,7.7,A,7,16100,B,7,1170,A,7,0.8,E,8,0.086,F,8,0.33,F,8,0,1,D,9,0,C,8,268.2592651
1/1/2001,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6,A,7,-11,A,7,64,A,7,988,A,7,260,A,7,7.7,A,7,14500,B,7,1050,A,7,0.8,E,8,0.086,F,8,0.33,F,8,0,1,D,9,0,C,8,267.0665285
1/1/2001,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6,A,7,-11,A,7,64,A,7,989,A,7,260,A,7,6.7,A,7,16100,B,7,1050,A,7,0.8,E,8,0.086,F,8,0.33,F,8,0,1,D,9,0,C,8,267.2169338
1/1/2001,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6,A,7,-12,A,7,59,A,7,990,A,7,270,A,7,7.2,A,7,16100,B,7,990,A,7,0.8,E,8,0.086,F,8,0.33,F,8,0,1,D,9,0,C,8,267.3262783
1/1/2001,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-7,A,7,-12,A,7,64,A,7,991,A,7,260,A,7,7.7,A,7,16100,B,7,990,A,7,0.8,E,8,0.086,F,8,0.33,F,8,0,1,D,9,0,C,8,266.6093573
1/1/2001,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-7.9,B,8,-12.9,B,8,64,A,7,992,B,8,260,B,8,6.9,B,8,16100,C,8,945,B,8,0.8,E,8,0.086,F,8,0.33,F,8,0,1,D,9,0,C,8,264.9517833
1/1/2001,8:00,35,837,2,2,9,72,2,21,2,2,9,6,2,9,40,2,21,4,2,9,8,2,25,10,B,8,10,B,8,-8.1,B,8,-13,B,8,65,A,7,993,B,8,270,B,8,6.1,B,8,16100,C,8,900,B,8,0.8,E,8,0.086,F,8,0.33,F,8,0,1,D,9,0,C,8,264.3832165
1/1/2001,9:00,221,1415,135,2,9,308,2,21,87,2,9,138,2,9,199,2,21,107,2,9,182,2,25,10,B,8,10,B,8,-7.7,B,8,-13,B,8,62,A,7,994,B,8,270,B,8,5.4,B,8,16100,C,8,855,B,8,0.8,E,8,0.086,F,8,0.33,F,8,0,1,D,9,0,C,8,264.5067348
1/1/2001,10:00,393,1415,237,2,9,447,2,21,112,2,9,242,2,9,384,2,21,135,2,9,213,2,25,10,E,9,10,E,9,-7,A,7,-13,A,7,59,A,7,995,A,7,270,A,7,4.6,A,7,16100,B,7,810,A,7,0.8,E,8,0.086,F,8,0.33,F,8,0,1,D,9,0,C,8,265.2431824
