725095,WORCHESTER REGIONAL ARPT,MA,-5,42.267,-71.883,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1976,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-1.7,A,7,-7.8,A,7,63,A,7,971,A,7,40,A,7,4.6,A,7,24100,B,7,3050,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,271.3
1/1/1976,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-2.1,B,8,-8,B,8,65,B,8,970,B,8,40,B,8,4.3,B,8,24100,C,8,3050,B,8,0.7,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,270.1983252
1/1/1976,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-2.4,B,8,-7.9,B,8,67,B,8,970,B,8,50,B,8,3.9,B,8,24100,C,8,3050,B,8,0.7,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,269.8253189
1/1/1976,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-2.8,A,7,-7.8,A,7,69,A,7,970,A,7,50,A,7,3.6,A,7,24100,B,7,3050,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,269.4607211
1/1/1976,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-3,B,8,-8.2,B,8,69,B,8,970,B,8,40,B,8,3.4,B,8,24100,C,8,3050,B,8,0.7,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,269.1409401
1/1/1976,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-3.1,B,8,-8,B,8,69,B,8,971,B,8,40,B,8,3.3,B,8,24100,C,8,3050,B,8,0.7,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,268.9114364
1/1/1976,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-3.3,A,7,-8.3,A,7,69,A,7,971,A,7,30,A,7,3.1,A,7,24100,B,7,3050,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,268.7165515
1/1/1976,8:00,50,979,15,1,13,15,1,13,14,1,18,17,1,13,6,1,13,16,1,18,29,1,26,8,B,8,8,B,8,-2.6,B,8,-8.3,B,8,65,B,8,972,B,8,20,B,8,3.3,B,8,24100,C,8,77777,B,8,0.7,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,268.7846457
1/1/1976,9:00,245,1415,133,1,18,377,1,18,68,1,25,136,1,18,263,1,18,91,1,25,126,1,36,6,B,8,5,B,8,-1.8,B,8,-8.2,B,8,62,B,8,974,B,8,10,B,8,3.4,B,8,24100,C,8,77777,B,8,0.7,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,269.4575589
1/1/1976,10:00,414,1415,207,1,13,430,1,13,80,1,18,220,1,13,378,1,13,109,1,18,146,1,26,4,A,7,3,A,7,-1.1,A,7,-8.3,A,7,58,A,7,975,A,7,360,A,7,3.6,A,7,24100,B,7,77777,A,7,0.7,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,270.9316044
1/1/1976,11:00,530,1415,349,1,9,682,1,13,92,1,18,362,1,9,637,1,13,122,1,18,178,1,24,3,B,8,2,B,8,-0.9,B,8,-8.4,B,8,56,B,8,975,B,8,350,B,8,4.5,B,8,26800,C,8,77777,B,8,0.6,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,273.6725928
1/1/1976,12:00,585,1415,410,1,9,786,1,13,83,1,18,420,1,9,745,1,13,111,1,18,160,1,24,1,B,8,1,B,8,-0.8,B,8,-8.7,B,8,53,B,8,975,B,8,340,B,8,5.3,B,8,29500,C,8,77777,B,8,0.6,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,277.1125581
1/1/1976,13:00,575,1415,407,1,9,837,1,13,66,1,18,428,1,9,800,1,13,102,1,18,139,1,24,0,A,7,0,A,7,-0.6,A,7,-9.4,A,7,51,A,7,975,A,7,330,A,7,6.2,A,7,32200,B,7,77777,A,7,0.6,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,280.2281125
1/1/1976,14:00,501,1415,328,1,9,704,1,13,78,1,18,343,1,9,653,1,13,111,1,18,152,1,24,2,B,8,1,B,8,-1,B,8,-9.2,B,8,52,B,8,975,B,8,340,B,8,5.5,B,8,37566,C,8,77777,B,8,0.6,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,281.2487699
1/1/1976,15:00,368,1415,209,1,18,417,1,18,100,1,25,215,1,18,349,1,18,123,1,25,188,1,36,3,B,8,3,B,8,-1.3,B,8,-9.4,B,8,52,B,8,976,B,8,350,B,8,4.8,B,8,42933,C,8,77777,B,8,0.6,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,279.2923838
1/1/1976,16:00,185,1415,80,1,13,171,1,13,58,1,18,84,1,13,99,1,13,70,1,18,113,1,26,5,A,7,4,A,7,-1.7,A,7,-10,A,7,53,A,7,976,A,7,360,A,7,4.1,A,7,48300,B,7,77777,A,7,0.6,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,275.8871321
1/1/1976,17:00,16,554,12,1,18,45,1,18,8,1,25,0,1,18,0,1,18,0,1,25,0,1,36,3,B,8,3,B,8,-2.6,B,8,-11.2,B,8,51,B,8,977,B,8,350,B,8,4.8,B,8,40233,C,8,77777,B,8,0.6,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,272.6987672
1/1/1976,18:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,B,8,1,B,8,-3.5,B,8,-12.8,B,8,48,B,8,978,B,8,350,B,8,5.5,B,8,32166,C,8,77777,B,8,0.5,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,270.2488513
1/1/1976,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-4.4,A,7,-14.4,A,7,46,A,7,979,A,7,340,A,7,6.2,A,7,24100,B,7,77777,A,7,0.5,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,268.069584
1/1/1976,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-5.7,B,8,-14.8,B,8,48,B,8,980,B,8,340,B,8,6.4,B,8,24100,C,8,77777,B,8,0.5,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,267.3127958
1/1/1976,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-7,B,8,-15.6,B,8,49,B,8,981,B,8,340,B,8,6.5,B,8,24100,C,8,77777,B,8,0.5,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,266.0356414
1/1/1976,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-8.3,A,7,-16.7,A,7,51,A,7,982,A,7,340,A,7,6.7,A,7,24100,B,7,77777,A,7,0.4,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,264.6969563
1/1/1976,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-8.9,B,8,-16.9,B,8,53,B,8,982,B,8,340,B,8,7,B,8,24100,C,8,77777,B,8,0.4,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,264.0675492
1/1/1976,24:00:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,B,8,0,B,8,-9.4,B,8,-17.1,B,8,54,B,8,982,B,8,330,B,8,7.4,B,8,24100,C,8,77777,B,8,0.4,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,263.6490223
1/2/1976,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-10,A,7,-17.2,A,7,56,A,7,982,A,7,330,A,7,7.7,A,7,24100,B,7,77777,A,7,0.4,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,263.1830297
