725098,NORWOOD MEMORIAL,MA,-5,42.183,-71.183,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-10,A,7,-12,A,7,84,A,7,1020,A,7,0,A,7,0,A,7,14500,B,7,77777,A,7,0.9,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,263
1/1/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-10,A,7,-12,A,7,84,A,7,1021,A,7,180,A,7,2.1,A,7,12900,B,7,77777,A,7,0.9,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,262.445499
1/1/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-9,A,7,-11,A,7,84,A,7,1021,A,7,0,A,7,0,A,7,11300,B,7,1500,A,7,0.9,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,262.4599623
1/1/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-9,A,7,-10,A,7,92,A,7,1021,A,7,0,A,7,0,A,7,11300,B,7,77777,A,7,0.9,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,262.6528011
1/1/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-10,A,7,-12,A,7,84,A,7,1021,A,7,0,A,7,0,A,7,11300,B,7,77777,A,7,0.9,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,262.4428169
1/1/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,-10,A,7,-11,A,7,91,A,7,1022,A,7,140,A,7,1.5,A,7,11300,B,7,77777,A,7,0.8,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,262.1511026
1/1/2000,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,-9,A,7,-11,A,7,84,A,7,1022,A,7,0,A,7,0,A,7,12900,B,7,77777,A,7,0.8,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,262.3165152
1/1/2000,8:00,58,1049,11,2,9,161,2,21,5,2,9,16,2,9,94,2,21,10,2,9,17,2,25,8,E,9,8,E,9,-8,A,7,-10,A,7,84,A,7,1023,A,7,0,A,7,0,A,7,11300,B,7,1320,A,7,0.8,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,263.1627289
1/1/2000,9:00,255,1415,151,2,9,455,2,21,68,2,9,154,2,9,324,2,21,95,2,9,126,2,25,8,E,9,8,E,9,-4,A,7,-6,A,7,84,A,7,1023,A,7,0,A,7,0,A,7,11300,B,7,1260,A,7,0.8,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,265.3571148
1/1/2000,10:00,422,1415,274,2,9,612,2,21,90,2,9,279,2,9,533,2,21,119,2,9,161,2,25,3,E,9,2,E,9,-1,A,7,-3,A,7,85,A,7,1023,A,7,0,A,7,0,A,7,14500,B,7,77777,A,7,0.8,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,269.3206957
1/1/2000,11:00,536,1415,357,2,9,689,2,21,94,2,9,370,2,9,645,2,21,124,2,9,182,2,25,1,E,9,1,E,9,4,A,7,-1,A,7,69,A,7,1022,A,7,240,A,7,2.6,A,7,12900,B,7,77777,A,7,0.8,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,275.29527
1/1/2000,12:00,588,1415,402,2,9,717,2,21,103,2,9,418,2,9,684,2,21,133,2,9,204,2,25,0,E,9,0,E,9,7,A,7,-2,A,7,52,A,7,1021,A,7,240,A,7,4.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,281.5591694
1/1/2000,13:00,576,1415,376,2,9,644,2,21,112,2,9,387,2,9,609,2,21,138,2,9,216,2,25,1,E,9,1,E,9,8,A,7,-1,A,7,52,A,7,1020,A,7,220,A,7,4.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,285.0564085
1/1/2000,14:00,498,1415,303,2,9,518,2,21,119,2,9,316,2,9,481,2,21,146,2,9,228,2,25,1,E,9,1,E,9,9,A,7,-1,A,7,49,A,7,1019,A,7,240,A,7,8.2,A,7,16100,B,7,77777,A,7,0.7,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,286.395054
1/1/2000,15:00,362,1415,217,2,9,573,2,21,70,2,9,223,2,9,478,2,21,99,2,9,126,2,25,0,E,9,0,E,9,8,A,7,1,A,7,61,A,7,1020,A,7,250,A,7,8.2,A,7,14500,B,7,77777,A,7,0.7,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,287.1810732
1/1/2000,16:00,178,1415,81,2,9,341,2,21,38,2,9,82,2,9,211,2,21,55,2,9,66,2,25,0,E,9,0,E,9,8,A,7,2,A,7,66,A,7,1020,A,7,240,A,7,5.1,A,7,11300,B,7,77777,A,7,0.7,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,286.2684329
1/1/2000,17:00,13,507,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,B,8,0,B,8,7.1,B,8,2.3,B,8,71,A,7,1021,B,8,240,B,8,4.4,B,8,16100,B,7,77777,A,7,0.8,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,282.8010956
1/1/2000,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6,A,7,3,A,7,81,A,7,1021,A,7,230,A,7,3.6,A,7,12900,B,7,77777,A,7,0.8,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,279.9060259
1/1/2000,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,4,A,7,3,A,7,93,A,7,1021,A,7,220,A,7,3.6,A,7,11300,B,7,77777,A,7,0.8,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,277.9884637
1/1/2000,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,4,A,7,3,A,7,93,A,7,1021,A,7,230,A,7,2.6,A,7,11300,B,7,77777,A,7,0.8,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,276.7778306
1/1/2000,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,0,E,9,4,A,7,3,A,7,93,A,7,1021,A,7,240,A,7,2.6,A,7,11300,B,7,77777,A,7,0.8,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,276.2117105
1/1/2000,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,4,A,7,3,A,7,93,A,7,1021,A,7,240,A,7,2.6,A,7,9700,B,7,77777,A,7,0.8,E,8,0.094,F,8,0.15,F,8,0,1,D,9,10,C,8,275.9193466
1/1/2000,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-1,A,7,-1,A,7,100,A,7,1021,A,7,140,A,7,1.5,A,7,400,B,7,15,A,7,0.8,E,8,0.094,F,8,0.15,F,8,0,1,D,9,49,C,8,274.2411668
1/1/2000,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-2,A,7,-3,A,7,92,A,7,1021,A,7,0,A,7,0,A,7,400,B,7,15,A,7,0.8,E,8,0.094,F,8,0.15,F,8,0,1,D,9,49,C,8,272.1673961
1/2/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2,A,7,-2,A,7,100,A,7,1021,A,7,0,A,7,0,A,7,400,B,7,270,A,7,0.8,E,8,0.094,F,8,0.15,F,8,0,1,D,9,48,C,8,271.0202114
1/2/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3,A,7,-3,A,7,100,A,7,1021,A,7,0,A,7,0,A,7,400,B,7,270,A,7,0.9,E,8,0.094,F,8,0.15,F,8,0,1,D,9,48,C,8,270.1589003
1/2/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3,A,7,-3,A,7,100,A,7,1021,A,7,0,A,7,0,A,7,400,B,7,270,A,7,0.9,E,8,0.094,F,8,0.15,F,8,0,1,D,9,48,C,8,269.4920983
1/2/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3,A,7,-3,A,7,100,A,7,1021,A,7,0,A,7,0,A,7,400,B,7,270,A,7,0.9,E,8,0.094,F,8,0.15,F,8,0,1,D,9,48,C,8,269.1214085
1/2/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-2.1,B,8,91,A,7,1021,A,7,0,A,7,0,A,7,800,B,7,60,A,7,1,E,8,0.094,F,8,0.15,F,8,0,1,D,9,10,C,8,269.591412
1/2/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0,A,7,-1,B,8,92,A,7,1021,A,7,0,A,7,0,A,7,4000,B,7,2100,A,7,1,E,8,0.094,F,8,0.15,F,8,0,1,D,9,10,C,8,270.5425026
1/2/2000,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,7,E,9,1,A,7,-0.3,B,8,91,A,7,1021,A,7,0,A,7,0,A,7,3200,B,7,77777,A,7,1.1,E,8,0.094,F,8,0.15,F,8,0,1,D,9,10,C,8,271.5144107
1/2/2000,8:00,58,1049,6,2,9,31,2,21,5,2,9,8,2,9,12,2,21,7,2,9,8,2,25,8,E,9,7,E,9,1,A,7,1,A,7,100,A,7,1021,A,7,0,A,7,0,A,7,2800,B,7,77777,A,7,1.1,E,8,0.094,F,8,0.15,F,8,0,1,D,9,10,C,8,272.1770957
1/2/2000,9:00,255,1415,92,2,9,88,2,21,76,2,9,99,2,9,66,2,21,87,2,9,163,2,25,10,E,9,10,E,9,3,A,7,3,A,7,100,A,7,1021,A,7,0,A,7,0,A,7,2800,B,7,2400,A,7,1.1,E,8,0.094,F,8,0.15,F,8,3,1,D,9,10,C,8,272.9981575
1/2/2000,10:00,423,1415,55,2,9,0,2,21,55,2,9,65,2,9,0,2,21,65,2,9,232,2,25,10,E,9,10,E,9,5,A,7,5,A,7,100,A,7,1020,A,7,0,A,7,0,A,7,6400,B,7,2100,A,7,1.2,E,8,0.094,F,8,0.15,F,8,0,1,D,9,61,C,8,274.3656185
1/2/2000,11:00,537,1415,57,2,9,0,2,21,57,2,9,69,2,9,0,2,21,69,2,9,258,2,25,10,E,9,10,E,9,12,A,7,7,A,7,71,A,7,1019,A,7,150,A,7,1.5,A,7,6400,B,7,1290,A,7,1.2,E,8,0.094,F,8,0.15,F,8,0,1,D,9,10,C,8,278.0442199
1/2/2000,12:00,590,1415,79,2,9,0,2,21,79,2,9,95,2,9,0,2,21,95,2,9,354,2,25,10,E,9,10,E,9,10,A,7,9,A,7,93,A,7,1017,A,7,0,A,7,0,A,7,6400,B,7,2100,A,7,1.3,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,280.0823299
1/2/2000,13:00,578,1415,147,2,9,6,2,21,144,2,9,167,2,9,4,2,21,165,2,9,565,2,25,9,E,9,8,E,9,21,A,7,8,A,7,43,A,7,1016,A,7,230,A,7,5.1,A,7,16100,B,7,1500,A,7,1.3,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,284.6727322
1/2/2000,14:00,501,1415,79,2,9,0,2,21,79,2,9,93,2,9,0,2,21,93,2,9,334,2,25,10,E,9,10,E,9,20,A,7,8,A,7,46,A,7,1016,A,7,220,A,7,6.2,A,7,16100,B,7,1380,A,7,1.4,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,288.3879246
1/2/2000,15:00,365,1415,78,2,9,0,2,21,78,2,9,89,2,9,0,2,21,89,2,9,291,2,25,6,E,9,3,E,9,23,A,7,9,A,7,41,A,7,1015,A,7,220,A,7,5.1,A,7,16100,B,7,77777,A,7,1.4,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,290.8563892
1/2/2000,16:00,181,1415,69,2,9,98,2,21,56,2,9,74,2,9,61,2,21,66,2,9,118,2,25,5,E,9,3,E,9,23,A,7,9,A,7,41,A,7,1015,A,7,190,A,7,5.1,A,7,16100,B,7,77777,A,7,1.5,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,293.170355
1/2/2000,17:00,14,531,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,7,B,8,3,B,8,22.5,B,8,8.8,B,8,42,A,7,1014,B,8,190,B,8,4.1,B,8,16100,C,8,77777,B,8,1.5,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,293.9115649
1/2/2000,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,4,E,9,22,B,8,9.1,B,8,44,A,7,1014,B,8,190,A,7,3.1,A,7,16100,B,7,77777,A,7,1.6,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,293.7020622
1/2/2000,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,21.6,B,8,9.1,B,8,45,A,7,1014,B,8,210,A,7,4.1,A,7,16100,B,7,77777,A,7,1.7,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,293.3758047
1/2/2000,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,4,E,9,21.3,B,8,8.6,B,8,44,A,7,1013,B,8,210,A,7,4.1,A,7,16100,B,7,77777,A,7,1.7,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,293.0471252
1/2/2000,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,3,E,9,20.8,B,8,8.1,B,8,44,A,7,1013,B,8,210,A,7,4.6,A,7,16100,B,7,77777,A,7,1.8,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,292.6722951
1/2/2000,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,21,A,7,8,A,7,43,A,7,1013,A,7,210,A,7,3.6,A,7,16100,B,7,3300,A,7,1.9,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,292.4646182
1/2/2000,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,3,E,9,21,A,7,8,A,7,43,A,7,1012,A,7,220,A,7,4.6,A,7,16100,B,7,77777,A,7,1.9,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,292.407645
1/2/2000,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,4,E,9,22,A,7,8,A,7,41,A,7,1012,A,7,220,A,7,3.1,A,7,16100,B,7,77777,A,7,2,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,292.7289103
1/3/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,22,A,7,8,A,7,41,A,7,1011,A,7,220,A,7,3.6,A,7,16100,B,7,77777,A,7,2,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,293.0695527
1/3/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,19.7,B,8,7.2,B,8,44,A,7,1011,B,8,220,A,7,4.6,A,7,16100,B,7,77777,A,7,2,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,291.3296449
1/3/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,7,E,9,16.9,B,8,5.9,B,8,48,A,7,1011,B,8,230,A,7,4.6,A,7,16100,B,7,77777,A,7,1.9,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,289.9207809
1/3/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,E,9,16.6,B,8,5.1,B,8,47,A,7,1011,B,8,230,A,7,5.1,A,7,16100,B,7,3000,A,7,1.9,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,288.2009911
1/3/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,5,E,9,16.3,B,8,4.8,B,8,46,A,7,1011,B,8,230,A,7,4.6,A,7,16100,B,7,77777,A,7,1.8,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,288.0137391
1/3/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,6,E,9,15,B,8,4.5,B,8,49,A,7,1012,B,8,230,A,7,5.1,A,7,16100,B,7,77777,A,7,1.8,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,287.7295653
1/3/2000,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,7,E,9,12.2,B,8,4,B,8,57,A,7,1012,B,8,240,A,7,5.7,A,7,16100,B,7,77777,A,7,1.7,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,285.854956
1/3/2000,8:00,58,1049,5,2,9,0,2,21,5,2,9,6,2,9,0,2,21,6,2,9,20,2,25,8,B,8,6,B,8,10.4,B,8,4.4,B,8,66,A,7,1012,B,8,250,B,8,4.9,B,8,14500,C,8,77777,B,8,1.7,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,283.2772243
1/3/2000,9:00,256,1415,75,2,9,0,2,21,75,2,9,82,2,9,0,2,21,82,2,9,239,2,25,7,E,9,6,E,9,13.1,B,8,4.1,B,8,54,A,7,1012,B,8,250,A,7,4.1,A,7,12900,B,7,77777,A,7,1.6,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,283.2529453
1/3/2000,10:00,424,1415,144,2,9,50,2,21,129,2,9,158,2,9,46,2,21,144,2,9,332,2,25,7,E,9,6,E,9,11.3,B,8,4.8,B,8,64,A,7,1012,B,8,240,A,7,4.1,A,7,16100,B,7,77777,A,7,1.6,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,282.8985895
1/3/2000,11:00,539,1415,249,2,9,177,2,21,181,2,9,268,2,9,172,2,21,203,2,9,420,2,25,7,E,9,6,E,9,14,B,8,5.5,B,8,57,A,7,1013,B,8,240,A,7,3.1,A,7,16100,B,7,77777,A,7,1.5,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,283.724924
1/3/2000,12:00,592,1415,305,2,9,271,2,21,191,2,9,321,2,9,270,2,21,208,2,9,419,2,25,10,E,9,10,E,9,12.2,B,8,6.2,B,8,67,A,7,1013,B,8,280,A,7,3.1,A,7,16100,B,7,2700,A,7,1.5,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,284.9241743
1/3/2000,13:00,580,1415,182,2,9,90,2,21,145,2,9,200,2,9,89,2,21,163,2,9,342,2,25,8,E,9,6,E,9,21.4,B,8,6.9,B,8,39,A,7,1013,B,8,290,A,7,3.6,A,7,16100,B,7,77777,A,7,1.4,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,288.2261554
1/3/2000,14:00,504,1415,331,2,9,471,2,21,163,2,9,336,2,9,436,2,21,180,2,9,326,2,25,7,E,9,6,E,9,18.9,B,8,6.3,B,8,44,A,7,1013,B,8,260,A,7,4.1,A,7,16100,B,7,77777,A,7,1.5,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,292.498778
1/3/2000,15:00,369,1415,93,2,9,6,2,21,92,2,9,105,2,9,3,2,21,104,2,9,328,2,25,8,E,9,7,E,9,18.3,B,8,6.4,B,8,46,A,7,1013,B,8,330,A,7,4.6,A,7,16100,B,7,77777,A,7,1.7,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,290.8406542
1/3/2000,16:00,184,1415,37,2,9,0,2,21,37,2,9,42,2,9,0,2,21,42,2,9,130,2,25,9,E,9,8,E,9,16,A,7,6,A,7,51,A,7,1014,B,8,310,A,7,3.1,A,7,16100,B,7,77777,A,7,1.8,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,287.8705165
1/3/2000,17:00,15,554,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,12,A,7,7,A,7,71,A,7,1014,B,8,0,A,7,0,A,7,16100,B,7,2100,A,7,1.9,E,8,0.094,F,8,0.15,F,8,3,1,D,9,61,C,8,285.6478962
1/3/2000,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,12,A,7,6,A,7,67,A,7,1014,B,8,70,A,7,6.2,A,7,16100,B,7,1800,A,7,2,E,8,0.094,F,8,0.15,F,8,0,1,D,9,61,C,8,284.7541405
1/3/2000,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,9,A,7,5,A,7,76,A,7,1014,B,8,80,A,7,5.1,A,7,16100,B,7,1800,A,7,2.2,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,282.6570877
1/3/2000,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,14,A,7,5,A,7,55,A,7,1014,B,8,60,A,7,3.6,A,7,16100,B,7,1800,A,7,2.3,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,283.2183346
1/3/2000,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,15,A,7,5,A,7,51,A,7,1015,B,8,70,A,7,3.6,A,7,16100,B,7,1350,A,7,2.4,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,284.8654738
1/3/2000,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,15,A,7,4,A,7,48,A,7,1015,B,8,60,A,7,4.1,A,7,16100,B,7,1050,A,7,2.5,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,285.7563348
1/3/2000,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,14,A,7,4,A,7,51,A,7,1015,B,8,80,A,7,4.6,A,7,16100,B,7,960,A,7,2.7,E,8,0.094,F,8,0.15,F,8,0,1,D,9,0,C,8,285.8054417
1/3/2000,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,13,A,7,4,A,7,54,A,7,1015,B,8,70,A,7,3.6,A,7,16100,B,7,510,A,7,2.8,E,8,0.094,F,8,0.15,F,8,5,1,D,9,0,C,8,285.3216479
1/4/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,15,A,7,5,A,7,51,A,7,1016,B,8,80,A,7,4.6,A,7,14500,B,7,390,A,7,2.9,E,8,0.094,F,8,0.15,F,8,3,1,D,9,61,C,8,285.5591792
