725117,WASHINGTON (AWOS),PA,-5,40.133,-80.283,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2001,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2.7,E,9,0.5,E,9,85,A,7,971,E,9,90,E,9,0.3,E,9,16100,C,8,4612,E,9,0.8,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8,275.7
1/1/2001,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2.7,E,9,-0.6,E,9,78,A,7,971,E,9,90,E,9,0.4,E,9,16100,C,8,3263,E,9,0.8,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8,275.0211445
1/1/2001,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1.1,E,9,-2.8,E,9,73,A,7,971,E,9,90,E,9,2.6,E,9,16100,C,8,1914,E,9,0.7,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8,274.1065609
1/1/2001,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1.1,E,9,-3.4,E,9,70,A,7,971,E,9,80,E,9,0.2,E,9,16100,C,8,1050,E,9,0.7,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8,273.4213817
1/1/2001,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0.5,E,9,-3.9,E,9,70,A,7,971,E,9,100,E,9,2.9,E,9,16100,C,8,960,E,9,0.7,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8,272.925009
1/1/2001,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0,E,9,-4.5,E,9,69,A,7,971,E,9,0,E,9,0,E,9,16100,C,8,870,E,9,0.7,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8,272.4137651
1/1/2001,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,E,9,0,E,9,-4.5,E,9,69,A,7,971,E,9,110,E,9,1.2,E,9,16100,C,8,780,E,9,0.6,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8,272.0559341
1/1/2001,8:00,6,342,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,9,E,9,9,E,9,-0.6,E,9,-4.5,E,9,72,A,7,971,E,9,0,E,9,0,E,9,16100,C,8,690,E,9,0.6,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8,271.6945743
1/1/2001,9:00,164,1415,60,2,9,32,2,21,56,2,9,65,2,9,22,2,21,63,2,9,123,2,25,9,E,9,9,E,9,-1.2,E,9,-6.2,E,9,65,A,7,971,E,9,0,E,9,0,E,9,16100,C,8,600,E,9,0.6,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8,271.0709708
1/1/2001,10:00,364,1415,228,2,9,359,2,21,135,2,9,235,2,9,303,2,21,156,2,9,287,2,25,9,E,9,9,E,9,-1.2,E,9,-6.7,E,9,63,A,7,971,E,9,130,E,9,3.1,E,9,16100,C,8,778,E,9,0.6,E,8,0.094,F,8,0.18,F,8,0,1,D,9,0,C,8,270.9032505
