725197,UTICA ONEIDA COUNTY AP,NY,-5,43.15,-75.383,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2001,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6,A,7,-7,A,7,92,A,7,988,A,7,280,A,7,3.6,A,7,2400,B,7,274,A,7,0.8,E,8,0.071,F,8,0.37,F,8,0,1,D,9,10,C,8,267
1/1/2001,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6,A,7,-7,A,7,92,A,7,989,A,7,290,A,7,3.6,A,7,3200,B,7,2865,A,7,0.8,E,8,0.071,F,8,0.37,F,8,0,1,D,9,10,C,8,266.4164876
1/1/2001,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-7,A,7,-9,A,7,84,A,7,990,A,7,300,A,7,4.1,A,7,4000,B,7,6218,A,7,0.8,E,8,0.071,F,8,0.37,F,8,0,1,D,9,10,C,8,265.5368841
1/1/2001,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-7,A,7,-9,A,7,84,A,7,991,A,7,320,A,7,4.1,A,7,6400,B,7,9876,A,7,0.8,E,8,0.071,F,8,0.37,F,8,0,1,D,9,10,C,8,265.1774305
1/1/2001,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-7,A,7,-9,A,7,84,A,7,991,A,7,300,A,7,4.1,A,7,6400,B,7,3780,A,7,0.7,E,8,0.071,F,8,0.37,F,8,0,1,D,9,10,C,8,264.991471
1/1/2001,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-8,A,7,-10,A,7,84,A,7,992,A,7,290,A,7,2.6,A,7,6400,B,7,2256,A,7,0.7,E,8,0.071,F,8,0.37,F,8,0,1,D,9,10,C,8,264.6075329
1/1/2001,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-9,A,7,-10,A,7,92,A,7,993,A,7,300,A,7,3.6,A,7,6400,B,7,7437,A,7,0.7,E,8,0.071,F,8,0.37,F,8,0,1,D,9,10,C,8,264.0351246
1/1/2001,8:00,17,578,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,8,E,9,8,E,9,-10,A,7,-12,A,7,84,A,7,993,A,7,300,A,7,3.6,A,7,16000,B,7,10790,A,7,0.7,E,8,0.071,F,8,0.37,F,8,0,1,D,9,0,C,8,263.0663075
1/1/2001,9:00,185,1415,111,2,9,280,2,21,74,2,9,113,2,9,162,2,21,91,2,9,154,2,25,8,E,9,8,E,9,-10,A,7,-13,A,7,76,A,7,995,A,7,280,A,7,3.6,A,7,24000,B,7,12314,A,7,0.7,E,8,0.071,F,8,0.37,F,8,0,1,D,9,0,C,8,262.6895879
1/1/2001,10:00,362,1415,193,2,9,318,2,21,111,2,9,202,2,9,269,2,21,133,2,9,224,2,25,8,E,9,8,E,9,-10,A,7,-13,A,7,76,A,7,996,A,7,320,A,7,4.1,A,7,32000,B,7,11704,A,7,0.6,E,8,0.071,F,8,0.37,F,8,0,1,D,9,85,C,8,262.568071
1/1/2001,11:00,491,1415,117,2,9,0,2,21,117,2,9,133,2,9,0,2,21,133,2,9,448,2,25,8,E,9,8,E,9,-9,A,7,-12,A,7,77,A,7,996,A,7,310,A,7,3.6,A,7,32000,B,7,10790,A,7,0.6,E,8,0.071,F,8,0.37,F,8,0,1,D,9,16,C,8,262.3890099
1/1/2001,12:00,560,1415,395,2,9,550,2,21,176,2,9,402,2,9,524,2,21,194,2,9,357,2,25,8,E,9,8,E,9,-8,A,7,-12,A,7,70,A,7,996,A,7,290,A,7,4.1,A,7,16000,B,7,2438,A,7,0.6,E,8,0.071,F,8,0.37,F,8,0,1,D,9,16,C,8,264.7718153
1/1/2001,13:00,566,1415,356,2,9,497,2,21,157,2,9,369,2,9,476,2,21,177,2,9,314,2,25,10,E,9,10,E,9,-8,A,7,-11,A,7,77,A,7,995,A,7,280,A,7,3.6,A,7,9600,B,7,7742,A,7,0.6,E,8,0.071,F,8,0.37,F,8,0,1,D,9,85,C,8,268.0886489
1/1/2001,14:00,508,1415,205,2,9,118,2,21,162,2,9,221,2,9,113,2,21,180,2,9,372,2,25,10,E,9,10,E,9,-8,A,7,-10,A,7,84,A,7,995,A,7,260,A,7,3.6,A,7,8000,B,7,7742,A,7,0.6,E,8,0.071,F,8,0.37,F,8,0,1,D,9,85,C,8,267.5500928
1/1/2001,15:00,389,1415,143,2,9,104,2,21,114,2,9,155,2,9,92,2,21,129,2,9,252,2,25,8,E,9,8,E,9,-7,A,7,-10,A,7,77,A,7,996,A,7,310,A,7,3.6,A,7,11200,B,7,7437,A,7,0.6,E,8,0.071,F,8,0.37,F,8,0,1,D,9,85,C,8,266.3995849
1/1/2001,16:00,220,1415,107,2,9,258,2,21,66,2,9,108,2,9,170,2,21,81,2,9,123,2,25,8,E,9,8,E,9,-7,A,7,-11,A,7,70,A,7,996,A,7,310,A,7,3.6,A,7,32000,B,7,6523,A,7,0.5,E,8,0.071,F,8,0.37,F,8,0,1,D,9,0,C,8,267.2115256
1/1/2001,17:00,36,837,1,2,9,0,2,21,1,2,9,1,2,9,0,2,21,1,2,9,4,2,25,8,E,9,8,E,9,-8,A,7,-11,A,7,77,A,7,996,A,7,310,A,7,2.1,A,7,32000,B,7,6218,A,7,0.5,E,8,0.071,F,8,0.37,F,8,0,1,D,9,0,C,8,266.5000254
1/1/2001,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-10,A,7,-12,A,7,84,A,7,997,A,7,270,A,7,2.6,A,7,16000,B,7,8656,A,7,0.5,E,8,0.071,F,8,0.37,F,8,0,1,D,9,71,C,8,264.4740666
1/1/2001,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,9,E,9,-9,A,7,-11,A,7,84,A,7,996,A,7,270,A,7,2.1,A,7,19200,B,7,7132,A,7,0.5,E,8,0.071,F,8,0.37,F,8,0,1,D,9,71,C,8,263.4352133
1/1/2001,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-10,A,7,-11,A,7,91,A,7,997,A,7,0,A,7,0,A,7,16000,B,7,3780,A,7,0.5,E,8,0.071,F,8,0.37,F,8,0,1,D,9,71,C,8,262.8543658
1/1/2001,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-11,A,7,-12,A,7,91,A,7,997,A,7,0,A,7,0,A,7,16000,B,7,6523,A,7,0.5,E,8,0.071,F,8,0.37,F,8,0,1,D,9,71,C,8,262.0777654
1/1/2001,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-13,A,7,-14,A,7,91,A,7,997,A,7,0,A,7,0,A,7,19200,B,7,4999,A,7,0.5,E,8,0.071,F,8,0.37,F,8,0,1,D,9,71,C,8,260.9143046
1/1/2001,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-11,A,7,-12,A,7,91,A,7,997,A,7,0,A,7,0,A,7,24000,B,7,4694,A,7,0.5,E,8,0.071,F,8,0.37,F,8,0,1,D,9,71,C,8,260.5388476
1/1/2001,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-11,A,7,-13,A,7,84,A,7,997,A,7,260,A,7,1.5,A,7,9600,B,7,1341,A,7,0.5,E,8,0.071,F,8,0.37,F,8,0,1,D,9,0,C,8,260.7048302
