725245,BURKE LAKEFRONT,OH,-5,41.517,-81.683,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2003,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,4,E,9,1,A,7,0,A,7,93,A,7,994,A,7,40,A,7,1.5,A,7,6400,B,7,77777,A,7,1,E,8,0.099,F,8,0.18,F,8,0,1,D,9,10,C,8,274
1/1/2003,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,6,E,9,1,A,7,-1,A,7,86,A,7,994,A,7,60,A,7,4.1,A,7,11300,B,7,77777,A,7,1.2,E,8,0.099,F,8,0.18,F,8,0,1,D,9,0,C,8,273.3518031
1/1/2003,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,4,E,9,1,A,7,-1,A,7,86,A,7,995,A,7,40,A,7,5.7,A,7,16100,B,7,77777,A,7,1.4,E,8,0.099,F,8,0.18,F,8,0,1,D,9,0,C,8,273.0156633
1/1/2003,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,7,E,9,1,A,7,-1,A,7,86,A,7,993,A,7,50,A,7,6.7,A,7,16100,B,7,77777,A,7,1.6,E,8,0.099,F,8,0.18,F,8,0,1,D,9,0,C,8,272.8474096
1/1/2003,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,1,A,7,-2,A,7,79,A,7,994,A,7,60,A,7,5.1,A,7,16100,B,7,570,A,7,1.6,E,8,0.099,F,8,0.18,F,8,0,1,D,9,0,C,8,272.7651091
1/1/2003,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,4,E,9,1,A,7,-2,A,7,79,A,7,992,A,7,50,A,7,10.3,A,7,16100,B,7,77777,A,7,1.6,E,8,0.099,F,8,0.18,F,8,0,1,D,9,0,C,8,275.6732987
1/1/2003,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,1,A,7,-2,A,7,79,A,7,993,A,7,60,A,7,5.7,A,7,16100,B,7,480,A,7,1.7,E,8,0.099,F,8,0.18,F,8,0,1,D,9,0,C,8,272.806759
1/1/2003,8:00,1,130,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,1,A,7,-2,A,7,79,A,7,992,A,7,50,A,7,7.2,A,7,16100,B,7,480,A,7,1.7,E,8,0.099,F,8,0.18,F,8,0,1,D,9,0,C,8,272.7453928
1/1/2003,9:00,124,1415,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,1,A,7,-2,A,7,79,A,7,993,A,7,60,A,7,6.7,A,7,16100,B,7,480,A,7,1.7,E,8,0.099,F,8,0.18,F,8,0,1,D,9,0,C,8,272.7157457
1/1/2003,10:00,322,1415,197,2,9,494,2,21,84,2,9,203,2,9,392,2,21,113,2,9,156,2,25,10,E,9,10,E,9,1,A,7,-2,A,7,79,A,7,994,A,7,50,A,7,6.7,A,7,11300,B,7,1800,A,7,1.7,E,8,0.099,F,8,0.18,F,8,0,1,D,9,61,C,8,273.2142165
