725330,FORT WAYNE INTL AP,IN,-5,41,-85.2,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1976,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,A,7,-1.1,A,7,-4.4,A,7,78,A,7,986,A,7,10,A,7,4.6,A,7,16100,B,7,77777,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,1,C,8,271.9
1/1/1976,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,A,7,-1.7,A,7,-4.4,A,7,82,A,7,986,A,7,20,A,7,4.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,271.0257187
1/1/1976,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,A,7,-2.8,A,7,-5,A,7,85,A,7,988,A,7,340,A,7,3.6,A,7,16100,B,7,77777,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,270.2778946
1/1/1976,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-3.3,A,7,-5,A,7,88,A,7,989,A,7,10,A,7,4.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,269.4971946
1/1/1976,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-2.8,A,7,-4.4,A,7,88,A,7,989,A,7,10,A,7,3.6,A,7,16100,B,7,77777,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,269.2120425
1/1/1976,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-5,A,7,-6.7,A,7,88,A,7,990,A,7,340,A,7,3.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,268.3451288
1/1/1976,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-4.4,A,7,-5.6,A,7,92,A,7,991,A,7,40,A,7,3.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,2,C,8,267.7580377
1/1/1976,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-3.3,A,7,-5,A,7,88,A,7,991,A,7,40,A,7,3.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,267.913173
1/1/1976,9:00,82,1238,38,1,13,208,1,9,20,1,13,35,1,13,99,1,9,28,1,13,36,1,21,0,A,7,0,A,7,-3.3,A,7,-5,A,7,88,A,7,992,A,7,40,A,7,3.1,A,7,8000,B,7,77777,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,5,C,8,268.4777876
1/1/1976,10:00,287,1415,162,1,13,588,1,9,42,1,13,165,1,13,468,1,9,69,1,13,79,1,21,0,A,7,0,A,7,-2.2,A,7,-4.4,A,7,85,A,7,993,A,7,40,A,7,4.1,A,7,8000,B,7,77777,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,5,C,8,269.6206162
