725347,CHICAGO/WAUKEGAN,IL,-6,42.417,-87.867,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2001,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-13,A,7,-14,A,7,91,A,7,1000,A,7,300,A,7,2.6,A,7,16100,B,7,77777,A,7,0.6,E,8,0.083,F,8,0.16,F,8,0,1,D,9,0,C,8,260
1/1/2001,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-13,A,7,-14,A,7,91,A,7,1000,A,7,300,A,7,3.1,A,7,14500,B,7,77777,A,7,0.6,E,8,0.083,F,8,0.16,F,8,0,1,D,9,0,C,8,259.4761374
1/1/2001,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-13,A,7,-14,A,7,91,A,7,1001,A,7,300,A,7,3.1,A,7,14500,B,7,77777,A,7,0.5,E,8,0.083,F,8,0.16,F,8,0,1,D,9,0,C,8,259.190929
1/1/2001,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-13,A,7,-15,A,7,83,A,7,1001,A,7,290,A,7,2.6,A,7,16100,B,7,77777,A,7,0.5,E,8,0.083,F,8,0.16,F,8,0,1,D,9,0,C,8,259.0425372
1/1/2001,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-13,A,7,-15,A,7,83,A,7,1001,A,7,310,A,7,3.1,A,7,16100,B,7,77777,A,7,0.5,E,8,0.083,F,8,0.16,F,8,0,1,D,9,0,C,8,258.9670884
1/1/2001,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-13,A,7,-15,A,7,83,A,7,1002,A,7,320,A,7,3.6,A,7,16100,B,7,77777,A,7,0.5,E,8,0.083,F,8,0.16,F,8,0,1,D,9,0,C,8,258.9291238
1/1/2001,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-13,A,7,-15,A,7,83,A,7,1002,A,7,310,A,7,3.6,A,7,16100,B,7,77777,A,7,0.5,E,8,0.083,F,8,0.16,F,8,0,1,D,9,0,C,8,258.9101151
1/1/2001,8:00,40,884,2,2,9,13,2,21,2,2,9,3,2,9,5,2,21,3,2,9,3,2,25,0,E,9,0,E,9,-13,A,7,-14,A,7,91,A,7,1002,B,8,310,A,7,3.6,A,7,16100,B,7,77777,A,7,0.5,E,8,0.083,F,8,0.16,F,8,0,1,D,9,0,C,8,258.9361918
1/1/2001,9:00,230,1415,89,2,9,49,2,21,81,2,9,97,2,9,38,2,21,91,2,9,182,2,25,0,E,9,0,E,9,-11,A,7,-13,A,7,84,A,7,1003,A,7,320,A,7,3.6,A,7,16100,B,7,77777,A,7,0.4,E,8,0.083,F,8,0.16,F,8,0,1,D,9,0,C,8,259.4284777
1/1/2001,10:00,402,1415,153,2,9,69,2,21,133,2,9,167,2,9,63,2,21,149,2,9,331,2,25,0,E,9,0,E,9,-9,A,7,-12,A,7,77,A,7,1003,A,7,320,A,7,3.6,A,7,16100,B,7,77777,A,7,0.4,E,8,0.083,F,8,0.16,F,8,0,1,D,9,0,C,8,260.4656181
