725360,TOLEDO EXPRESS AIRPORT,OH,-5,41.583,-83.8,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1980,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-2.2,A,7,-2.8,A,7,96,A,7,990,A,7,0,A,7,0,A,7,2400,B,7,120,A,7,0.9,E,8,0,?,0,0,?,0,0,1,D,9,44,C,8,270.8
1/1/1980,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-2.4,B,8,-2.4,B,8,96,B,8,990,B,8,350,B,8,0.5,B,8,2666,C,8,110,B,8,0.9,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,270.136228
1/1/1980,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-2.6,B,8,-2.6,B,8,96,B,8,990,B,8,330,B,8,1,B,8,2933,C,8,100,B,8,0.9,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,269.681996
1/1/1980,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-2.8,A,7,-3.3,A,7,96,A,7,990,A,7,320,A,7,1.5,A,7,3200,B,7,90,A,7,0.9,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,269.3502201
1/1/1980,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-2.8,B,8,-2.8,B,8,95,B,8,990,B,8,290,B,8,1.7,B,8,3466,C,8,100,B,8,0.9,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,269.1450604
1/1/1980,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-2.8,B,8,-3,B,8,93,B,8,990,B,8,270,B,8,1.9,B,8,3733,C,8,110,B,8,0.9,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,269.0430266
1/1/1980,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-2.8,A,7,-3.9,A,7,92,A,7,990,A,7,240,A,7,2.1,A,7,4000,B,7,120,A,7,0.8,E,8,0,?,0,0,?,0,0,1,D,9,10,C,8,268.9929655
1/1/1980,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,B,8,10,B,8,-2.8,B,8,-3.7,B,8,91,B,8,990,B,8,230,B,8,2.1,B,8,4800,C,8,183,B,8,0.8,E,8,0,?,0,0,?,0,0,1,D,9,45,C,8,268.9685531
1/1/1980,9:00,93,1332,28,1,13,1,1,9,27,1,13,30,1,13,0,1,9,30,1,13,86,1,21,10,B,8,10,B,8,-2.8,B,8,-3.9,B,8,89,B,8,990,B,8,230,B,8,2.1,B,8,5600,C,8,247,B,8,0.8,E,8,0,F,8,0,?,0,0,1,D,9,45,C,8,268.8679642
1/1/1980,10:00,295,1415,107,1,13,0,1,9,107,1,13,116,1,13,0,1,9,116,1,13,313,1,21,10,A,7,10,A,7,-2.8,A,7,-4.4,A,7,88,A,7,990,A,7,220,A,7,2.1,A,7,6400,B,7,310,A,7,0.8,E,8,0,F,8,0,?,0,0,1,D,9,45,C,8,268.4792071
