725377,MOUNT CLEMENS SELFRIDGE FLD,MI,-5,42.617,-82.833,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,A,7,3,E,9,-7,A,7,-9,A,7,84,A,7,1004,A,7,220,A,7,4.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.094,F,8,0.17,F,8,0,1,D,9,0,C,8,266
1/1/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,A,7,5,E,9,-7,A,7,-9,A,7,84,A,7,1004,A,7,220,A,7,3.6,A,7,16100,B,7,77777,A,7,0.8,E,8,0.094,F,8,0.17,F,8,0,1,D,9,0,C,8,265.3954102
1/1/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,9,E,9,-6,A,7,-8,A,7,84,A,7,1004,A,7,200,A,7,4.1,A,7,16100,B,7,3000,A,7,0.8,E,8,0.094,F,8,0.17,F,8,0,1,D,9,0,C,8,265.4138638
1/1/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,9,E,9,-5,A,7,-8,A,7,77,A,7,1004,A,7,210,A,7,4.6,A,7,16100,B,7,3000,A,7,0.9,E,8,0.094,F,8,0.17,F,8,0,1,D,9,0,C,8,265.9434464
1/1/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,-4,A,7,-8,A,7,71,A,7,1003,A,7,210,A,7,5.1,A,7,16100,B,7,2700,A,7,0.9,E,8,0.094,F,8,0.17,F,8,0,1,D,9,0,C,8,266.723994
1/1/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,-4,A,7,-8,A,7,71,A,7,1002,A,7,200,A,7,8.7,A,7,16100,B,7,2400,A,7,0.9,E,8,0.094,F,8,0.17,F,8,0,1,D,9,0,C,8,267.2743088
1/1/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,-4,A,7,-9,A,7,65,A,7,1001,A,7,200,A,7,7.7,A,7,16100,B,7,2400,A,7,0.9,E,8,0.094,F,8,0.17,F,8,0,1,D,9,0,C,8,267.5293907
1/1/1998,8:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,-4,A,7,-9,A,7,65,A,7,1000,A,7,180,A,7,7.7,A,7,16100,B,7,2100,A,7,0.9,E,8,0.094,F,8,0.17,F,8,0,1,D,9,0,C,8,267.6504238
1/1/1998,9:00,93,1332,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,9,A,7,9,E,9,-3,A,7,-8,A,7,65,A,7,999,A,7,190,A,7,8.7,A,7,16100,B,7,6000,A,7,0.9,E,8,0.094,F,8,0.17,F,8,0,1,D,9,0,C,8,268.038742
1/1/1998,10:00,289,1415,181,2,9,455,2,21,87,2,9,183,2,9,343,2,21,112,2,9,164,2,25,9,A,7,9,E,9,-2,A,7,-7,A,7,65,A,7,998,A,7,200,A,7,8.7,A,7,16100,B,7,6000,A,7,0.9,E,8,0.094,F,8,0.17,F,8,0,1,D,9,0,C,8,269.1259733
1/1/1998,11:00,444,1415,276,2,9,559,2,21,99,2,9,280,2,9,492,2,21,124,2,9,176,2,25,5,A,7,5,E,9,0,A,7,-6,A,7,60,A,7,997,A,7,210,A,7,11.3,A,7,16100,B,7,77777,A,7,0.9,E,8,0.094,F,8,0.17,F,8,0,1,D,9,0,C,8,271.7357327
1/1/1998,12:00,545,1415,347,2,9,620,2,21,107,2,9,357,2,9,579,2,21,133,2,9,203,2,25,9,A,7,9,E,9,2,A,7,-6,A,7,52,A,7,995,A,7,210,A,7,9.3,A,7,16100,B,7,6600,A,7,0.9,E,8,0.094,F,8,0.17,F,8,0,1,D,9,0,C,8,279.1597716
