725390,LANSING CAPITAL CITY ARPT,MI,-5,42.783,-84.583,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1988,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-6.1,A,7,-8.9,A,7,81,A,7,988,A,7,270,A,7,7.7,A,7,4000,B,7,700,A,7,0.6,E,8,0,?,0,0,?,0,0,1,D,9,85,C,8,266.9
1/1/1988,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-7.2,A,7,-9.4,A,7,84,A,7,989,A,7,260,A,7,7.7,A,7,4000,B,7,460,A,7,0.6,E,8,0,?,0,0,?,0,0,1,D,9,85,C,8,266.1573107
1/1/1988,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-7.8,A,7,-10.6,A,7,81,A,7,989,A,7,260,A,7,12.4,A,7,4000,B,7,580,A,7,0.6,E,8,0,?,0,0,?,0,0,1,D,9,85,C,8,267.5894545
1/1/1988,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-7.8,A,7,-10.6,A,7,81,A,7,990,A,7,260,A,7,8.2,A,7,4000,B,7,460,A,7,0.6,E,8,0,?,0,0,?,0,0,1,D,9,85,C,8,263.1041811
1/1/1988,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-8.3,A,7,-11.7,A,7,77,A,7,990,A,7,250,A,7,10.3,A,7,4000,B,7,700,A,7,0.6,E,8,0,?,0,0,?,0,0,1,D,9,38,C,8,266.8485578
1/1/1988,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-8.3,A,7,-12.2,A,7,74,A,7,991,A,7,250,A,7,10.3,A,7,4000,B,7,700,A,7,0.5,E,8,0,?,0,0,?,0,0,1,D,9,38,C,8,262.7999651
1/1/1988,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-9.4,A,7,-12.2,A,7,81,A,7,991,A,7,250,A,7,6.2,A,7,4000,B,7,520,A,7,0.5,E,8,0,?,0,0,?,0,0,1,D,9,38,C,8,262.8278026
1/1/1988,8:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-10,A,7,-13.9,A,7,74,A,7,992,A,7,250,A,7,9.3,A,7,4800,B,7,550,A,7,0.5,E,8,0,?,0,0,?,0,0,1,D,9,38,C,8,265.1234208
1/1/1988,9:00,69,1167,22,1,13,0,1,9,22,1,13,25,1,13,0,1,9,25,1,13,72,1,21,10,A,7,10,A,7,-10.6,A,7,-14.4,A,7,73,A,7,993,A,7,250,A,7,12.9,A,7,4800,B,7,760,A,7,0.5,E,8,0,F,8,0,?,0,0,1,D,9,38,C,8,260.1340998
1/1/1988,10:00,265,1415,76,1,13,64,1,9,63,1,13,82,1,13,49,1,9,73,1,13,135,1,21,8,A,7,8,A,7,-10.6,A,7,-14.4,A,7,73,A,7,994,A,7,260,A,7,10.3,A,7,8000,B,7,550,A,7,0.5,E,8,0,F,8,0,?,0,0,1,D,9,38,C,8,264.8855786
