725453,ATLANTIC,IA,-6,41.4,-95.05,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,2,A,7,-2,A,7,73,A,7,971,E,9,190,A,7,6.7,A,7,16100,B,7,77777,A,7,1.2,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,275
1/1/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,2,A,7,-2,A,7,73,A,7,971,E,9,190,A,7,7.7,A,7,16100,B,7,77777,A,7,1.2,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,276.7494635
1/1/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,2,A,7,-1,A,7,80,A,7,971,E,9,200,A,7,7.2,A,7,16100,B,7,77777,A,7,1.2,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,273.8873281
1/1/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,3,E,9,2,A,7,-1,A,7,80,A,7,971,E,9,200,A,7,5.1,A,7,16100,B,7,77777,A,7,1.3,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,273.7763892
1/1/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,4,E,9,2,A,7,-1,A,7,80,A,7,971,E,9,190,A,7,5.1,A,7,16100,B,7,77777,A,7,1.3,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,273.7226485
1/1/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,4,E,9,3,A,7,-1,A,7,74,A,7,971,E,9,190,A,7,6.7,A,7,16100,B,7,77777,A,7,1.3,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,274.0284265
1/1/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,3,E,9,3,A,7,-1,A,7,74,A,7,971,E,9,190,A,7,6.2,A,7,16100,B,7,77777,A,7,1.3,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,274.3632364
1/1/1998,8:00,4,271,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,4,E,9,3,E,9,3,A,7,-1,A,7,74,A,7,971,E,9,200,A,7,6.2,A,7,16100,B,7,77777,A,7,1.3,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,274.5184321
1/1/1998,9:00,148,1415,38,2,9,0,2,21,38,2,9,42,2,9,0,2,21,42,2,9,122,2,25,3,E,9,3,E,9,3,A,7,-1,A,7,74,A,7,971,E,9,210,A,7,8.7,A,7,16100,B,7,77777,A,7,1.3,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,274.4567025
1/1/1998,10:00,344,1415,230,2,9,702,2,21,58,2,9,229,2,9,583,2,21,87,2,9,99,2,25,1,E,9,0,E,9,4,A,7,-1,A,7,69,A,7,971,E,9,210,A,7,8.2,A,7,16100,B,7,77777,A,7,1.3,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,276.189024
