725463,CHARLES CITY,IA,-6,43.067,-92.617,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-7,A,7,-9,A,7,84,A,7,973,E,9,170,A,7,8.7,A,7,16100,B,7,77777,A,7,0.6,E,8,0.064,F,8,0.65,F,8,0,1,D,9,0,C,8,266
1/1/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-6,A,7,-9,A,7,77,A,7,973,E,9,170,A,7,6.7,A,7,16100,B,7,77777,A,7,0.7,E,8,0.064,F,8,0.65,F,8,0,1,D,9,0,C,8,267.034251
1/1/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-6,A,7,-8,A,7,84,A,7,973,E,9,160,A,7,4.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.064,F,8,0.65,F,8,0,1,D,9,0,C,8,266.9683233
1/1/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,5,E,9,-4,A,7,-7,A,7,77,A,7,973,E,9,170,A,7,5.7,A,7,16100,B,7,77777,A,7,0.7,E,8,0.064,F,8,0.65,F,8,0,1,D,9,0,C,8,267.0267909
1/1/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,3,E,9,-3,A,7,-6,A,7,77,A,7,973,E,9,180,A,7,6.2,A,7,16100,B,7,77777,A,7,0.7,E,8,0.064,F,8,0.65,F,8,0,1,D,9,0,C,8,267.7550191
1/1/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-2,A,7,-4,A,7,85,A,7,973,E,9,190,A,7,5.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.064,F,8,0.65,F,8,0,1,D,9,0,C,8,268.6273073
1/1/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-2,A,7,-4,A,7,85,A,7,973,E,9,190,A,7,4.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.064,F,8,0.65,F,8,0,1,D,9,0,C,8,269.2166193
1/1/1998,8:00,7,389,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,E,9,-1,A,7,-3,A,7,85,A,7,973,E,9,200,A,7,3.6,A,7,16100,B,7,77777,A,7,0.8,E,8,0.064,F,8,0.65,F,8,0,1,D,9,0,C,8,269.8268007
1/1/1998,9:00,157,1415,35,2,9,0,2,21,35,2,9,39,2,9,0,2,21,39,2,9,118,2,25,0,E,9,0,E,9,1,A,7,-2,A,7,79,A,7,973,E,9,210,A,7,5.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.064,F,8,0.65,F,8,0,1,D,9,0,C,8,270.8821016
1/1/1998,10:00,340,1415,110,2,9,26,2,21,103,2,9,120,2,9,23,2,21,114,2,9,255,2,25,0,E,9,0,E,9,3,A,7,0,A,7,81,A,7,973,E,9,220,A,7,6.2,A,7,16100,B,7,77777,A,7,0.8,E,8,0.064,F,8,0.65,F,8,0,1,D,9,0,C,8,272.2283837
1/1/1998,11:00,477,1415,164,2,9,55,2,21,145,2,9,179,2,9,52,2,21,162,2,9,384,2,25,0,E,9,0,E,9,4,A,7,0,A,7,75,A,7,973,E,9,220,A,7,7.7,A,7,16100,B,7,77777,A,7,0.9,E,8,0.064,F,8,0.65,F,8,0,1,D,9,0,C,8,273.3926952
1/1/1998,12:00,555,1415,317,2,9,345,2,21,181,2,9,333,2,9,339,2,21,200,2,9,393,2,25,0,E,9,0,E,9,4,A,7,1,A,7,81,A,7,973,E,9,220,A,7,7.2,A,7,16100,B,7,77777,A,7,0.9,E,8,0.064,F,8,0.65,F,8,0,1,D,9,0,C,8,275.0822107
1/1/1998,13:00,570,1415,406,2,9,683,2,21,129,2,9,413,2,9,638,2,21,155,2,9,240,2,25,0,E,9,0,E,9,5,A,7,1,A,7,75,A,7,973,E,9,230,A,7,8.7,A,7,16100,B,7,77777,A,7,0.9,E,8,0.064,F,8,0.65,F,8,0,1,D,9,0,C,8,278.1819057
1/1/1998,14:00,521,1415,366,2,9,800,2,21,70,2,9,377,2,9,746,2,21,101,2,9,137,2,25,1,E,9,1,E,9,6,A,7,2,A,7,75,A,7,973,E,9,220,A,7,7.2,A,7,16100,B,7,77777,A,7,0.9,E,8,0.064,F,8,0.65,F,8,0,1,D,9,0,C,8,283.0458979
1/1/1998,15:00,411,1415,269,2,9,726,2,21,57,2,9,276,2,9,641,2,21,88,2,9,109,2,25,0,E,9,0,E,9,6,A,7,2,A,7,75,A,7,973,E,9,220,A,7,6.7,A,7,16100,B,7,77777,A,7,1,E,8,0.064,F,8,0.65,F,8,0,1,D,9,0,C,8,286.1991057
1/1/1998,16:00,249,1415,144,2,9,581,2,21,41,2,9,144,2,9,437,2,21,66,2,9,72,2,25,0,E,9,0,E,9,6,A,7,2,A,7,75,A,7,973,E,9,230,A,7,5.1,A,7,16100,B,7,77777,A,7,1,E,8,0.064,F,8,0.65,F,8,0,1,D,9,0,C,8,286.5480514
1/1/1998,17:00,56,1049,15,2,9,214,2,21,7,2,9,21,2,9,124,2,21,14,2,9,22,2,25,0,E,9,0,E,9,4,A,7,1,A,7,81,A,7,973,E,9,220,A,7,3.6,A,7,16100,B,7,77777,A,7,1,E,8,0.064,F,8,0.65,F,8,0,1,D,9,0,C,8,283.4680026
1/1/1998,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,2,A,7,1,A,7,93,A,7,973,E,9,210,A,7,3.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.064,F,8,0.65,F,8,0,1,D,9,0,C,8,278.9931692
1/1/1998,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,5,E,9,2,A,7,-1,A,7,80,A,7,973,E,9,210,A,7,3.6,A,7,16100,B,7,77777,A,7,1.1,E,8,0.064,F,8,0.65,F,8,0,1,D,9,0,C,8,276.0538352
1/1/1998,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,3,E,9,1,A,7,-1,A,7,86,A,7,973,E,9,200,A,7,4.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.064,F,8,0.65,F,8,0,1,D,9,0,C,8,274.3985933
1/1/1998,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,1,E,9,1,A,7,-1,A,7,86,A,7,973,E,9,200,A,7,4.6,A,7,16100,B,7,77777,A,7,1.1,E,8,0.064,F,8,0.65,F,8,0,1,D,9,0,C,8,273.7912545
1/1/1998,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,2,E,9,0,A,7,-2,A,7,85,A,7,973,E,9,200,A,7,2.6,A,7,16100,B,7,77777,A,7,1.2,E,8,0.064,F,8,0.65,F,8,0,1,D,9,0,C,8,272.9517663
1/1/1998,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,3,E,9,-1,A,7,-2,A,7,92,A,7,973,E,9,180,A,7,3.1,A,7,16100,B,7,77777,A,7,1.2,E,8,0.064,F,8,0.65,F,8,0,1,D,9,0,C,8,271.9798998
