725469,CHARITON,IA,-6,41.033,-93.367,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2003,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,-4,A,7,-9,A,7,65,A,7,975,E,9,30,A,7,3.6,A,7,16100,B,7,77777,A,7,0.8,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,269
1/1/2003,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,7,E,9,-3,A,7,-8,A,7,65,A,7,975,E,9,50,A,7,4.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,268.6588882
1/1/2003,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,5,E,9,-2,A,7,-8,A,7,60,A,7,975,E,9,70,A,7,4.6,A,7,16100,B,7,77777,A,7,0.8,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,269.0355899
1/1/2003,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,-2,A,7,-9,A,7,55,A,7,975,E,9,70,A,7,3.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,269.403561
1/1/2003,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,6,E,9,-2,A,7,-9,A,7,55,A,7,975,E,9,60,A,7,3.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,269.575729
1/1/2003,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-2,A,7,-9,A,7,55,A,7,975,E,9,50,A,7,4.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,269.6576296
1/1/2003,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,-3,A,7,-9,A,7,60,A,7,975,E,9,30,A,7,3.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,269.3900615
1/1/2003,8:00,11,460,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,8,E,9,-3,A,7,-9,A,7,60,A,7,975,E,9,40,A,7,5.7,A,7,16100,B,7,77777,A,7,0.7,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,269.0687785
1/1/2003,9:00,178,1415,65,2,9,46,2,21,59,2,9,71,2,9,33,2,21,67,2,9,132,2,25,9,E,9,8,E,9,-2,A,7,-9,A,7,55,A,7,975,E,9,60,A,7,5.1,A,7,16100,B,7,77777,A,7,0.6,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,269.1458354
1/1/2003,10:00,369,1415,137,2,9,70,2,21,119,2,9,150,2,9,62,2,21,134,2,9,294,2,25,10,E,9,9,E,9,-2,A,7,-8,A,7,60,A,7,975,E,9,60,A,7,3.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,269.1194432
