725480,WATERLOO MUNICIPAL AP,IA,-6,42.55,-92.4,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1996,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-0.6,A,7,-1.1,A,7,96,A,7,981,A,7,0,A,7,0,A,7,4800,B,7,732,A,7,0.8,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,272.4
1/1/1996,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-0.6,A,7,-1.1,A,7,96,A,7,981,A,7,360,A,7,1.5,A,7,4800,B,7,732,A,7,0.8,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,271.7716193
1/1/1996,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-0.6,A,7,-1.7,A,7,91,A,7,982,A,7,340,A,7,1.5,A,7,4800,B,7,732,A,7,0.8,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,271.4392524
1/1/1996,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-1.1,A,7,-1.7,A,7,95,A,7,982,A,7,10,A,7,1.5,A,7,4000,B,7,335,A,7,0.8,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,271.1202441
1/1/1996,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-1.1,A,7,-1.7,A,7,95,A,7,982,A,7,0,A,7,0,A,7,3200,B,7,335,A,7,0.8,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,270.8666309
1/1/1996,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-1.1,A,7,-1.7,A,7,95,A,7,982,A,7,40,A,7,1.5,A,7,4800,B,7,244,A,7,0.8,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,270.7402437
1/1/1996,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-1.1,A,7,-1.7,A,7,95,A,7,982,A,7,0,A,7,0,A,7,3200,B,7,549,A,7,0.8,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,270.6783552
1/1/1996,8:00,10,436,1,1,10,0,1,16,1,1,10,0,1,10,0,1,16,0,1,10,0,1,21,10,E,9,10,E,9,-2.8,A,7,-4.4,A,7,87,A,7,982,A,7,20,A,7,1.5,A,7,800,B,7,540,A,7,0.8,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,270.1058978
1/1/1996,9:00,168,1415,25,1,10,0,1,16,25,1,10,29,1,10,0,1,16,29,1,10,93,1,21,10,E,9,10,E,9,-2.2,A,7,-2.8,A,7,95,A,7,982,A,7,0,A,7,0,A,7,1200,B,7,152,A,7,0.8,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,269.6227487
1/1/1996,10:00,352,1415,59,1,10,0,1,16,59,1,10,68,1,10,0,1,16,68,1,10,231,1,21,10,E,9,10,E,9,-1.1,A,7,-2.2,A,7,91,A,7,983,A,7,0,A,7,0,A,7,1600,B,7,152,A,7,0.8,E,8,0,F,8,0,F,8,0,1,D,9,45,C,8,269.6819714
