725483,FORT MADISON,IA,-6,40.667,-91.333,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0,A,7,-5,A,7,66,A,7,987,E,9,40,A,7,1.5,A,7,16100,B,7,1800,A,7,1.3,E,8,0.073,F,8,0.19,F,8,0,1,D,9,0,C,8,273
1/1/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0,A,7,-5,A,7,66,A,7,987,E,9,60,A,7,4.1,A,7,11300,B,7,1440,A,7,1.5,E,8,0.073,F,8,0.19,F,8,0,1,D,9,0,C,8,272.322858
1/1/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-0.2,B,8,-5.1,B,8,66,A,7,987,E,9,70,B,8,3.9,B,8,13700,C,8,1260,B,8,1.7,E,8,0.073,F,8,0.19,F,8,0,1,D,9,0,C,8,271.9495818
1/1/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0,A,7,-5,A,7,66,A,7,987,E,9,70,A,7,3.6,A,7,16100,B,7,1080,A,7,1.9,E,8,0.073,F,8,0.19,F,8,0,1,D,9,0,C,8,271.7859765
1/1/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0,A,7,-4,A,7,72,A,7,987,E,9,70,A,7,5.7,A,7,16100,B,7,960,A,7,2,E,8,0.073,F,8,0.19,F,8,0,1,D,9,0,C,8,271.7432886
1/1/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0,A,7,-5,A,7,66,A,7,987,E,9,80,A,7,3.6,A,7,16100,B,7,690,A,7,2.1,E,8,0.073,F,8,0.19,F,8,0,1,D,9,0,C,8,271.7226698
1/1/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0,A,7,-4,A,7,72,A,7,987,E,9,80,A,7,4.1,A,7,16100,B,7,570,A,7,2.2,E,8,0.073,F,8,0.19,F,8,0,1,D,9,0,C,8,271.7127247
1/1/2005,8:00,25,696,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,0,A,7,-4,A,7,72,A,7,987,E,9,80,A,7,4.1,A,7,16100,B,7,450,A,7,2.2,E,8,0.073,F,8,0.19,F,8,0,1,D,9,0,C,8,271.7079332
1/1/2005,9:00,212,1415,38,2,9,0,2,21,38,2,9,43,2,9,0,2,21,43,2,9,138,2,25,10,E,9,10,A,7,0,A,7,-3,A,7,78,A,7,987,E,9,90,A,7,5.1,A,7,16100,B,7,390,A,7,2.2,E,8,0.073,F,8,0.19,F,8,0,1,D,9,0,C,8,271.5708993
1/1/2005,10:00,399,1415,64,2,9,0,2,21,64,2,9,75,2,9,0,2,21,75,2,9,258,2,25,10,E,9,10,E,9,1,A,7,-3,A,7,72,A,7,987,E,9,90,A,7,5.7,A,7,16100,B,7,390,A,7,2.2,E,8,0.073,F,8,0.19,F,8,0,1,D,9,0,C,8,271.6725553
